<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
TASI,20151001,7404.14,7444.42,7335.24,7341.94,125339792
TASI,20150930,7337.21,7414.55,7337.21,7404.14,105292658
TASI,20150929,7442.71,7442.71,7282.31,7337.21,107828074
TASI,20150921,7365.98,7443.79,7368.4,7442.71,159942352
TASI,20150920,7470.19,7469.46,7343.35,7365.98,176005353
TASI,20150917,7525.32,7558.7,7459.49,7470.19,220070815
TASI,20150916,7547.78,7629.17,7518.88,7525.32,220579120
TASI,20150915,7549.86,7569.32,7457.99,7547.78,219589837
TASI,20150914,7668.22,7669.11,7545.24,7549.86,197490553
TASI,20150913,7718.4,7812.16,7667.29,7668.22,230918693
TASI,20150910,7748.92,7748.92,7635.96,7718.4,291565675
TASI,20150909,7578.37,7759.3,7578.37,7748.92,345912716
TASI,20150908,7483.5,7581.67,7452.49,7578.37,261791876
TASI,20150907,7428.78,7556.36,7428.78,7483.5,234174664
TASI,20150906,7383.86,7455.94,7330.35,7428.78,156357337
TASI,20150903,7367.55,7459.52,7367.55,7383.86,188972755
TASI,20150902,7438.43,7438.43,7227.83,7367.55,224965920
TASI,20150901,7522.47,7601.84,7435.31,7438.43,233225580
TASI,20150831,7690.4,7690.4,7492.66,7522.47,198707087
TASI,20150830,7604.32,7953.43,7604.32,7690.39,286543835
TASI,20150827,7384.46,7762.96,7384.46,7604.32,362428705
TASI,20150826,7543.05,7573.95,7361.45,7384.46,374438017
TASI,20150825,7024.6,7562.81,7014.08,7543.05,592836318
TASI,20150824,7463.32,7476.74,6920.96,7024.6,385999018
TASI,20150823,8012.83,8012.83,7439.52,7463.32,299629577
TASI,20150820,7991.28,8015.22,7712.63,8012.83,301721658
TASI,20150819,8197.02,8258.49,7975.94,7991.28,219445840
TASI,20150818,8437.26,8443.73,8046.37,8197.02,215928696
TASI,20150817,8464.06,8496.89,8380.57,8437.26,166428229
TASI,20150816,8683.74,8712.74,8418.91,8464.06,163918220
TASI,20150813,8708.31,8757.31,8678.16,8683.74,101601494
TASI,20150812,8758.07,8758.07,8606.6,8708.31,124425406
TASI,20150811,8834.82,8865.6,8749.25,8758.07,133102518
TASI,20150810,8699.17,8839.21,8699.17,8834.82,148467049
TASI,20150809,8654.64,8707.77,8561.46,8699.17,113732423
TASI,20150806,8790.77,8790.77,8617.45,8654.64,137764680
TASI,20150805,8769.47,8824.95,8769.47,8790.76,108078671
TASI,20150804,8820.65,8820.65,8701.57,8769.48,157978034
TASI,20150803,8807.24,8820.65,8744.22,8820.65,190442917
TASI,20150802,9098.27,9101.08,8768.35,8807.24,187598771
TASI,20150730,9107.39,9133.6,9081.65,9098.27,147127687
TASI,20150729,9090.84,9141.89,9090.84,9107.39,122222457
TASI,20150728,9080.02,9106.97,9056.99,9090.84,113485412
TASI,20150727,9301.66,9301.66,9079.28,9080.02,158523234
TASI,20150726,9372.74,9411.93,9276.77,9301.66,143732051
TASI,20150723,9381.01,9385.11,9354.46,9372.74,143868354
TASI,20150722,9337.86,9397.5,9337.16,9381.02,121939693
TASI,20150715,9275.2,9345.21,9268.31,9337.85,158687355
TASI,20150714,9269.78,9281.82,9222.18,9275.21,121099494
TASI,20150713,9253.41,9292.91,9251.23,9269.78,106374356
TASI,20150712,9281.76,9353.67,9241.63,9253.41,177114722
TASI,20150709,9057.89,9314.44,9047.21,9281.76,214913426
TASI,20150708,9081.73,9081.73,9013.74,9057.89,107946635
TASI,20150707,9131.36,9138.53,9039.08,9081.74,106330665
TASI,20150706,9160.7,9167.97,9086.46,9131.36,133898762
TASI,20150705,9136.34,9173.02,9077.2,9160.7,129904797
TASI,20150702,9104.27,9174.86,9087.44,9136.34,158535123
TASI,20150701,9086.89,9138.71,9011.69,9104.27,227098609
TASI,20150630,9059.94,9090.08,8928.27,9086.89,209146150
TASI,20150629,9208.7,9208.7,9006.16,9059.93,189447540
TASI,20150628,9367.29,9368.66,9163.88,9208.7,201091886
TASI,20150625,9313.05,9371.75,9295.47,9367.29,156810043
TASI,20150624,9279.74,9318.33,9244.84,9313.05,131187457
TASI,20150623,9275.27,9346.68,9228.41,9279.74,152168016
TASI,20150622,9344.11,9367.91,9228.04,9275.27,163666486
TASI,20150621,9505.74,9506.48,9326.69,9344.11,151684603
TASI,20150618,9543.25,9562.69,9496.28,9505.73,117776594
TASI,20150617,9544.51,9559.64,9487.96,9543.25,154037242
TASI,20150616,9561.7,9570.97,9522,9544.51,147406151
TASI,20150615,9644.57,9693.07,9558,9561.7,193296978
TASI,20150614,9518.38,9647.49,9518.38,9644.57,158237130
TASI,20150611,9541.58,9562.09,9500.62,9518.38,134793643
TASI,20150610,9490.88,9563.43,9490.88,9541.59,140100597
TASI,20150609,9532.48,9532.48,9425.94,9490.88,166190976
TASI,20150608,9588.01,9588.55,9530.25,9532.48,128127878
TASI,20150607,9668.1,9671.08,9568.16,9588.01,149142398
TASI,20150604,9678.75,9684.44,9629.15,9668.11,154178602
TASI,20150603,9716.71,9724.92,9666.35,9678.75,174612478
TASI,20150602,9693.58,9727.48,9676.18,9716.7,166856108
