"Index","Open","High","Low","Close","Volume"
2002-07-01,1295.4,1295.4,1295.4,1295.4,107612
2002-07-02,1298.75,1298.75,1298.75,1298.75,142395
2002-07-03,1301.97,1301.97,1301.97,1301.97,191931
2002-07-06,1302.3,1302.3,1302.3,1302.3,286214
2002-07-07,1306.65,1306.65,1306.65,1306.65,232288
2002-07-08,1302.3,1302.3,1302.3,1302.3,68821
2002-07-09,1305.31,1305.31,1305.31,1305.31,119619
2002-07-10,1301.28,1301.28,1301.28,1301.28,141325
2002-07-13,1302.87,1302.87,1302.87,1302.87,1576593
2002-07-14,1304.06,1304.06,1304.06,1304.06,223119
2002-07-15,1294.92,1294.92,1294.92,1294.92,6940914
2002-07-16,1300.38,1300.38,1300.38,1300.38,356552
2002-07-20,1310.52,1310.52,1310.52,1310.52,650358
2002-07-21,1311.71,1311.71,1311.71,1311.71,164151
2002-07-22,1317.04,1317.04,1317.04,1317.04,61406
2002-07-23,1318.47,1318.47,1318.47,1318.47,82337
2002-07-27,1325.87,1325.87,1325.87,1325.87,595912
2002-07-28,1325.24,1325.24,1325.24,1325.24,378048
2002-07-29,1327.91,1327.91,1327.91,1327.91,229076
2002-07-30,1328.85,1328.85,1328.85,1328.85,19980
2002-07-31,1330.62,1330.62,1330.62,1330.62,181221
2002-08-03,1325.87,1325.87,1325.87,1325.87,595912
2002-08-04,1334.98,1334.98,1334.98,1334.98,138570
2002-08-05,1336.13,1336.13,1336.13,1336.13,243516
2002-08-10,1349.94,1349.94,1349.94,1349.94,647259
2002-08-11,1358.64,1358.64,1358.64,1358.64,273877
2002-08-12,1371.81,1371.81,1371.81,1371.81,248662
2002-08-13,1387.81,1387.81,1387.81,1387.81,257760
2002-08-14,1389.77,1389.77,1389.77,1389.77,407029
2002-08-17,1390.07,1390.07,1390.07,1390.07,202132
2002-08-18,1384.17,1384.17,1384.17,1384.17,567066
2002-08-19,1382.32,1382.32,1382.32,1382.32,352564
2002-08-20,1386.76,1386.76,1386.76,1386.76,169890
2002-08-21,1380.67,1380.67,1380.67,1380.67,191189
2002-08-24,1382.75,1382.75,1382.75,1382.75,177616
2002-08-25,1377.88,1377.88,1377.88,1377.88,468649
2002-08-26,1378.38,1378.38,1378.38,1378.38,117588
2002-08-27,1380.57,1380.57,1380.57,1380.57,1162697
2002-08-28,1383.68,1383.68,1383.68,1383.68,240561
2002-08-31,1379.51,1379.51,1379.51,1379.51,569175
2002-09-01,1381.79,1381.79,1381.79,1381.79,167360
2002-09-02,1388.91,1388.91,1388.91,1388.91,138705
2002-09-03,1389.61,1389.61,1389.61,1389.61,752611
2002-09-04,1394.66,1394.66,1394.66,1394.66,237160
2002-09-07,1389.67,1389.67,1389.67,1389.67,101883
2002-09-08,1390.5,1390.5,1390.5,1390.5,259322
2002-09-09,1387.23,1387.23,1387.23,1387.23,29605
2002-09-10,1384.55,1384.55,1384.55,1384.55,282115
2002-09-11,1375.07,1375.07,1375.07,1375.07,122260
2002-09-14,1370.8,1370.8,1370.8,1370.8,929605
2002-09-15,1350.77,1350.77,1350.77,1350.77,838851
2002-09-16,1317.76,1317.76,1317.76,1317.76,280407
2002-09-17,1334.87,1334.87,1334.87,1334.87,367685
2002-09-18,1394.66,1394.66,1394.66,1394.66,337129
2002-09-22,1335.8,1335.8,1335.8,1335.8,72136
2002-09-23,1333.2,1333.2,1333.2,1333.2,361144
2002-09-24,1324.64,1324.64,1324.64,1324.64,1411779
2002-09-25,1303.76,1303.76,1303.76,1303.76,216748
2002-10-01,1302.14,1302.14,1302.14,1302.14,0
2002-10-02,1295.42,1295.42,1295.42,1295.42,310631
2002-10-06,1302.25,1302.25,1302.25,1302.25,166286
2002-10-07,1304.32,1304.32,1304.32,1304.32,169720
2002-10-08,1308.61,1308.61,1308.61,1308.61,466662
2002-10-09,1312.76,1312.76,1312.76,1312.76,1707104
2002-10-12,1309.33,1309.33,1309.33,1309.33,195253
2002-10-13,1304.86,1304.86,1304.86,1304.86,157000
2002-10-14,1307.55,1307.55,1307.55,1307.55,110281
2002-10-15,1306.43,1306.43,1306.43,1306.43,295163
2002-10-16,1306.35,1306.35,1306.35,1306.35,285695
2002-10-19,1311.72,1311.72,1311.72,1311.72,108477
2002-10-20,1307.86,1307.86,1307.86,1307.86,238917
2002-10-21,1306.31,1306.31,1306.31,1306.31,338419
2002-10-22,1309.65,1309.65,1309.65,1309.65,199310
2002-10-23,1313.59,1313.59,1313.59,1313.59,173445
2002-10-26,1312.34,1312.34,1312.34,1312.34,1346181
2002-10-27,1310.07,1310.07,1310.07,1310.07,116846
2002-10-28,1313.61,1313.61,1313.61,1313.61,196669
2002-10-29,1314.53,1314.53,1314.53,1314.53,33143
2002-10-30,1316.99,1316.99,1316.99,1316.99,156513
2002-11-02,1319.43,1319.43,1319.43,1319.43,43888
2002-11-03,1320.13,1320.13,1320.13,1320.13,72682
2002-11-05,1320.98,1320.98,1320.98,1320.98,105129
2002-11-06,1322.92,1322.92,1322.92,1322.92,145481
2002-11-09,1323.77,1323.77,1323.77,1323.77,851622
2002-11-10,1324.21,1324.21,1324.21,1324.21,567525
2002-11-11,1333.59,1333.59,1333.59,1333.59,329889
2002-11-13,1333.81,1333.81,1333.81,1333.81,208254
2002-11-16,1335.8,1335.8,1335.8,1335.8,46041
2002-11-17,1342.64,1342.64,1342.64,1342.64,391521
2002-11-23,1349.19,1349.19,1349.19,1349.19,133829
2002-11-24,1346.92,1346.92,1346.92,1346.92,262009
2002-11-25,1347.75,1347.75,1347.75,1347.75,62915
2002-11-26,1348.78,1348.78,1348.78,1348.78,273791
2002-11-27,1349.04,1349.04,1349.04,1349.04,489605
2002-11-30,1347.46,1347.46,1347.46,1347.46,282211
2002-12-01,1348.99,1348.99,1348.99,1348.99,464324
2002-12-08,1352.16,1352.16,1352.16,1352.16,50765
2002-12-09,1348.36,1348.36,1348.36,1348.36,149580
2002-12-10,1356.5,1356.5,1356.5,1356.5,176956
2002-12-11,1361.3,1361.3,1361.3,1361.3,149825
2002-12-14,1366.66,1366.66,1366.66,1366.66,192906
2002-12-15,1373.95,1373.95,1373.95,1373.95,388086
2002-12-16,1384.71,1384.71,1384.71,1384.71,138170
2002-12-17,1387.97,1387.97,1387.97,1387.97,159955
2002-12-18,1386.67,1386.67,1386.67,1386.67,360560
2002-12-21,1379.92,1379.92,1379.92,1379.92,202951
2002-12-22,1372.11,1372.11,1372.11,1372.11,290294
2002-12-23,1361.58,1361.58,1361.58,1361.58,289424
2002-12-28,1361.37,1361.37,1361.37,1361.37,472699
2002-12-29,1367.23,1367.23,1367.23,1367.23,177782
2002-12-30,1367.8,1367.8,1367.8,1367.8,132969
2002-12-31,1366.03,1366.03,1366.03,1366.03,435618
2003-01-06,1366.31,1366.31,1366.31,1366.31,119095
2003-01-07,1372.69,1372.69,1372.69,1372.69,221584
2003-01-11,1376.31,1376.31,1376.31,1376.31,80903
2003-01-13,1379.45,1379.45,1379.45,1379.45,1311161
2003-01-14,1375.51,1375.51,1375.51,1375.51,132970
2003-01-15,1373.57,1373.57,1373.57,1373.57,76123
2003-01-18,1375.82,1375.82,1375.82,1375.82,190238
2003-01-19,1372.57,1372.57,1372.57,1372.57,72370
2003-01-20,1373.21,1373.21,1373.21,1373.21,531267
2003-01-21,1373.71,1373.71,1373.71,1373.71,10185427
2003-01-22,1371.57,1371.57,1371.57,1371.57,213835
2003-01-25,1371.59,1371.59,1371.59,1371.59,120185
2003-01-26,1374.7,1374.7,1374.7,1374.7,268308
2003-01-27,1375.74,1375.74,1375.74,1375.74,380704
2003-01-28,1369.68,1369.68,1369.68,1369.68,607208
2003-01-29,1376.73,1376.73,1376.73,1376.73,344305
2003-02-01,1383.35,1383.35,1383.35,1383.35,122361
2003-02-02,1380.64,1380.64,1380.64,1380.64,649125
2003-02-03,1380.58,1380.58,1380.58,1380.58,828448
2003-02-04,1380.47,1380.47,1380.47,1380.47,856605
2003-02-05,1378.9,1378.9,1378.9,1378.9,294926
2003-02-08,1375.08,1375.08,1375.08,1375.08,596208
2003-02-09,1373.8,1373.8,1373.8,1373.8,169740
2003-02-15,1370.24,1370.24,1370.24,1370.24,65924
2003-02-16,1370.82,1370.82,1370.82,1370.82,81665
2003-02-17,1369.5,1369.5,1369.5,1369.5,256869
2003-02-18,1370.33,1370.33,1370.33,1370.33,881824
2003-02-19,1374.12,1374.12,1374.12,1374.12,395808
2003-02-22,1371.88,1371.88,1371.88,1371.88,96332
2003-02-23,1375.92,1375.92,1375.92,1375.92,11959
2003-02-24,1373.7,1373.7,1373.7,1373.7,29471
2003-02-25,1373.81,1373.81,1373.81,1373.81,11896
2003-02-26,1366.47,1366.47,1366.47,1366.47,233428
2003-03-01,1368.64,1368.64,1368.64,1368.64,43621
2003-03-02,1368.77,1368.77,1368.77,1368.77,363020
2003-03-03,1371.67,1371.67,1371.67,1371.67,324463
2003-03-05,1374.96,1374.96,1374.96,1374.96,287794
2003-03-08,1379.2,1379.2,1379.2,1379.2,385999
2003-03-09,1384.86,1384.86,1384.86,1384.86,181552
2003-03-10,1387.59,1387.59,1387.59,1387.59,140147
2003-03-11,1405.2,1405.2,1405.2,1405.2,219466
2003-03-12,1391.78,1391.78,1391.78,1391.78,67022
2003-03-15,1373.59,1373.59,1373.59,1373.59,69278
2003-03-16,1376.48,1376.48,1376.48,1376.48,53562
2003-03-17,1378.23,1378.23,1378.23,1378.23,218259
2003-03-18,1366.56,1366.56,1366.56,1366.56,93089
2003-03-19,1355.92,1355.92,1355.92,1355.92,134753
2003-03-26,1377.36,1377.36,1377.36,1377.36,0
2003-03-29,1379.94,1379.94,1379.94,1379.94,201475
2003-03-30,1377.64,1377.64,1377.64,1377.64,25448
2003-03-31,1381.66,1381.66,1381.66,1381.66,283885
2003-04-01,1384.7,1384.7,1384.7,1384.7,36265
2003-04-02,1388.3,1388.3,1388.3,1388.3,86354
2003-04-05,1397.73,1397.73,1397.73,1397.73,240982
