"Index","Open","High","Low","Close","Volume"
2007-12-01,16.4373,17.1036,14.4381,15.1045,146028015
2007-12-02,15.5488,16.4373,15.3266,16.4373,91798416
2007-12-03,17.77,17.9921,17.3258,17.9921,26140288
2007-12-04,19.7691,19.7691,18.8806,19.7691,46864065
2007-12-05,20.8798,21.5461,20.4355,21.5461,43337840
2007-12-08,22.8789,23.5453,19.7691,19.9913,98243728
2007-12-09,20.6576,21.9904,19.9913,21.9904,105424552
2007-12-10,22.4346,23.5453,22.2125,23.3231,79784267
2007-12-11,23.3231,23.5453,21.9904,22.2125,61756925
2007-12-12,21.9904,22.4346,20.8798,21.7683,30784936
2007-12-15,21.7683,23.101,21.5461,22.6568,37850499
2007-12-16,22.6568,23.9895,22.4346,23.7674,60689311
2007-12-17,23.9895,25.1001,23.3231,24.6559,64122396
2007-12-24,25.5444,27.0993,24.878,25.1001,75277778
2007-12-25,25.3223,25.9886,24.4338,25.1001,40567784
2007-12-26,25.1001,26.2108,24.878,26.2108,27874073
2007-12-29,25.9886,26.2108,24.878,25.1001,28541222
2007-12-30,25.1001,25.1001,23.5453,23.7674,24146866
2007-12-31,23.5453,24.2116,23.3231,23.7674,16275203
2008-01-01,23.5453,24.4338,23.3231,23.3231,15980586
2008-01-02,23.3231,23.7674,21.324,22.8789,28865643
2008-01-05,23.101,24.6559,23.101,24.4338,36473407
2008-01-06,24.4338,25.3223,23.7674,24.6559,42577066
2008-01-07,24.6559,24.6559,23.9895,24.4338,14440666
2008-01-08,24.2116,24.4338,23.7674,23.9895,11582423
2008-01-09,23.5453,24.2116,23.101,23.9895,19715099
2008-01-12,24.2116,25.3223,24.2116,25.1001,42770346
2008-01-13,25.3223,25.5444,24.6559,24.6559,23351488
2008-01-14,24.6559,25.9886,24.2116,25.7665,31742786
2008-01-15,25.5444,27.5435,25.3223,26.8771,73202498
2008-01-16,26.655,28.432,26.4329,26.655,79875197
2008-01-19,26.4329,27.3214,25.7665,25.9886,29685737
2008-01-20,25.5444,25.7665,23.5453,23.5453,27805846
2008-01-21,23.101,24.878,22.6568,24.2116,35040782
2008-01-22,23.5453,23.5453,21.9904,21.9904,12715016
2008-01-23,23.3231,23.9895,20.2134,21.5461,31553618
2008-01-26,21.7683,23.101,21.1019,22.6568,25375095
2008-01-27,22.8789,23.5453,21.9904,23.101,19192047
2008-01-28,23.101,23.3231,20.8798,22.2125,20193437
2008-01-29,22.2125,22.6568,21.5461,22.4346,16543488
2008-01-30,22.4346,23.101,21.9904,22.6568,23336669
2008-02-02,22.8789,23.3231,22.2125,22.4346,17918191
2008-02-03,22.4346,22.6568,21.9904,22.4346,7067351
2008-02-04,22.2125,22.4346,21.9904,22.2125,3777074
2008-02-05,22.4346,22.4346,21.9904,22.4346,6681964
2008-02-06,22.2125,22.2125,20.8798,21.324,10308336
2008-02-09,21.324,21.5461,19.7691,20.2134,7650722
2008-02-10,19.9913,20.6576,19.7691,20.4355,8442038
2008-02-11,20.4355,20.8798,20.2134,20.4355,5087947
2008-02-12,20.6576,21.9904,20.6576,21.9904,7549037
2008-02-13,21.9904,22.2125,21.5461,21.7683,5840343
2008-02-16,21.5461,21.9904,21.324,21.9904,6254101
2008-02-17,21.7683,22.2125,21.5461,21.7683,6545607
2008-02-18,21.9904,22.6568,21.5461,22.4346,15219306
2008-02-19,22.6568,22.6568,21.9904,22.2125,6414840
2008-02-20,21.9904,22.6568,21.9904,22.4346,9084836
