"Index","Open","High","Low","Close","Volume"
2014-11-12,49.5,49.5,49.5,49.5,1409613
2014-11-13,54.25,54.25,54.25,54.25,746432
2014-11-16,59.5,59.5,59.5,59.5,1144274
2014-11-17,65.25,65.25,65.25,65.25,20098365
2014-11-18,65,66.5,60.75,61.46,64330935
2014-11-19,61.5,62,59.75,60.97,22091004
2014-11-20,61.25,62,61,61.23,9202789
2014-11-23,61.75,63,61.75,62,10484822
2014-11-24,62,62.25,61,61.49,6639977
2014-11-25,61.25,63,60.5,62.42,9969767
2014-11-26,62.25,62.5,61,61.67,6936620
2014-11-27,61,61.75,60.75,61.38,4426094
2014-11-30,58.25,59.5,58,58.65,6553085
2014-12-01,58.5,59.75,58.5,59.57,6400380
2014-12-02,60,60.5,59.25,59.5,3484549
2014-12-03,59.5,60,59.25,59.71,2434806
2014-12-04,60,60.25,59.75,60.05,2808979
2014-12-07,59.5,60.25,59.25,59.63,2943950
2014-12-08,59.5,59.75,58.5,58.51,2633605
2014-12-09,57.5,57.75,56,57.49,3923427
2014-12-10,57.25,57.75,55.25,55.68,3897664
2014-12-11,53.25,57,53,56.53,6736752
2014-12-14,53.75,55.75,53.5,55.39,4793519
2014-12-15,55.75,56.75,54.5,54.84,5074905
2014-12-16,54,54,50.5,51.38,7279339
2014-12-17,51.75,55,51.75,54.64,6013813
2014-12-18,56.75,60,56.75,59.75,11500640
2014-12-21,61.25,61.75,57.5,59.17,7857835
2014-12-22,58.5,59.75,57.75,59.65,3128998
2014-12-23,59,59.5,58.75,58.83,2176540
2014-12-24,59.25,60.5,59,59.59,6169097
2014-12-25,59.25,60,59,59.18,3183018
2014-12-28,58.25,59.25,58,58.7,3044341
2014-12-29,58.25,58.75,58,58.2,2025695
2014-12-30,57.5,57.5,56,56.26,2713562
2014-12-31,56.25,57,52.25,54.98,3219559
2015-01-01,55.5,56,54.75,55.98,1347881
2015-01-04,55.75,56.25,55.25,55.9,1037625
2015-01-05,55,55.25,53.75,53.98,675591
2015-01-06,52,53.75,51.5,53.41,1893802
2015-01-07,53.5,55,53.25,54.91,1755486
2015-01-08,55.5,56,55.25,55.94,2261243
2015-01-11,55.5,57,55.5,56.85,3622575
2015-01-12,56.5,58.25,56,57.83,1547709
2015-01-13,57,58.75,56.25,58.17,2444369
