"Index","Open","High","Low","Close","Volume"
2002-06-10,11.5654,11.6121,11.3318,11.4019,397079
2002-06-11,11.4019,11.4019,11.028,11.0514,568027
2002-06-12,11.028,11.3551,10.8645,11.215,655750
2002-06-13,11.2383,11.4252,11.2383,11.3785,204024
2002-06-15,11.4252,11.5654,11.3551,11.3785,722658
2002-06-16,11.3785,11.4486,11.3551,11.3785,151513
2002-06-17,11.4019,11.472,11.3785,11.4019,432728
2002-06-18,11.4019,11.4019,11.0748,11.3318,364439
2002-06-19,11.215,11.2617,10.9346,11.0748,297727
2002-06-20,11.0514,11.0748,10.9346,10.9346,339928
2002-06-22,10.7944,10.9346,10.3738,10.5607,509858
2002-06-23,10.3738,10.4206,10.1636,10.1869,662465
2002-06-24,10.1636,10.1869,9.7196,9.7196,907890
2002-06-25,9.8131,10.2336,9.6729,10.1869,1087937
2002-06-26,10.3505,10.5374,10.2103,10.4673,1274620
2002-06-27,10.5374,10.5374,10.1168,10.2103,617691
2002-06-29,10.3738,10.4206,10.0935,10.2336,846226
2002-06-30,10.2336,10.3271,9.9065,9.9065,952823
2002-07-01,10.0935,10.1869,10.0467,10.1402,280210
2002-07-02,10.1402,10.1869,10.0467,10.0935,409468
2002-07-03,10.0935,10.0935,10,10.0935,227168
2002-07-04,10.0467,10.0467,10,10,60801
2002-07-06,10,10.0935,10,10.0467,209585
2002-07-07,10,10.1869,10,10.0935,672844
2002-07-08,10.0935,10.1869,10.0467,10.0935,351110
2002-07-09,10.0935,10.2336,10.0935,10.0935,675899
2002-07-10,10.1402,10.1402,10.0467,10.0467,224174
2002-07-11,10.0935,10.0935,10,10.0467,102125
2002-07-13,10.0467,10.0467,10,10.0467,162441
2002-07-14,10.0467,10.0467,9.9533,9.9533,244673
2002-07-15,9.9533,10,9.8131,9.8598,362861
2002-07-16,9.8131,9.8598,9.7196,9.7196,321597
2002-07-17,9.7664,9.8131,9.6729,9.6729,154702
2002-07-18,9.7196,9.7196,9.5794,9.6729,77446
2002-07-20,9.7196,9.7196,9.5327,9.5794,139095
2002-07-21,9.5794,9.5794,9.2056,9.2523,514139
2002-07-22,9.2523,9.2991,9.2056,9.2056,141403
2002-07-23,9.2523,9.2991,9.0187,9.0654,194412
2002-07-24,9.0187,9.0187,8.6916,8.7383,209040
2002-07-25,8.785,8.9252,8.785,8.8785,81096
2002-07-27,8.972,9.5327,8.9252,9.5327,1084577
2002-07-28,9.6262,9.6262,9.2523,9.3458,788015
2002-07-29,9.3458,9.3458,9.2523,9.2523,323502
2002-07-30,9.2991,9.4393,9.2991,9.3458,358803
2002-07-31,9.3458,9.3925,9.2991,9.3458,187248
2002-08-01,9.3458,9.3925,9.2991,9.2991,34525
2002-08-03,9.3458,9.3458,9.2056,9.2056,236659
2002-08-04,9.1589,9.2991,8.972,9.0654,470358
2002-08-05,9.0654,9.1589,8.9252,9.0187,266657
2002-08-06,8.972,9.0187,8.9252,8.972,174067
2002-08-07,8.972,9.0187,8.9252,8.972,163881
2002-08-08,8.972,9.0654,8.972,9.0187,195431
2002-08-10,9.0187,9.0654,8.972,9.0187,117186
2002-08-11,9.0187,9.0187,8.972,8.972,66187
2002-08-12,9.0187,9.0187,8.9252,8.972,301989
2002-08-13,8.972,9.0187,8.9252,8.972,93261
2002-08-14,8.972,9.2523,8.972,9.0187,590229
2002-08-15,9.0654,9.0654,9.0654,9.0654,82163
2002-08-17,9.0654,9.0654,8.972,8.972,151254
2002-08-18,9.0187,9.0187,8.8785,8.9252,243563
2002-08-19,8.9252,9.0187,8.8785,8.972,123400
2002-08-20,8.972,8.972,8.8785,8.8785,361518
2002-08-21,8.9252,8.9252,8.8785,8.9252,168893
2002-08-22,8.9252,8.972,8.8785,8.9252,123118
2002-08-24,8.9252,8.972,8.8785,8.972,126858
2002-08-25,8.9252,8.972,8.9252,8.9252,124422
2002-08-26,8.9252,8.972,8.8785,8.9252,128226
2002-08-27,8.9252,8.972,8.8785,8.9252,125283
2002-08-28,8.9252,9.1589,8.9252,9.0654,1057432
2002-08-29,9.1121,9.1121,9.0187,9.0187,127318
2002-08-31,9.0654,9.0654,8.972,8.972,289722
2002-09-01,9.0187,9.0654,8.972,9.0187,154193
2002-09-02,8.972,9.0654,8.972,9.0187,167280
2002-09-03,9.0187,9.0654,9.0187,9.0187,433144
2002-09-04,9.0187,9.0654,9.0187,9.0187,192302
2002-09-05,9.0187,9.0654,9.0187,9.0654,101023
2002-09-07,9.0654,9.3925,8.972,9.2056,3417052
2002-09-08,9.2523,9.2523,9.1121,9.1589,933985
2002-09-09,9.1589,9.2523,9.0187,9.0187,999202
2002-09-10,9.0187,9.1589,9.0187,9.0654,356837
2002-09-11,9.0654,9.1121,9.0654,9.1121,194294
2002-09-12,9.1121,9.2056,9.0654,9.2056,197551
2002-09-14,9.2056,9.2991,9.1589,9.2056,1331369
2002-09-15,9.2056,9.2056,9.0654,9.0654,496617
2002-09-16,9.0654,9.1121,9.0187,9.0187,416383
2002-09-17,9.1121,9.1589,9.0654,9.1589,936439
2002-09-18,9.2056,9.2523,9.1121,9.1121,969657
2002-09-19,9.1589,9.1589,9.0654,9.1121,186821
2002-09-21,9.1589,9.1589,9.0654,9.1121,280698
2002-09-22,9.1121,9.1589,9.0654,9.0654,285631
2002-09-23,9.1121,9.1589,9.0654,9.0654,498869
2002-09-24,9.1121,9.1121,9.0187,9.0654,659155
2002-09-25,9.0187,9.1121,9.0187,9.0187,428404
2002-09-26,9.0654,9.1121,9.0187,9.0654,38135
2002-09-28,9.0654,9.1121,9.0187,9.0187,151871
2002-09-29,9.0654,9.1121,9.0187,9.0187,352962
2002-09-30,9.0654,9.1121,9.0187,9.0654,294821
2002-10-01,9.0654,9.1121,9.0187,9.0654,717604
2002-10-02,9.0654,9.2056,9.0654,9.0654,1656183
2002-10-03,9.0654,9.0654,9.0187,9.0187,117982
2002-10-05,9.0187,9.1121,8.972,9.0187,423263
2002-10-06,9.0187,9.0654,8.972,9.0187,167826
2002-10-07,9.0187,9.1121,8.972,9.0654,474127
2002-10-08,9.0654,9.1589,9.0654,9.1121,502116
2002-10-09,9.1589,9.2056,9.0654,9.1121,1139479
2002-10-10,9.1589,9.1589,9.1121,9.1121,307670
2002-10-12,9.1121,9.1589,9.0654,9.0654,324116
2002-10-13,9.0654,9.1121,9.0654,9.1121,254673
2002-10-14,9.1121,9.1589,9.0654,9.1121,187353
2002-10-15,9.1121,9.1121,9.0654,9.0654,166534
2002-10-16,9.0654,9.1589,9.0654,9.1121,215509
2002-10-17,9.1121,9.2056,9.1121,9.1589,438178
2002-10-19,9.2991,9.3925,9.2523,9.2991,2372446
2002-10-20,9.2991,9.5794,9.2991,9.5794,3102186
2002-10-21,9.6262,9.6729,9.2056,9.2056,3766030
2002-10-22,9.2523,9.3458,9.1589,9.2991,1208257
2002-10-23,9.2991,9.3458,9.1121,9.1121,1239903
2002-10-24,9.1121,9.1121,9.0654,9.1121,238192
2002-10-26,9.1121,9.1589,8.972,8.972,739446
2002-10-27,9.0187,9.1121,8.972,9.0654,358440
2002-10-28,9.0654,9.1121,8.972,8.972,348491
2002-10-29,8.972,9.0187,8.9252,8.972,270081
2002-10-30,8.972,9.0187,8.9252,8.972,189387
2002-10-31,9.0187,9.0187,8.972,9.0187,58910
2002-11-02,9.0187,9.0654,8.9252,8.9252,300313
2002-11-03,8.9252,8.972,8.8785,8.9252,189289
2002-11-04,8.9252,8.972,8.8318,8.8785,481155
2002-11-05,8.8785,8.9252,8.8318,8.8318,166766
2002-11-06,8.8318,8.8785,8.785,8.8318,316053
2002-11-07,8.8318,8.8785,8.8318,8.8318,62145
2002-11-09,8.8785,9.0187,8.8785,9.0187,667716
2002-11-10,9.0187,9.0654,8.9252,8.9252,599112
2002-11-11,8.9252,8.972,8.8785,8.9252,421363
2002-11-12,8.8785,8.9252,8.785,8.785,476146
2002-11-13,8.8318,8.972,8.8318,8.8785,536032
2002-11-14,8.8785,8.9252,8.8785,8.8785,43610
2002-11-16,8.9252,8.972,8.8318,8.8318,407729
2002-11-17,8.8318,8.8785,8.785,8.785,387693
2002-11-18,8.8318,8.8318,8.7383,8.785,582566
2002-11-19,8.785,8.785,8.5047,8.5514,824985
2002-11-20,8.5981,8.6916,8.5047,8.5047,666271
2002-11-21,8.5047,8.5514,8.5047,8.5514,33165
2002-11-23,8.5981,8.6449,8.4112,8.4579,485732
2002-11-24,8.4579,8.4579,7.8505,7.9439,805722
2002-11-25,7.9907,8.2243,7.8972,8.2243,792730
2002-11-26,8.2243,8.3645,8.0841,8.1308,651938
2002-11-27,8.1776,8.271,8.0841,8.1776,912958
2002-11-28,8.1776,8.2243,8.0841,8.1776,207589
2002-11-30,8.1776,8.1776,8.0374,8.0374,337754
2002-12-01,8.0374,8.0841,7.9439,8.0374,419812
2002-12-02,7.9907,8.1308,7.9907,8.0841,481601
2002-12-03,8.0841,8.1308,8.0841,8.0841,154112
2002-12-10,8.1308,8.1776,8.0841,8.0841,205953
2002-12-11,8.1308,8.1776,8.0374,8.0374,276091
2002-12-12,8.0374,8.0374,7.9907,7.9907,113802
2002-12-14,7.9907,8.0841,7.8972,7.9439,350379
2002-12-15,7.9907,8.0374,7.8972,7.9439,449944
2002-12-16,7.9907,8.0841,7.9439,8.0374,700665
