"Index","Open","High","Low","Close","Volume"
2003-01-25,33.75,37.35,33.375,35.55,6493243
2003-01-26,35.7375,36.15,34.8,34.8375,2810927
2003-01-27,34.6875,34.725,32.775,33.4125,3225821
2003-01-28,33.3,33.6,33.15,33.2625,760242
2003-01-29,33.3,33.3,31.5375,31.575,1351806
2003-01-30,31.425,31.425,30.4875,31.2375,749837
2003-02-01,30.5625,31.2375,30,30,1204014
2003-02-02,29.7375,29.85,28.725,28.875,1317538
2003-02-03,28.5375,29.7375,28.5,29.7,987808
2003-02-04,30.075,30.525,29.475,29.775,1450098
2003-02-05,29.625,30.4125,29.475,30.1875,914189
2003-02-15,30.975,33.1875,30.75,33.1875,2483354
2003-02-16,34.2,34.875,33,33,3717721
2003-02-17,32.7375,32.8875,31.875,32.2125,1476491
2003-02-18,32.325,32.925,32.325,32.8875,1282816
2003-02-19,32.9625,33.1125,32.5875,32.5875,1052454
2003-02-20,32.5875,32.6625,32.175,32.4,316173
2003-02-22,32.0625,32.1,30.675,31.0125,1138215
2003-02-23,30.9,31.1625,30.4875,31.1625,506105
2003-02-24,31.2,31.6125,31.0875,31.125,704300
2003-02-25,30.9,31.0875,30.6,30.675,680064
2003-02-26,30.6,31.0125,30.6,31.0125,454586
2003-02-27,30.9,30.9,30.6375,30.75,183362
2003-03-01,31.05,31.2,30.7125,30.7875,463166
2003-03-02,30.825,30.975,30.825,30.9375,268175
2003-03-03,30.9,31.0875,30.9,31.0125,344799
2003-03-04,31.05,31.1625,30.9375,30.975,500467
2003-03-05,30.975,31.0125,30.7875,30.7875,282511
2003-03-06,30.75,30.9375,30.675,30.9375,137677
2003-03-08,30.75,30.825,30.3,30.3,527900
2003-03-09,30.15,30.15,29.325,29.4375,587297
2003-03-10,29.3625,30.15,29.3625,30.075,497651
2003-03-11,30.4125,30.975,30.225,30.75,1162786
2003-03-12,30.9,31.0125,30.525,30.525,569252
2003-03-13,30.45,30.7875,30.45,30.7875,334566
2003-03-15,30.9,31.0125,30.4875,30.6,595960
2003-03-16,30.4875,30.525,30.225,30.3,269284
