"Index","Open","High","Low","Close","Volume"
2007-01-06,5218.27,5218.27,5218.27,5218.27,36916084
2007-01-07,5147.3,5147.3,5147.3,5147.3,51757873
2007-01-08,5219.75,5219.75,5219.75,5219.75,67840169
2007-01-09,5338.67,5338.67,5338.67,5338.67,87316767
2007-01-10,5187.78,5187.78,5187.78,5187.78,83020456
2007-01-13,4809.12,4809.12,4809.12,4809.12,41744864
2007-01-14,4649.06,4649.06,4649.06,4649.06,62783653
2007-01-15,4765.95,4765.95,4765.95,4765.95,52507419
2007-01-16,4561.38,4561.38,4561.38,4561.38,57279144
2007-01-17,4690.07,4690.07,4690.07,4690.07,69764974
2007-01-20,4660.91,4660.91,4660.91,4660.91,42460846
2007-01-21,4700.84,4700.84,4700.84,4700.84,32254364
2007-01-22,4694.35,4694.35,4694.35,4694.35,65192610
2007-01-23,4607.16,4607.16,4607.16,4607.16,49160205
2007-01-24,4468.4,4468.4,4468.4,4468.4,68589117
2007-01-27,4599.21,4599.21,4599.21,4599.21,51227855
2007-01-28,4801.43,4801.43,4801.43,4801.43,60023667
2007-01-29,4639.53,4639.53,4639.53,4639.53,77148731
2007-01-30,4628.64,4628.64,4628.64,4628.64,67691032
2007-01-31,4706.46,4706.46,4706.46,4706.46,70082302
2007-02-03,4809.25,4809.25,4809.25,4809.25,84058796
2007-02-04,4717.08,4717.08,4717.08,4717.08,69026967
2007-02-05,4679.9,4679.9,4679.9,4679.9,67965694
2007-02-06,4703.03,4703.03,4703.03,4703.03,46738578
2007-02-07,4721.06,4721.06,4721.06,4721.06,60730712
2007-02-10,4769.24,4769.24,4769.24,4769.24,44713932
2007-02-11,4752.33,4752.33,4752.33,4752.33,55467218
2007-02-12,4746.77,4746.77,4746.77,4746.77,66669226
2007-02-13,4774.3,4774.3,4774.3,4774.3,50713513
2007-02-14,4787.82,4787.82,4787.82,4787.82,39023678
2007-02-17,4869.43,4869.43,4869.43,4869.43,81885621
2007-02-18,4965.75,4965.75,4965.75,4965.75,74387317
2007-02-19,5122.6,5122.6,5122.6,5122.6,93403323
2007-02-20,4990.72,4990.72,4990.72,4990.72,61062896
2007-02-21,5075.75,5075.75,5075.75,5075.75,67782237
2007-02-24,5233.24,5233.24,5233.24,5233.24,74199233
2007-02-25,5209.75,5209.75,5209.75,5209.75,73623016
2007-02-26,5269.3,5269.3,5269.3,5269.3,88590602
2007-02-27,5282.35,5282.35,5282.35,5282.35,99050510
2007-02-28,5163.11,5163.11,5163.11,5163.11,62278395
2007-03-03,5388.83,5388.83,5388.83,5388.83,66953865
2007-03-04,5543.16,5543.16,5543.16,5543.16,87138373
2007-03-05,5871.8,5871.8,5871.8,5871.8,84272131
2007-03-06,5967.35,5967.35,5967.35,5967.35,93314727
2007-03-07,6053.55,6053.55,6053.55,6053.55,75013076
2007-03-10,6158.14,6158.14,6158.14,6158.14,89613388
2007-03-11,5925.06,5925.06,5925.06,5925.06,71841746
2007-03-12,6099.91,6099.91,6099.91,6099.91,80241612
2007-03-13,5831.37,5831.37,5831.37,5831.37,69912076
2007-03-14,5985.26,5985.26,5985.26,5985.26,98226591
2007-03-17,5957.35,5957.35,5957.35,5957.35,73011668
2007-03-18,6144.48,6144.48,6144.48,6144.48,82379354
2007-03-19,6254.6,6254.6,6254.6,6254.6,76558994
2007-03-20,6344.53,6344.53,6344.53,6344.53,85048846
2007-03-21,6388.74,6388.74,6388.74,6388.74,97173053
2007-03-24,6332.21,6332.21,6332.21,6332.21,89633621
2007-03-25,6265.03,6265.03,6265.03,6265.03,69626582
2007-03-26,5757.53,5757.53,5757.53,5757.53,37561157
2007-03-27,5416.37,5416.37,5416.37,5416.37,56830117
2007-03-28,5256.88,5256.88,5256.88,5256.88,65854110
2007-03-31,4959.8,4959.8,4959.8,4959.8,51754949
2007-04-01,5245.1,5245.1,5245.1,5245.1,65748615
2007-04-02,5044.35,5044.35,5044.35,5044.35,85120319
2007-04-03,5095.4,5095.4,5095.4,5095.4,72069433
2007-04-04,5207.58,5207.58,5207.58,5207.58,89364595
2007-04-07,5609.75,5609.75,5609.75,5609.75,86013330
2007-04-08,5547.36,5547.36,5547.36,5547.36,115008168
2007-04-09,5549.91,5549.91,5549.91,5549.91,102286468
2007-04-10,5675.88,5675.88,5675.88,5675.88,78744245
2007-04-11,5597.43,5597.43,5597.43,5597.43,71679940
2007-04-14,5360.22,5360.22,5360.22,5360.22,62521398
2007-04-15,4998.43,4998.43,4998.43,4998.43,59181950
2007-04-16,5071.3,5071.3,5071.3,5071.3,75992899
2007-04-17,4923.57,4923.57,4923.57,4923.57,48374162
2007-04-18,4967.45,4967.45,4967.45,4967.45,61317624
2007-04-21,4882.73,4882.73,4882.73,4882.73,46050073
2007-04-22,4816.5,4816.5,4816.5,4816.5,60871674
2007-04-23,4799.67,4799.67,4799.67,4799.67,65680074
2007-04-24,4708.85,4708.85,4708.85,4708.85,49796641
2007-04-25,4827.84,4827.84,4827.84,4827.84,67614084
2007-04-28,5124.44,5124.44,5124.44,5124.44,70156819
2007-04-29,4989.8,4989.8,4989.8,4989.8,77378398
2007-04-30,5150.69,5150.69,5150.69,5150.69,53462439
2007-05-01,5212.11,5212.11,5212.11,5212.11,72096295
2007-05-02,5205.29,5205.29,5205.29,5205.29,80365088
2007-05-05,5012.01,5012.01,5012.01,5012.01,41999750
2007-05-06,5046.12,5046.12,5046.12,5046.12,39892313
2007-05-07,5094.5,5094.5,5094.5,5094.5,57050593
2007-05-08,5148.81,5148.81,5148.81,5148.81,57308122
2007-05-09,5089.1,5089.1,5089.1,5089.1,49843412
2007-05-12,5077.87,5077.87,5077.87,5077.87,57090390
2007-05-13,5224.09,5224.09,5224.09,5224.09,71087011
2007-05-14,5231.52,5231.52,5231.52,5231.52,45578140
2007-05-15,5256.33,5256.33,5256.33,5256.33,50169890
2007-05-16,5238.35,5238.35,5238.35,5238.35,39539385
2007-05-19,5352.68,5352.68,5352.68,5352.68,48184123
2007-05-20,5367.46,5367.46,5367.46,5367.46,48092848
2007-05-21,5353.01,5353.01,5353.01,5353.01,41953378
2007-05-22,5411.66,5411.66,5411.66,5411.66,51828597
2007-05-23,5296.53,5296.53,5296.53,5296.53,36895505
2007-05-26,5332.77,5332.77,5332.77,5332.77,28259627
2007-05-27,5229.15,5229.15,5229.15,5229.15,27121822
2007-05-28,5209.36,5209.36,5209.36,5209.36,26187707
2007-05-29,5006.58,5006.58,5006.58,5006.58,28220348
2007-05-30,5097.1,5097.1,5097.1,5097.1,29411340
2007-06-02,4997.5,4997.5,4997.5,4997.5,29204773
2007-06-03,5098.74,5098.74,5098.74,5098.74,19207215
2007-06-04,5040.45,5040.45,5040.45,5040.45,22217916
2007-06-05,5065.42,5065.42,5065.42,5065.42,14575668
2007-06-06,5026.52,5026.52,5026.52,5026.52,14538072
2007-06-09,5110.49,5110.49,5110.49,5110.49,31504219
2007-06-10,5124.57,5124.57,5124.57,5124.57,34231690
2007-06-11,4909.98,4909.98,4909.98,4909.98,33523952
2007-06-12,4804.03,4804.03,4804.03,4804.03,29221834
2007-06-13,4805.18,4805.18,4805.18,4805.18,23939325
2007-06-16,4630.14,4630.14,4630.14,4630.14,18293859
2007-06-17,4580.73,4580.73,4580.73,4580.73,23165246
2007-06-18,4496.12,4496.12,4496.12,4496.12,15214929
2007-06-19,4559.7,4559.7,4559.7,4559.7,26737464
2007-06-20,4681.99,4681.99,4681.99,4681.99,42606325
2007-06-23,4734.11,4734.11,4734.11,4734.11,35338712
