"Index","Open","High","Low","Close","Volume"
2007-01-06,5186.25,5186.25,5186.25,5186.25,19732863
2007-01-07,4995.93,4995.93,4995.93,4995.93,34614120
2007-01-08,4977.61,4977.61,4977.61,4977.61,30312110
2007-01-09,5021.3,5021.3,5021.3,5021.3,24506642
2007-01-10,4822.9,4822.9,4822.9,4822.9,13583931
2007-01-13,4440.14,4440.14,4440.14,4440.14,8418613
2007-01-14,4493.75,4493.75,4493.75,4493.75,22713556
2007-01-15,4729.4,4729.4,4729.4,4729.4,27495527
2007-01-16,4611.61,4611.61,4611.61,4611.61,11950076
2007-01-17,4624.97,4624.97,4624.97,4624.97,18696247
2007-01-20,4521.35,4521.35,4521.35,4521.35,11278167
2007-01-21,4549.67,4549.67,4549.67,4549.67,9033269
2007-01-22,4596.61,4596.61,4596.61,4596.61,20008046
2007-01-23,4532.95,4532.95,4532.95,4532.95,13102386
2007-01-24,4357.52,4357.52,4357.52,4357.52,11756705
2007-01-27,4430.72,4430.72,4430.72,4430.72,19607877
2007-01-28,4587.27,4587.27,4587.27,4587.27,23501715
2007-01-29,4551.65,4551.65,4551.65,4551.65,21795479
2007-01-30,4529.48,4529.48,4529.48,4529.48,15970822
2007-01-31,4554.78,4554.78,4554.78,4554.78,14004115
2007-02-03,4783.53,4783.53,4783.53,4783.53,19551517
2007-02-04,4739.83,4739.83,4739.83,4739.83,21875036
2007-02-05,4708.86,4708.86,4708.86,4708.86,22995548
2007-02-06,4834.6,4834.6,4834.6,4834.6,13438055
2007-02-07,4978.75,4978.75,4978.75,4978.75,23961813
2007-02-10,5064.5,5064.5,5064.5,5064.5,17076103
2007-02-11,5095.83,5095.83,5095.83,5095.83,13057357
2007-02-12,5161.07,5161.07,5161.07,5161.07,15905786
2007-02-13,5232.43,5232.43,5232.43,5232.43,10558589
2007-02-14,5303.33,5303.33,5303.33,5303.33,12214153
2007-02-17,5400.41,5400.41,5400.41,5400.41,22971961
2007-02-18,5451.62,5451.62,5451.62,5451.62,19154103
2007-02-19,5632.49,5632.49,5632.49,5632.49,25588877
