"Index","Open","High","Low","Close","Volume"
1998-01-01,5602.2,5602.2,5602.2,5602.2,0
1998-01-03,5649.7,5649.7,5649.7,5649.7,0
1998-01-04,5655.5,5655.5,5655.5,5655.5,0
1998-01-05,5968.8,5968.8,5968.8,5968.8,0
1998-01-06,5719.1,5719.1,5719.1,5719.1,0
1998-01-07,5737.8,5737.8,5737.8,5737.8,0
1998-01-08,5717.2,5717.2,5717.2,5717.2,0
1998-01-10,5678.6,5678.6,5678.6,5678.6,0
1998-01-11,5630.9,5630.9,5630.9,5630.9,0
1998-01-12,5585.5,5585.5,5585.5,5585.5,0
1998-01-13,5607.1,5607.1,5607.1,5607.1,0
1998-01-14,5649,5649,5649,5649,0
1998-01-15,5644.5,5644.5,5644.5,5644.5,0
1998-01-17,5648.9,5648.9,5648.9,5648.9,0
1998-01-18,5615.8,5615.8,5615.8,5615.8,0
1998-01-19,5618.9,5618.9,5618.9,5618.9,0
1998-01-20,5643,5643,5643,5643,0
1998-01-21,5660.5,5660.5,5660.5,5660.5,0
1998-01-22,5656.2,5656.2,5656.2,5656.2,0
1998-01-24,5602.7,5602.7,5602.7,5602.7,0
1998-01-25,5589.8,5589.8,5589.8,5589.8,0
1998-02-02,5594.1,5594.1,5594.1,5594.1,0
1998-02-03,5609.6,5609.6,5609.6,5609.6,0
1998-02-04,5579.4,5579.4,5579.4,5579.4,0
1998-02-05,5560.3,5560.3,5560.3,5560.3,0
1998-02-07,5491.6,5491.6,5491.6,5491.6,0
1998-02-08,5272.2,5272.2,5272.2,5272.2,0
1998-02-09,5317.1,5317.1,5317.1,5317.1,0
1998-02-10,5380,5380,5380,5380,0
1998-02-11,5355.8,5355.8,5355.8,5355.8,0
1998-02-12,5319.6,5319.6,5319.6,5319.6,0
1998-02-14,5180.3,5180.3,5180.3,5180.3,0
1998-02-15,5172.6,5172.6,5172.6,5172.6,0
1998-02-16,5200.5,5200.5,5200.5,5200.5,0
1998-02-17,5187.7,5187.7,5187.7,5187.7,0
1998-02-18,5276.2,5276.2,5276.2,5276.2,0
1998-02-19,5239.7,5239.7,5239.7,5239.7,0
1998-02-21,5258.7,5258.7,5258.7,5258.7,0
1998-02-22,5276.3,5276.3,5276.3,5276.3,0
1998-02-23,5360.1,5360.1,5360.1,5360.1,0
