"Index","Open","High","Low","Close","Volume"
2007-01-06,5201.56,5201.56,5201.56,5201.56,11456049
2007-01-07,5000,5000,5000,5000,11087068
2007-01-08,4995.46,4995.46,4995.46,4995.46,4237564
2007-01-09,5080.36,5080.36,5080.36,5080.36,13212754
2007-01-10,4986.39,4986.39,4986.39,4986.39,8947907
2007-01-13,4789.37,4789.37,4789.37,4789.37,4361262
2007-01-14,4793.91,4793.91,4793.91,4793.91,5937462
2007-01-15,4901.49,4901.49,4901.49,4901.49,7569538
2007-01-16,4883.34,4883.34,4883.34,4883.34,3044587
2007-01-17,4896.95,4896.95,4896.95,4896.95,6010807
2007-01-20,4852.88,4852.88,4852.88,4852.88,11447266
2007-01-21,4983.15,4983.15,4983.15,4983.15,9486244
2007-01-22,4992.22,4992.22,4992.22,4992.22,15378958
2007-01-23,4925.47,4925.47,4925.47,4925.47,11619827
2007-01-24,4817.88,4817.88,4817.88,4817.88,10887436
2007-01-27,4804.27,4804.27,4804.27,4804.27,6893267
2007-01-28,4790.67,4790.67,4790.67,4790.67,14275421
2007-01-29,4754.37,4754.37,4754.37,4754.37,7287975
2007-01-30,4575.5,4575.5,4575.5,4575.5,6189871
2007-01-31,4754.37,4754.37,4754.37,4754.37,6198462
2007-02-03,4683.08,4683.08,4683.08,4683.08,11661531
2007-02-04,4701.23,4701.23,4701.23,4701.23,8000147
2007-02-05,4674.01,4674.01,4674.01,4674.01,7688597
2007-02-06,4758.91,4758.91,4758.91,4758.91,3417372
2007-02-07,4758.91,4758.91,4758.91,4758.91,4568265
2007-02-10,4763.45,4763.45,4763.45,4763.45,20599204
2007-02-11,4839.27,4839.27,4839.27,4839.27,17060073
2007-02-12,4660.4,4660.4,4660.4,4660.4,4656053
2007-02-13,4749.84,4749.84,4749.84,4749.84,6218173
2007-02-14,4928.71,4928.71,4928.71,4928.71,41416560
2007-02-17,4937.78,4937.78,4937.78,4937.78,25817854
2007-02-18,4951.39,4951.39,4951.39,4951.39,32204893
2007-02-19,5040.83,5040.83,5040.83,5040.83,31145069
2007-02-20,4937.78,4937.78,4937.78,4937.78,11402701
2007-02-21,5125.73,5125.73,5125.73,5125.73,62264058
2007-02-24,5125.73,5125.73,5125.73,5125.73,23587231
2007-02-25,5134.8,5134.8,5134.8,5134.8,40298176
2007-02-26,5134.8,5134.8,5134.8,5134.8,11356378
2007-02-27,5219.7,5219.7,5219.7,5219.7,27643426
2007-02-28,5125.73,5125.73,5125.73,5125.73,10276205
2007-03-03,5416.72,5416.72,5416.72,5416.72,40151260
2007-03-04,5265.07,5265.07,5265.07,5265.07,46965060
2007-03-05,5462.08,5462.08,5462.08,5462.08,34300059
2007-03-06,5877.51,5877.51,5877.51,5877.51,106546868
2007-03-07,5703.17,5703.17,5703.17,5703.17,54511065
2007-03-10,5819.83,5819.83,5819.83,5819.83,39617104
2007-03-11,5546.98,5546.98,5546.98,5546.98,16774586
2007-03-12,5574.2,5574.2,5574.2,5574.2,17509201
2007-03-13,5359.04,5359.04,5359.04,5359.04,12141728
2007-03-14,5386.26,5386.26,5386.26,5386.26,24605540
2007-03-17,5381.72,5381.72,5381.72,5381.72,15986423
2007-03-18,5507.45,5507.45,5507.45,5507.45,24831481
2007-03-19,5605.96,5605.96,5605.96,5605.96,33093182
2007-03-20,5516.52,5516.52,5516.52,5516.52,16090349
2007-03-21,5422.55,5422.55,5422.55,5422.55,14684619
2007-03-24,5390.79,5390.79,5390.79,5390.79,10286072
2007-03-25,5725.86,5725.86,5725.86,5725.86,38973101
2007-03-26,5233.31,5233.31,5233.31,5233.31,44099759
2007-03-27,5018.15,5018.15,5018.15,5018.15,20184132
2007-03-28,4928.71,4928.71,4928.71,4928.71,10148793
2007-03-31,4713.54,4713.54,4713.54,4713.54,11703480
2007-04-01,4830.21,4830.21,4830.21,4830.21,11511903
2007-04-02,4718.08,4718.08,4718.08,4718.08,8007592
2007-04-03,4727.16,4727.16,4727.16,4727.16,11252562
2007-04-04,4812.06,4812.06,4812.06,4812.06,17200908
