"Index","Open","High","Low","Close","Volume"
2007-01-06,5413.43,5413.43,5413.43,5413.43,5321679
2007-01-07,5487.07,5487.07,5487.07,5487.07,6580192
2007-01-08,5596.75,5596.75,5596.75,5596.75,7384578
2007-01-09,5806,5806,5806,5806,13031949
2007-01-10,5496.88,5496.88,5496.88,5496.88,8454383
2007-01-13,4957.34,4957.34,4957.34,4957.34,2547880
2007-01-14,4764.21,4764.21,4764.21,4764.21,6306893
2007-01-15,5225.67,5225.67,5225.67,5225.67,12288071
2007-01-16,4875.76,4875.76,4875.76,4875.76,8198893
2007-01-17,4938.66,4938.66,4938.66,4938.66,14518570
2007-01-20,4651.02,4651.02,4651.02,4651.02,4190187
2007-01-21,4657.02,4657.02,4657.02,4657.02,6645109
2007-01-22,4489.81,4489.81,4489.81,4489.81,7415838
2007-01-23,4269.82,4269.82,4269.82,4269.82,13861268
2007-01-24,4028.66,4028.66,4028.66,4028.66,9247084
2007-01-27,4268.89,4268.89,4268.89,4268.89,7718929
2007-01-28,4363.08,4363.08,4363.08,4363.08,8216026
2007-01-29,4442.4,4442.4,4442.4,4442.4,13200035
2007-01-30,4588.75,4588.75,4588.75,4588.75,8168122
2007-01-31,4546.71,4546.71,4546.71,4546.71,13919903
2007-02-03,4713.92,4713.92,4713.92,4713.92,12120610
2007-02-04,4608.99,4608.99,4608.99,4608.99,10980643
2007-02-05,4598.25,4598.25,4598.25,4598.25,11272135
2007-02-06,4708.55,4708.55,4708.55,4708.55,10236942
2007-02-07,4996.81,4996.81,4996.81,4996.81,15437794
2007-02-10,4981,4981,4981,4981,12492483
2007-02-11,5017.67,5017.67,5017.67,5017.67,15670234
2007-02-12,4881.13,4881.13,4881.13,4881.13,9853523
2007-02-13,4948.78,4948.78,4948.78,4948.78,9264337
2007-02-14,4823.29,4823.29,4823.29,4823.29,3829040
2007-02-17,4948.78,4948.78,4948.78,4948.78,6668878
2007-02-18,5173.51,5173.51,5173.51,5173.51,6048325
2007-02-19,5460.84,5460.84,5460.84,5460.84,6505130
2007-02-20,5470.65,5470.65,5470.65,5470.65,11337206
2007-02-21,5753.22,5753.22,5753.22,5753.22,18194408
2007-02-24,5826.55,5826.55,5826.55,5826.55,15695871
2007-02-25,6066.78,6066.78,6066.78,6066.78,26902368
2007-02-26,5915.06,5915.06,5915.06,5915.06,11627850
2007-02-27,5878.7,5878.7,5878.7,5878.7,13760627
2007-02-28,5653.66,5653.66,5653.66,5653.66,6369527
2007-03-03,5941.6,5941.6,5941.6,5941.6,8420805
2007-03-04,6291.82,6291.82,6291.82,6291.82,17908145
2007-03-05,6846.54,6846.54,6846.54,6846.54,15520565
2007-03-06,6616.12,6616.12,6616.12,6616.12,12801960
2007-03-07,7086.77,7086.77,7086.77,7086.77,13117297
2007-03-10,7526.43,7526.43,7526.43,7526.43,18193694
2007-03-11,7259.66,7259.66,7259.66,7259.66,11241469
2007-03-12,7787.83,7787.83,7787.83,7787.83,13844380
2007-03-13,7635.49,7635.49,7635.49,7635.49,17155027
2007-03-14,7977.46,7977.46,7977.46,7977.46,21733557
2007-03-17,7735.99,7735.99,7735.99,7735.99,12151808
2007-03-18,7872.21,7872.21,7872.21,7872.21,8703898
2007-03-19,8097.57,8097.57,8097.57,8097.57,14413401
2007-03-20,8097.26,8097.26,8097.26,8097.26,12130352
2007-03-21,7908.88,7908.88,7908.88,7908.88,12356394
2007-03-24,7485.33,7485.33,7485.33,7485.33,8088493
2007-03-25,7835.24,7835.24,7835.24,7835.24,14900404
2007-03-26,7076.34,7076.34,7076.34,7076.34,8477982
2007-03-27,6506.13,6506.13,6506.13,6506.13,6344067
2007-03-28,6623.05,6623.05,6623.05,6623.05,10218478
2007-03-31,6524.73,6524.73,6524.73,6524.73,9819761
2007-04-01,6565.53,6565.53,6565.53,6565.53,23638463
2007-04-02,5958.03,5958.03,5958.03,5958.03,13411752
2007-04-03,6061.73,6061.73,6061.73,6061.73,12853130
2007-04-04,5993.46,5993.46,5993.46,5993.46,17309982
2007-04-07,6563.98,6563.98,6563.98,6563.98,9907531
2007-04-08,6683.17,6683.17,6683.17,6683.17,11447472
2007-04-09,6955.01,6955.01,6955.01,6955.01,16054038
2007-04-10,6939.82,6939.82,6939.82,6939.82,25010564
2007-04-11,6825.08,6825.08,6825.08,6825.08,20679937
2007-04-14,6705.58,6705.58,6705.58,6705.58,13357670
2007-04-15,6061.73,6061.73,6061.73,6061.73,9669751
2007-04-16,6009.26,6009.26,6009.26,6009.26,10362721
2007-04-17,5893.28,5893.28,5893.28,5893.28,13232851
2007-04-18,5967.23,5967.23,5967.23,5967.23,10513225
2007-04-21,5873.04,5873.04,5873.04,5873.04,4732632
2007-04-22,5773.48,5773.48,5773.48,5773.48,7263285
2007-04-23,5731.44,5731.44,5731.44,5731.44,13644210
2007-04-24,5380.91,5380.91,5380.91,5380.91,16455600
2007-04-25,5475.1,5475.1,5475.1,5475.1,16354730
2007-04-28,5998.52,5998.52,5998.52,5998.52,8623160
2007-04-29,5920.44,5920.44,5920.44,5920.44,12292432
2007-04-30,6244.43,6244.43,6244.43,6244.43,12974449
2007-05-01,6522.26,6522.26,6522.26,6522.26,20992048
2007-05-02,6510.28,6510.28,6510.28,6510.28,12046142
2007-05-05,6137.96,6137.96,6137.96,6137.96,10621672
2007-05-06,6238.45,6238.45,6238.45,6238.45,16192792
2007-05-07,6615.21,6615.21,6615.21,6615.21,17534113
2007-05-08,7024.2,7024.2,7024.2,7024.2,15498029
2007-05-09,7213.51,7213.51,7213.51,7213.51,14256346
2007-05-12,7564.05,7564.05,7564.05,7564.05,16398214
2007-05-13,7841.25,7841.25,7841.25,7841.25,14910498
2007-05-14,7689.53,7689.53,7689.53,7689.53,12714843
2007-05-15,7432.26,7432.26,7432.26,7432.26,12471481
2007-05-16,7484.73,7484.73,7484.73,7484.73,8862624
2007-05-19,7646.26,7646.26,7646.26,7646.26,10853792
2007-05-20,7687.99,7687.99,7687.99,7687.99,10186635
2007-05-21,7693.98,7693.98,7693.98,7693.98,7230776
2007-05-22,7709.47,7709.47,7709.47,7709.47,6689936
2007-05-23,7364.3,7364.3,7364.3,7364.3,11874336
2007-05-26,7552.38,7552.38,7552.38,7552.38,11928578
2007-05-27,7374.43,7374.43,7374.43,7374.43,5754805
2007-05-28,7232.83,7232.83,7232.83,7232.83,6077341
2007-05-29,6589.29,6589.29,6589.29,6589.29,7011644
2007-05-30,6594.66,6594.66,6594.66,6594.66,8236699
2007-06-02,6071.54,6071.54,6071.54,6071.54,5456813
2007-06-03,6228.63,6228.63,6228.63,6228.63,8133810
2007-06-04,6202.4,6202.4,6202.4,6202.4,8039767
2007-06-05,6081.98,6081.98,6081.98,6081.98,4849694
2007-06-06,6129.38,6129.38,6129.38,6129.38,4318428
2007-06-09,6437.88,6437.88,6437.88,6437.88,7559834
2007-06-10,6536.82,6536.82,6536.82,6536.82,8162780
2007-06-11,5950.81,5950.81,5950.81,5950.81,6150101
2007-06-12,5694.47,5694.47,5694.47,5694.47,5820803
2007-06-13,5725.76,5725.76,5725.76,5725.76,4589878
2007-06-16,5375.23,5375.23,5375.23,5375.23,2472372
2007-06-17,5349.61,5349.61,5349.61,5349.61,5249120
2007-06-18,5255.73,5255.73,5255.73,5255.73,3318623
2007-06-19,5235.18,5235.18,5235.18,5235.18,6034054
2007-06-20,5344.86,5344.86,5344.86,5344.86,7234051
2007-06-23,5402.39,5402.39,5402.39,5402.39,4270379
2007-06-24,5789.59,5789.59,5789.59,5789.59,10458662
2007-06-25,5809.52,5809.52,5809.52,5809.52,10127584
2007-06-26,5642.31,5642.31,5642.31,5642.31,9757237
2007-06-27,5417.57,5417.57,5417.57,5417.57,5064570
2007-06-30,5511.76,5511.76,5511.76,5511.76,5625644
2007-07-01,5590.46,5590.46,5590.46,5590.46,3188592
2007-07-02,5678.97,5678.97,5678.97,5678.97,6371986
2007-07-03,5548.12,5548.12,5548.12,5548.12,3090205
2007-07-04,5558.86,5558.86,5558.86,5558.86,3910370
2007-07-07,5815.2,5815.2,5815.2,5815.2,6719077
2007-07-08,6187.53,6187.53,6187.53,6187.53,10530050
2007-07-09,6329.12,6329.12,6329.12,6329.12,11924644
2007-07-10,6423,6423,6423,6423,11959248
2007-07-11,6579.78,6579.78,6579.78,6579.78,15677332
2007-07-14,6831.07,6831.07,6831.07,6831.07,14406947
2007-07-15,6642.06,6642.06,6642.06,6642.06,4666183
2007-07-16,6741.94,6741.94,6741.94,6741.94,6901147
2007-07-17,6753.29,6753.29,6753.29,6753.29,10447454
2007-07-18,6673.98,6673.98,6673.98,6673.98,7813324
2007-07-21,6872.79,6872.79,6872.79,6872.79,5320483
2007-07-22,6668.61,6668.61,6668.61,6668.61,2724253
2007-07-23,6511.52,6511.52,6511.52,6511.52,2395800
2007-07-24,6741.94,6741.94,6741.94,6741.94,3515810
2007-07-25,6767.86,6767.86,6767.86,6767.86,4185149
2007-07-28,6720.76,6720.76,6720.76,6720.76,3016020
2007-07-29,6971.43,6971.43,6971.43,6971.43,6152677
2007-07-30,6966.67,6966.67,6966.67,6966.67,8502323
2007-07-31,6830.45,6830.45,6830.45,6830.45,3553494
2007-08-01,6851.31,6851.31,6851.31,6851.31,7685679
2007-08-04,6830.45,6830.45,6830.45,6830.45,4446220
2007-08-05,6914.21,6914.21,6914.21,6914.21,4299500
2007-08-06,6887.98,6887.98,6887.98,6887.98,5506715
2007-08-07,6982.17,6982.17,6982.17,6982.17,11280119
2007-08-08,6919.58,6919.58,6919.58,6919.58,4326756
2007-08-11,7008.71,7008.71,7008.71,7008.71,4744130
2007-08-12,6992.91,6992.91,6992.91,6992.91,4383577
2007-08-13,7019.14,7019.14,7019.14,7019.14,5646331
2007-08-14,6998.28,6998.28,6998.28,6998.28,4147274
2007-08-15,6883.22,6883.22,6883.22,6883.22,1814226
2007-08-18,6930.32,6930.32,6930.32,6930.32,2872960
2007-08-19,7061.18,7061.18,7061.18,7061.18,4468343
2007-08-20,7118.7,7118.7,7118.7,7118.7,7031525
2007-08-21,6987.85,6987.85,6987.85,6987.85,6613073
2007-08-22,7082.04,7082.04,7082.04,7082.04,5684227
2007-08-25,7307.09,7307.09,7307.09,7307.09,7200259
2007-08-26,7359.55,7359.55,7359.55,7359.55,8978177
2007-08-27,7401.28,7401.28,7401.28,7401.28,8553796
2007-08-28,7437.63,7437.63,7437.63,7437.63,9803092
2007-08-29,7464.18,7464.18,7464.18,7464.18,10882796
2007-09-01,6841.5,6841.5,6841.5,6841.5,6701997
2007-09-02,6773.54,6773.54,6773.54,6773.54,5452840
2007-09-03,6940.75,6940.75,6940.75,6940.75,4279487
2007-09-04,6553.55,6553.55,6553.55,6553.55,4722744
2007-09-05,6595.28,6595.28,6595.28,6595.28,2737363
2007-09-08,6642.37,6642.37,6642.37,6642.37,2811668
2007-09-09,6511.83,6511.83,6511.83,6511.83,2590327
2007-09-10,6673.98,6673.98,6673.98,6673.98,3701886
2007-09-11,6501.39,6501.39,6501.39,6501.39,6079647
2007-09-12,6511.83,6511.83,6511.83,6511.83,2619359
2007-09-15,6496.33,6496.33,6496.33,6496.33,2173740
2007-09-16,6485.9,6485.9,6485.9,6485.9,1725445
2007-09-17,6637.62,6637.62,6637.62,6637.62,3099851
2007-09-18,6648.05,6648.05,6648.05,6648.05,2344436
2007-09-19,6647.74,6647.74,6647.74,6647.74,2667537
2007-09-22,6830.76,6830.76,6830.76,6830.76,3517139
2007-09-24,6866.8,6866.8,6866.8,6866.8,2316965
2007-09-25,6767.86,6767.86,6767.86,6767.86,3743828
2007-09-26,6663.24,6663.24,6663.24,6663.24,1212345
2007-09-29,6140.12,6140.12,6140.12,6140.12,2345850
2007-09-30,5962.79,5962.79,5962.79,5962.79,3299697
2007-10-01,6046.55,6046.55,6046.55,6046.55,3102657
2007-10-02,5894.83,5894.83,5894.83,5894.83,1808363
2007-10-03,5680.83,5680.83,5680.83,5680.83,1806553
2007-10-06,5633.73,5633.73,5633.73,5633.73,1499635
2007-10-07,5795.88,5795.88,5795.88,5795.88,2490381
2007-10-08,5769.96,5769.96,5769.96,5769.96,1035309
2007-10-09,5728.23,5728.23,5728.23,5728.23,2334936
2007-10-10,5712.43,5712.43,5712.43,5712.43,1592266
2007-10-20,6068.34,6068.34,6068.34,6068.34,1745713
2007-10-21,6156.54,6156.54,6156.54,6156.54,2155736
2007-10-22,6250.42,6250.42,6250.42,6250.42,3549675
2007-10-23,6229.56,6229.56,6229.56,6229.56,3351663
2007-10-24,6323.75,6323.75,6323.75,6323.75,3301668
2007-10-27,6392.02,6392.02,6392.02,6392.02,3894034
2007-10-28,6313.63,6313.63,6313.63,6313.63,2325691
2007-10-29,6261.47,6261.47,6261.47,6261.47,1923535
2007-10-30,6234.93,6234.93,6234.93,6234.93,3783644
2007-10-31,6250.73,6250.73,6250.73,6250.73,2036751
2007-11-03,6334.49,6334.49,6334.49,6334.49,2637005
2007-11-04,6371.47,6371.47,6371.47,6371.47,4983374
2007-11-05,6261.47,6261.47,6261.47,6261.47,2236364
2007-11-06,6371.47,6371.47,6371.47,6371.47,1955609
2007-11-07,6387.27,6387.27,6387.27,6387.27,2456501
2007-11-10,6408.13,6408.13,6408.13,6408.13,2179009
2007-11-11,6355.66,6355.66,6355.66,6355.66,1850262
2007-11-12,6381.9,6381.9,6381.9,6381.9,1269359
2007-11-13,6402.76,6402.76,6402.76,6402.76,2777484
2007-11-14,6397.39,6397.39,6397.39,6397.39,4576850
2007-11-17,6376.53,6376.53,6376.53,6376.53,4718248
2007-11-18,6376.53,6376.53,6376.53,6376.53,2272041
2007-11-19,6465.66,6465.66,6465.66,6465.66,3176560
2007-11-20,6512.75,6512.75,6512.75,6512.75,6207428
2007-11-21,6507.38,6507.38,6507.38,6507.38,4665091
2007-11-24,6591.14,6591.14,6591.14,6591.14,5185297
2007-11-25,6559.85,6559.85,6559.85,6559.85,2369952
2007-11-26,6691.01,6691.01,6691.01,6691.01,5203810
2007-11-27,6460.6,6460.6,6460.6,6460.6,2968638
2007-11-28,6486.83,6486.83,6486.83,6486.83,1404615
2007-12-01,6381.9,6381.9,6381.9,6381.9,1066512
2007-12-02,6371.47,6371.47,6371.47,6371.47,736069
2007-12-03,6428.99,6428.99,6428.99,6428.99,1627839
2007-12-04,6606.64,6606.64,6606.64,6606.64,6273833
2007-12-05,6465.66,6465.66,6465.66,6465.66,2917976
2007-12-08,6397.7,6397.7,6397.7,6397.7,1613795
2007-12-09,6392.64,6392.64,6392.64,6392.64,1072131
2007-12-10,6392.64,6392.64,6392.64,6392.64,992840
2007-12-11,6256.72,6256.72,6256.72,6256.72,1400785
2007-12-12,6293.69,6293.69,6293.69,6293.69,2559648
2007-12-15,6413.81,6413.81,6413.81,6413.81,5651725
2007-12-16,6419.18,6419.18,6419.18,6419.18,2097347
2007-12-17,6508.62,6508.62,6508.62,6508.62,5571106
2007-12-24,6587.32,6587.32,6587.32,6587.32,4393236
2007-12-25,6529.48,6529.48,6529.48,6529.48,2430799
2007-12-26,6597.75,6597.75,6597.75,6597.75,2124631
2007-12-29,6576.89,6576.89,6576.89,6576.89,2660878
2007-12-30,6482.7,6482.7,6482.7,6482.7,1836247
2007-12-31,6194.75,6194.75,6194.75,6194.75,1838239
2008-01-01,5922.3,5922.3,5922.3,5922.3,2321564
2008-01-02,5828.11,5828.11,5828.11,5828.11,1735849
2008-01-05,5980.13,5980.13,5980.13,5980.13,1530943
2008-01-06,5885.94,5885.94,5885.94,5885.94,1531181
2008-01-07,6042.72,6042.72,6042.72,6042.72,3107218
2008-01-08,6200.43,6200.43,6200.43,6200.43,4613584
2008-01-09,5990.87,5990.87,5990.87,5990.87,4505410
2008-01-12,6032.91,6032.91,6032.91,6032.91,3528236
2008-01-13,6311.04,6311.04,6311.04,6311.04,3687277
2008-01-14,6336.66,6336.66,6336.66,6336.66,6196858
2008-01-15,6195.37,6195.37,6195.37,6195.37,5202297
2008-01-16,6032.91,6032.91,6032.91,6032.91,2083482
2008-01-19,6069.57,6069.57,6069.57,6069.57,1042517
2008-01-20,5619.48,5619.48,5619.48,5619.48,2001794
2008-01-21,5561.95,5561.95,5561.95,5561.95,2092248
2008-01-22,5027.78,5027.78,5027.78,5027.78,1182787
2008-01-23,4949.39,4949.39,4949.39,4949.39,2297649
2008-01-26,5069.82,5069.82,5069.82,5069.82,1082594
2008-01-27,5153.58,5153.58,5153.58,5153.58,726199
2008-01-28,5048.65,5048.65,5048.65,5048.65,1985603
2008-01-29,5090.68,5090.68,5090.68,5090.68,743929
2008-01-30,5101.11,5101.11,5101.11,5101.11,1502820
2008-02-02,5043.59,5043.59,5043.59,5043.59,790706
2008-02-03,5080.25,5080.25,5080.25,5080.25,641826
2008-02-04,5153.58,5153.58,5153.58,5153.58,1049100
2008-02-05,5211.11,5211.11,5211.11,5211.11,1538799
2008-02-06,4970.26,4970.26,4970.26,4970.26,2422473
2008-02-09,4766.07,4766.07,4766.07,4766.07,781182
2008-02-10,4813.17,4813.17,4813.17,4813.17,807685
2008-02-11,4839.4,4839.4,4839.4,4839.4,644581
2008-02-12,4886.5,4886.5,4886.5,4886.5,526015
2008-02-13,4849.83,4849.83,4849.83,4849.83,1238785
2008-02-16,5022.72,5022.72,5022.72,5022.72,2237336
2008-02-17,4980.69,4980.69,4980.69,4980.69,1021590
2008-02-18,5132.41,5132.41,5132.41,5132.41,3616792
2008-02-19,5127.35,5127.35,5127.35,5127.35,880748
2008-02-20,5080.25,5080.25,5080.25,5080.25,523541
2008-02-23,5143.15,5143.15,5143.15,5143.15,1212067
2008-02-24,5284.74,5284.74,5284.74,5284.74,2424963
2008-02-25,5331.84,5331.84,5331.84,5331.84,1399430
2008-02-26,6658.71,6658.71,6658.71,6658.71,1047944
2008-02-27,6503.47,6503.47,6503.47,6503.47,845632
2008-03-01,6555.01,6555.01,6555.01,6555.01,624124
2008-03-02,6404.68,6404.68,6404.68,6404.68,405000
2008-03-03,6321.85,6321.85,6321.85,6321.85,311573
2008-03-04,6394.25,6394.25,6394.25,6394.25,677997
2008-03-05,6332.28,6332.28,6332.28,6332.28,407420
2008-03-08,6342.71,6342.71,6342.71,6342.71,807969
2008-03-09,6280.74,6280.74,6280.74,6280.74,242671
2008-03-10,6265.4,6265.4,6265.4,6265.4,406358
2008-03-11,6270.31,6270.31,6270.31,6270.31,1667674
2008-03-12,6285.64,6285.64,6285.64,6285.64,831773
2008-03-15,6291.78,6291.78,6291.78,6291.78,653061
2008-03-16,6171.52,6171.52,6171.52,6171.52,1547190
2008-03-17,6161.08,6161.08,6161.08,6161.08,943486
2008-03-18,6176.42,6176.42,6176.42,6176.42,450162
2008-03-19,6031,6031,6031,6031,513872
2008-03-22,5600.87,5600.87,5600.87,5600.87,1167503
2008-03-23,5574.48,5574.48,5574.48,5574.48,935067
2008-03-24,5667.75,5667.75,5667.75,5667.75,2312356
2008-03-25,5703.95,5703.95,5703.95,5703.95,1256219
2008-03-26,5600.25,5600.25,5600.25,5600.25,590302
2008-03-29,5703.33,5703.33,5703.33,5703.33,1024906
2008-03-30,5688,5688,5688,5688,911447
2008-03-31,5993.56,5993.56,5993.56,5993.56,1203188
2008-04-01,5937.12,5937.12,5937.12,5937.12,1270259
2008-04-02,6009.52,6009.52,6009.52,6009.52,1348055
2008-04-05,6009.52,6169.42,5971.7,6000.9,554446
2008-04-06,6000.9,6093.78,5975.04,5975.04,728536
2008-04-07,5975.04,6050.68,5928.6,6050.68,447409
2008-04-08,6050.68,6059.3,5975.04,5983.66,413761
2008-04-09,5983.66,6000.9,5899.4,5975.04,677544
2008-04-12,5975.04,5975.04,5890.78,5928.6,425276
2008-04-13,5928.6,6286.22,5928.6,6012.86,1540263
2008-04-14,6012.86,6312.08,6012.86,6294.84,1146648
2008-04-15,6294.84,6341.28,6257.02,6277.6,515107
2008-04-16,6277.6,6332.66,6277.6,6277.6,226342
2008-04-19,6277.6,6382.44,6260.36,6353.25,298286
2008-04-20,6353.24,6655.81,6298.18,6530.39,790543
2008-04-21,6530.39,6623.27,6530.39,6594.07,822049
2008-04-22,6594.07,6678.33,6527.05,6585.45,999663
2008-04-23,6585.45,6791.79,6539.01,6728.11,719180
2008-04-26,6728.11,6980.9,6728.11,6934.46,797372
2008-04-27,6934.45,7376.34,6934.45,7082.4,3823107
2008-04-28,7082.4,7299.3,6872.71,7206.42,3754787
2008-04-29,7206.42,7206.42,6872.71,6872.72,1400698
2008-04-30,6872.71,6872.71,6668.31,6749.24,16813832
2008-05-03,6749.24,6876.6,6714.75,6856.02,22207932
2008-05-04,6856.02,6962.8,6812.92,6869.92,16626859
2008-05-05,6869.92,6948.9,6809.58,6830.16,16338325
2008-05-06,6830.16,7031.22,6723.38,6723.37,21995923
2008-05-07,6723.38,6752.58,6482.55,6558.19,13615388
2008-05-10,6558.19,6558.19,6038.72,6346.57,15867132
2008-05-11,6346.57,6578.77,6346.57,6561.53,16303143
2008-05-12,6561.53,6616.59,6456.69,6587.39,15715301
2008-05-13,6587.39,6604.63,6473.93,6596.01,18069106
2008-05-14,6596.01,6747.29,6540.95,6647.73,27148247
2008-05-17,6647.73,7185.84,6630.49,7177.22,20311966
2008-05-18,7177.22,7215.04,6874.66,6895.23,9800423
2008-05-19,6895.24,6895.24,6735.33,6764.53,27507823
2008-05-20,6764.53,6857.42,6764.53,6764.53,13588532
2008-05-21,6764.53,6810.98,6671.65,6709.47,9470218
2008-05-24,6764.53,6810.98,6671.65,6767.87,12046318
2008-05-25,6767.87,6805.69,6674.99,6683.61,10912474
2008-05-26,6683.61,6733.39,6527.05,6573.49,6625483
2008-05-27,6573.49,6573.49,6413.59,6489.23,10192385
2008-05-28,6489.23,6707.53,6387.73,6501.19,3596582
2008-05-31,6501.19,6686.95,6471.99,6556.25,2993102
2008-06-01,6556.25,6611.31,6442.79,6480.61,7540241
2008-06-02,6480.61,6602.69,6471.99,6471.99,6375419
2008-06-03,6471.99,6686.95,6463.37,6602.69,5935853
2008-06-04,6602.69,6771.21,6602.69,6771.21,11989385
2008-06-07,6771.21,6872.71,6742.01,6779.83,13078928
2008-06-08,6779.83,6779.83,6716.15,6745.35,7658852
2008-06-09,6745.35,6986.18,6745.35,6986.17,5173574
2008-06-10,6986.18,6994.8,6695.57,6742.01,5313236
2008-06-11,6742.01,6838.23,6724.77,6762.59,8864336
2008-06-14,6762.59,6876.05,6762.59,6838.23,15570986
2008-06-15,6838.23,6913.87,6753.97,6783.17,5704757
2008-06-16,6783.17,6829.61,6745.35,6800.42,5355852
2008-06-17,6800.41,7300.7,6791.79,7065.16,9652719
2008-06-18,7065.16,7178.62,6913.87,7056.54,9535973
2008-06-21,7056.54,7321.28,7056.54,7161.38,10755318
2008-06-22,7161.38,7510.38,7094.36,7426.12,13184068
2008-06-23,7426.12,7623.84,7426.12,7577.4,18837137
2008-06-24,7577.4,7615.22,7463.94,7530.96,9454144
2008-06-25,7530.96,7530.96,7248.98,7362.44,6313131
2008-06-28,7362.44,7362.44,6953.09,6990.91,11884192
2008-06-29,6990.91,7142.19,6953.09,7037.35,8460506
2008-06-30,7037.35,7226.46,6886.07,6923.89,4669965
2008-07-01,6923.89,7045.97,6886.07,6999.54,9855136
2008-07-02,6999.53,7164.72,6999.53,7135.52,7056570
2008-07-05,7135.52,7208.83,7041.74,7041.74,604644
2008-07-06,7041.74,7041.74,6911.3,7015.32,693032
2008-07-07,7015.32,7115.05,6968.43,7115.05,611116
2008-07-08,7115.05,7214.78,6927.49,7157.65,1346645
2008-07-09,7157.66,7277.86,6760.4,7053.64,1705401
2008-07-12,7053.64,7053.64,6813.25,6996.52,909701
2008-07-13,6996.52,7053.64,6933.45,6980.34,1662153
2008-07-14,6980.33,6980.33,6739.94,6739.93,952568
2008-07-15,6739.94,6945.35,6511.44,6684.48,1875037
