"Index","Open","High","Low","Close","Volume"
2007-01-06,5219.53,5219.53,5219.53,5219.53,18633853
2007-01-07,5018.34,5018.34,5018.34,5018.34,16499392
2007-01-08,5000.44,5000.44,5000.44,5000.44,12558581
2007-01-09,5094.49,5094.49,5094.49,5094.49,15250641
2007-01-10,4888.86,4888.86,4888.86,4888.86,19519372
2007-01-13,4517.03,4517.03,4517.03,4517.03,11135654
2007-01-14,4513.04,4513.04,4513.04,4513.04,12598820
2007-01-15,4791.29,4791.29,4791.29,4791.29,20981873
2007-01-16,4594.92,4594.92,4594.92,4594.92,12516839
2007-01-17,4751.86,4751.86,4751.86,4751.86,19579306
2007-01-20,4796.13,4796.13,4796.13,4796.13,19935370
2007-01-21,4861.63,4861.63,4861.63,4861.63,20359762
2007-01-22,4943.1,4943.1,4943.1,4943.1,24516738
2007-01-23,4824.99,4824.99,4824.99,4824.99,16659679
2007-01-24,4636.72,4636.72,4636.72,4636.72,10029705
2007-01-27,4728.19,4728.19,4728.19,4728.19,15854029
2007-01-28,4877.46,4877.46,4877.46,4877.46,20604629
2007-01-29,4678.93,4678.93,4678.93,4678.93,12650259
2007-01-30,4714.09,4714.09,4714.09,4714.09,7057650
2007-01-31,4761.92,4761.92,4761.92,4761.92,13545816
2007-02-03,4884.54,4884.54,4884.54,4884.54,59889760
2007-02-04,4816.88,4816.88,4816.88,4816.88,39963571
2007-02-05,4789.61,4789.61,4789.61,4789.61,28032603
2007-02-06,4830.18,4830.18,4830.18,4830.18,28383668
2007-02-07,4886.95,4886.95,4886.95,4886.95,29371333
2007-02-10,4941.61,4941.61,4941.61,4941.61,27326406
2007-02-11,4892.01,4892.01,4892.01,4892.01,20926821
2007-02-12,4885.74,4885.74,4885.74,4885.74,22675762
2007-02-13,4882.13,4882.13,4882.13,4882.13,15354325
2007-02-14,4937,4937,4937,4937,18014759
2007-02-17,5066.84,5066.84,5066.84,5066.84,20917888
2007-02-18,5103.56,5103.56,5103.56,5103.56,23323357
2007-02-19,5319.33,5319.33,5319.33,5319.33,32913968
2007-02-20,5202.27,5202.27,5202.27,5202.27,21782220
2007-02-21,5336.56,5336.56,5336.56,5336.56,25744747
2007-02-24,5465.65,5465.65,5465.65,5465.65,19310274
2007-02-25,5394.42,5394.42,5394.42,5394.42,23674349
2007-02-26,5518.71,5518.71,5518.71,5518.71,30739759
2007-02-27,5557.17,5557.17,5557.17,5557.17,37152149
2007-02-28,5559.43,5559.43,5559.43,5559.43,26833387
2007-03-03,5853.29,5853.29,5853.29,5853.29,29364429
2007-03-04,6035.76,6035.76,6035.76,6035.76,34161714
2007-03-05,6242.8,6242.8,6242.8,6242.8,32252558
2007-03-06,6221.15,6221.15,6221.15,6221.15,32561615
2007-03-07,6322.61,6322.61,6322.61,6322.61,32894130
2007-03-10,6527.61,6527.61,6527.61,6527.61,44603955
2007-03-11,6304.51,6304.51,6304.51,6304.51,31013577
2007-03-12,6541.92,6541.92,6541.92,6541.92,42786060
2007-03-13,6257.12,6257.12,6257.12,6257.12,23998580
2007-03-14,6516.76,6516.76,6516.76,6516.76,32938446
2007-03-17,6504.53,6504.53,6504.53,6504.53,29708389
2007-03-18,6653.18,6653.18,6653.18,6653.18,34384982
2007-03-19,6929.4,6929.4,6929.4,6929.4,55089346
2007-03-20,6974.76,6974.76,6974.76,6974.76,36842714
2007-03-21,6902.25,6902.25,6902.25,6902.25,34969444
2007-03-24,6631.87,6631.87,6631.87,6631.87,25878576
2007-03-25,6615.1,6615.1,6615.1,6615.1,28847962
2007-03-26,6058.46,6058.46,6058.46,6058.46,22351453
2007-03-27,5530.2,5530.2,5530.2,5530.2,20743157
2007-03-28,5197.64,5197.64,5197.64,5197.64,27244026
2007-03-31,4845.22,4845.22,4845.22,4845.22,14670048
2007-04-01,5134.25,5134.25,5134.25,5134.25,22503106
2007-04-02,4785.32,4785.32,4785.32,4785.32,22405242
2007-04-03,4898.18,4898.18,4898.18,4898.18,19951961
2007-04-04,5061.64,5061.64,5061.64,5061.64,23313497
2007-04-07,5512.93,5512.93,5512.93,5512.93,29150293
2007-04-08,5448.86,5448.86,5448.86,5448.86,34406865
2007-04-09,5341.23,5341.23,5341.23,5341.23,21121101
2007-04-10,5526.18,5526.18,5526.18,5526.18,24941958
2007-04-11,5361.48,5361.48,5361.48,5361.48,16354974
2007-04-14,5068.92,5068.92,5068.92,5068.92,14990930
2007-04-15,4732.67,4732.67,4732.67,4732.67,10983609
2007-04-16,4851.19,4851.19,4851.19,4851.19,11773442
2007-04-17,4771.27,4771.27,4771.27,4771.27,9736087
2007-04-18,4876.71,4876.71,4876.71,4876.71,14255319
2007-04-21,4855.3,4855.3,4855.3,4855.3,21534960
2007-04-22,4896.92,4896.92,4896.92,4896.92,15827908
2007-04-23,4874.61,4874.61,4874.61,4874.61,17773495
2007-04-24,4744.08,4744.08,4744.08,4744.08,13116535
2007-04-25,4814.29,4814.29,4814.29,4814.29,15171495
2007-04-28,5141.89,5141.89,5141.89,5141.89,26347471
2007-04-29,5043.07,5043.07,5043.07,5043.07,25470400
2007-04-30,5273.7,5273.7,5273.7,5273.7,22966790
2007-05-01,5361.29,5361.29,5361.29,5361.29,30171604
2007-05-02,5282.18,5282.18,5282.18,5282.18,27042514
2007-05-05,5051.9,5051.9,5051.9,5051.9,18152978
2007-05-06,5146.9,5146.9,5146.9,5146.9,12852775
2007-05-07,5154.63,5154.63,5154.63,5154.63,17729908
2007-05-08,5323.39,5323.39,5323.39,5323.39,20219009
2007-05-09,5300.05,5300.05,5300.05,5300.05,20365752
2007-05-12,5378.9,5378.9,5378.9,5378.9,23961711
2007-05-13,5521.32,5521.32,5521.32,5521.32,22727558
2007-05-14,5548.88,5548.88,5548.88,5548.88,37307570
2007-05-15,5606.43,5606.43,5606.43,5606.43,25681359
2007-05-16,5527.4,5527.4,5527.4,5527.4,24755289
2007-05-19,5642.78,5642.78,5642.78,5642.78,26392377
2007-05-20,5820.62,5820.62,5820.62,5820.62,31483549
2007-05-21,5879.84,5879.84,5879.84,5879.84,27652118
2007-05-22,5940.47,5940.47,5940.47,5940.47,31993025
2007-05-23,5857.28,5857.28,5857.28,5857.28,25884235
2007-05-26,5959.24,5959.24,5959.24,5959.24,18447806
2007-05-27,5881.82,5881.82,5881.82,5881.82,13308486
2007-05-28,5813.99,5813.99,5813.99,5813.99,14200823
2007-05-29,5605.24,5605.24,5605.24,5605.24,11540767
2007-05-30,5655.58,5655.58,5655.58,5655.58,12545350
2007-06-02,5486.19,5486.19,5486.19,5486.19,8046277
2007-06-03,5521.6,5521.6,5521.6,5521.6,7716236
2007-06-04,5446.34,5446.34,5446.34,5446.34,8155629
2007-06-05,5374.36,5374.36,5374.36,5374.36,7392308
2007-06-06,5412.86,5412.86,5412.86,5412.86,9126681
2007-06-09,5573.24,5573.24,5573.24,5573.24,15109786
2007-06-10,5607.63,5607.63,5607.63,5607.63,11611211
2007-06-11,5290.9,5290.9,5290.9,5290.9,8875137
2007-06-12,5141.48,5141.48,5141.48,5141.48,11605029
2007-06-13,5112.91,5112.91,5112.91,5112.91,9430663
2007-06-16,4915.63,4915.63,4915.63,4915.63,6229289
2007-06-17,4945.35,4945.35,4945.35,4945.35,9151833
2007-06-18,4852,4852,4852,4852,5481237
2007-06-19,4865.3,4865.3,4865.3,4865.3,9165720
2007-06-20,4915.06,4915.06,4915.06,4915.06,11247816
2007-06-23,5007.54,5007.54,5007.54,5007.54,10617764
2007-06-24,5171.38,5171.38,5171.38,5171.38,14452578
2007-06-25,5078.43,5078.43,5078.43,5078.43,12385731
2007-06-26,5105.88,5105.88,5105.88,5105.88,12460080
2007-06-27,5001.27,5001.27,5001.27,5001.27,11167419
2007-06-30,4961.54,4961.54,4961.54,4961.54,8243117
2007-07-01,4920.72,4920.72,4920.72,4920.72,6221801
2007-07-02,5037.14,5037.14,5037.14,5037.14,10975056
2007-07-03,4997.51,4997.51,4997.51,4997.51,5363167
2007-07-04,5072.1,5072.1,5072.1,5072.1,9494666
2007-07-07,5248.51,5248.51,5248.51,5248.51,15285256
2007-07-08,5281.95,5281.95,5281.95,5281.95,14438131
2007-07-09,5304.13,5304.13,5304.13,5304.13,13161921
2007-07-10,5307.28,5307.28,5307.28,5307.28,12475059
2007-07-11,5410.74,5410.74,5410.74,5410.74,16911371
2007-07-14,5536.76,5536.76,5536.76,5536.76,22439077
2007-07-15,5530.98,5530.98,5530.98,5530.98,14041050
2007-07-16,5531.07,5531.07,5531.07,5531.07,11852365
2007-07-17,5454.57,5454.57,5454.57,5454.57,10367791
2007-07-18,5450.17,5450.17,5450.17,5450.17,8954934
2007-07-21,5522.56,5522.56,5522.56,5522.56,8982659
2007-07-22,5363.08,5363.08,5363.08,5363.08,7367556
2007-07-23,5260.93,5260.93,5260.93,5260.93,5172581
2007-07-24,5414.46,5414.46,5414.46,5414.46,9954415
2007-07-25,5435.23,5435.23,5435.23,5435.23,11093739
2007-07-28,5395.92,5395.92,5395.92,5395.92,9263351
2007-07-29,5479.64,5479.64,5479.64,5479.64,7912654
2007-07-30,5497.08,5497.08,5497.08,5497.08,12086169
2007-07-31,5463.42,5463.42,5463.42,5463.42,9691836
2007-08-01,5445.68,5445.68,5445.68,5445.68,6025403
2007-08-04,5439.78,5439.78,5439.78,5439.78,7118292
2007-08-05,5508.27,5508.27,5508.27,5508.27,12116259
2007-08-06,5495.38,5495.38,5495.38,5495.38,12510218
2007-08-07,5523.35,5523.35,5523.35,5523.35,13988555
2007-08-08,5521.69,5521.69,5521.69,5521.69,8151776
2007-08-11,5518.4,5518.4,5518.4,5518.4,7403759
2007-08-12,5570.03,5570.03,5570.03,5570.03,11022896
2007-08-13,5595.39,5595.39,5595.39,5595.39,12304679
2007-08-14,5603.9,5603.9,5603.9,5603.9,11046409
2007-08-15,5522.86,5522.86,5522.86,5522.86,8697878
2007-08-18,5528.81,5528.81,5528.81,5528.81,13048426
2007-08-19,5630.44,5630.44,5630.44,5630.44,19251104
2007-08-20,5682.62,5682.62,5682.62,5682.62,14994011
2007-08-21,5609.79,5609.79,5609.79,5609.79,12407526
2007-08-22,5660.5,5660.5,5660.5,5660.5,14769935
2007-08-25,5732.39,5732.39,5732.39,5732.39,18197077
2007-08-26,5812.57,5812.57,5812.57,5812.57,19082659
2007-08-27,5770.17,5770.17,5770.17,5770.17,18791505
2007-08-28,5775.53,5775.53,5775.53,5775.53,14068198
2007-08-29,5750.91,5750.91,5750.91,5750.91,12628169
2007-09-01,5429.65,5429.65,5429.65,5429.65,10058561
2007-09-02,5373.52,5373.52,5373.52,5373.52,8389655
2007-09-03,5404.1,5404.1,5404.1,5404.1,7521239
2007-09-04,5245.53,5245.53,5245.53,5245.53,5133446
2007-09-05,5229.94,5229.94,5229.94,5229.94,5366148
2007-09-08,5316.79,5316.79,5316.79,5316.79,5228951
2007-09-09,5322.82,5322.82,5322.82,5322.82,6707804
2007-09-10,5389,5389,5389,5389,12956428
2007-09-11,5332.27,5332.27,5332.27,5332.27,10538253
2007-09-12,5361.39,5361.39,5361.39,5361.39,7333382
