"Index","Open","High","Low","Close","Volume"
2005-02-01,1000,1000,1000,1000,283817
2005-02-02,1000,1000,1000,1000,383895
2005-02-03,1000,1000,1000,1000,155287
2005-02-05,1000,1000,1000,1000,334581
2005-02-06,1000,1000,1000,1000,286436
2005-02-07,1000,1000,1000,1000,1114652
2005-02-08,1000,1000,1000,1000,271047
2005-02-09,1000,1000,1000,1000,1105903
2005-02-10,1000,1000,1000,1000,638092
2005-02-12,1000,1011.79,988.9,1004.16,569935
2005-02-13,1004.16,1008.32,995.84,1002.08,382279
2005-02-14,1002.08,1040.22,995.15,1040.22,756864
2005-02-15,1040.22,1063.8,1037.45,1057.56,1483596
2005-02-16,1057.56,1057.56,1030.51,1054.09,709116
2005-02-17,1054.09,1056.86,1049.24,1050.62,111985
2005-02-19,1050.62,1056.86,1032.59,1041.6,652682
2005-02-20,1041.6,1045.76,1035.36,1035.36,288946
2005-02-21,1035.36,1047.15,1031.89,1040.91,192109
2005-02-22,1040.91,1045.76,1039.52,1040.91,138210
2005-02-23,1040.91,1046.46,1036.06,1046.46,210220
2005-02-24,1046.46,1083.21,1046.46,1074.2,686192
2005-02-26,1074.2,1092.92,1073.51,1078.36,343862
2005-02-27,1078.36,1098.47,1072.12,1090.15,374222
2005-02-28,1090.15,1106.79,1090.15,1098.47,298715
2005-03-01,1098.47,1170.59,1092.23,1159.5,1278134
2005-03-02,1159.5,1165.74,1138,1158.81,543156
2005-03-03,1158.81,1176.15,1156.73,1170.6,205487
2005-03-05,1170.6,1233.71,1165.75,1219.84,1155038
2005-03-06,1219.84,1248.27,1210.13,1228.86,600506
2005-03-07,1228.86,1350.22,1228.86,1325.95,2194031
2005-03-08,1325.95,1435.52,1325.95,1409.17,2021638
2005-03-09,1409.17,1409.17,1317.63,1323.18,1041467
2005-03-10,1323.18,1351.61,1309.31,1331.5,251474
2005-03-12,1273.25,1273.25,1273.25,1273.25,336539
2005-03-13,1260.77,1260.77,1260.77,1260.77,214854
2005-03-14,1303.07,1303.07,1303.07,1303.07,1132004
2005-03-15,1314.17,1314.17,1314.17,1314.17,512806
2005-03-16,1364.8,1364.8,1364.8,1364.8,867208
2005-03-17,1386.99,1386.99,1386.99,1386.99,399243
2005-03-19,1350.93,1350.93,1350.93,1350.93,689444
2005-03-20,1342.61,1342.61,1342.61,1342.61,132552
2005-03-21,1332.9,1332.9,1332.9,1332.9,232578
2005-03-22,1389.77,1389.77,1389.77,1389.77,516664
2005-03-23,1381.45,1381.45,1381.45,1381.45,718011
2005-03-24,1365.5,1365.5,1365.5,1365.5,298989
2005-03-26,1373.13,1373.13,1373.13,1373.13,436211
2005-03-27,1362.03,1362.03,1362.03,1362.03,526783
2005-03-28,1353.71,1353.71,1353.71,1353.71,773523
2005-03-29,1357.18,1357.18,1357.18,1357.18,162408
2005-03-30,1370.36,1370.36,1370.36,1370.36,586523
2005-03-31,1339.85,1339.85,1339.85,1339.85,647473
2005-04-02,1360.66,1360.66,1360.66,1360.66,292132
2005-04-03,1367.6,1367.6,1367.6,1367.6,522938
2005-04-04,1431.4,1431.4,1431.4,1431.4,973952
2005-04-05,1492.43,1492.43,1492.43,1492.43,1518958
2005-04-06,1477.87,1477.87,1477.87,1477.87,763484
2005-04-07,1497.98,1497.98,1497.98,1497.98,267868
2005-04-09,1534.04,1534.04,1534.04,1534.04,1588270
2005-04-10,1483.41,1483.41,1483.41,1483.41,1992337
2005-04-11,1424.46,1424.46,1424.46,1424.46,1441111
2005-04-12,1370.37,1370.37,1370.37,1370.37,452720
2005-04-13,1403.66,1403.66,1403.66,1403.66,608011
2005-04-14,1400.19,1400.19,1400.19,1400.19,201246
2005-04-16,1392.56,1392.56,1392.56,1392.56,254663
2005-04-17,1450.81,1450.81,1450.81,1450.81,1058587
2005-04-18,1464.68,1464.68,1464.68,1464.68,1480671
2005-04-19,1318.35,1318.35,1318.35,1318.35,1413630
2005-04-20,1362.04,1362.04,1362.04,1362.04,1229768
2005-04-21,1364.81,1364.81,1364.81,1364.81,422592
2005-04-23,1364.81,1364.81,1364.81,1364.81,313554
2005-04-24,1356.49,1356.49,1356.49,1356.49,195895
2005-04-25,1383.54,1383.54,1383.54,1383.54,1580944
2005-04-26,1362.04,1362.04,1362.04,1362.04,369466
2005-04-27,1359.27,1359.27,1359.27,1359.27,244283
2005-04-28,1345.4,1345.4,1345.4,1345.4,90333
2005-04-30,1328.76,1328.76,1328.76,1328.76,98991
2005-05-01,1307.26,1307.26,1307.26,1307.26,698676
2005-05-02,1293.39,1293.39,1293.39,1293.39,136367
2005-05-03,1298.94,1298.94,1298.94,1298.94,120554
2005-05-04,1298.94,1298.94,1298.94,1298.94,130573
2005-05-05,1314.89,1314.89,1314.89,1314.89,113627
2005-05-07,1332.92,1332.92,1332.92,1332.92,219062
2005-05-08,1355.81,1355.81,1355.81,1355.81,350291
2005-05-09,1367.6,1367.6,1367.6,1367.6,377772
2005-05-10,1406.44,1406.44,1406.44,1406.44,913187
2005-05-11,1448.05,1448.05,1448.05,1448.05,1215165
2005-05-12,1425.86,1425.86,1425.86,1425.86,234650
2005-05-14,1431.41,1431.41,1431.41,1431.41,493009
2005-05-15,1442.51,1442.51,1442.51,1442.51,668172
2005-05-16,1473.72,1473.72,1473.72,1473.72,789991
2005-05-17,1620.75,1620.75,1620.75,1620.75,1221874
2005-05-18,1603.41,1603.41,1603.41,1603.41,1065659
2005-05-19,1617.28,1617.28,1617.28,1617.28,166948
2005-05-21,1639.47,1639.47,1639.47,1639.47,303559
2005-05-22,1637.39,1637.39,1637.39,1637.39,259508
2005-05-23,1604.1,1604.1,1604.1,1604.1,290919
2005-05-24,1606.18,1606.18,1606.18,1606.18,202802
2005-05-25,1571.5,1571.5,1571.5,1571.5,354076
2005-05-26,1604.1,1604.1,1604.1,1604.1,93271
2005-05-28,1747.66,1747.66,1747.66,1747.66,1167393
2005-05-29,1665.13,1665.13,1665.13,1665.13,539445
2005-05-30,1814.24,1814.24,1814.24,1814.24,977678
2005-05-31,1810.08,1810.08,1810.08,1810.08,805070
2005-06-01,1869.72,1869.72,1869.72,1869.72,2377930
2005-06-02,1853.08,1853.08,1853.08,1853.08,772140
2005-06-04,1915.5,1915.5,1915.5,1915.5,1110888
2005-06-05,1950.18,1950.18,1950.18,1950.18,1335070
2005-06-06,1884.99,1884.99,1884.99,1884.99,2339820
2005-06-07,1856.56,1856.56,1856.56,1856.56,519151
2005-06-08,1853.09,1853.09,1853.09,1853.09,382419
2005-06-09,1858.64,1858.64,1858.64,1858.64,145382
2005-06-11,1844.77,1844.77,1844.77,1844.77,310530
2005-06-12,1850.32,1850.32,1850.32,1850.32,497243
2005-06-13,1864.19,1864.19,1864.19,1864.19,728210
2005-06-14,1864.88,1864.88,1864.88,1864.88,288282
2005-06-15,1868.35,1868.35,1868.35,1868.35,431149
2005-06-16,1874.59,1874.59,1874.59,1874.59,83710
2005-06-18,1868.35,1868.35,1868.35,1868.35,326428
2005-06-19,1792.06,1792.06,1792.06,1792.06,392322
2005-06-20,1844.77,1844.77,1844.77,1844.77,417357
2005-06-21,1808.71,1808.71,1808.71,1808.71,348376
2005-06-22,1753.23,1753.23,1753.23,1753.23,127464
2005-06-23,1800.39,1800.39,1800.39,1800.39,65756
2005-06-25,1750.46,1750.46,1750.46,1750.46,206611
2005-06-26,1751.85,1751.85,1751.85,1751.85,87597
2005-06-27,1770.58,1770.58,1770.58,1770.58,109461
2005-06-28,1801.1,1801.1,1801.1,1801.1,237214
2005-06-29,1744.23,1744.23,1744.23,1744.23,203854
2005-06-30,1761.57,1761.57,1761.57,1761.57,37910
2005-07-03,1689.44,1689.44,1689.44,1689.44,161073
2005-07-04,1702.62,1702.62,1702.62,1702.62,88328
2005-07-05,1678.35,1678.35,1678.35,1678.35,60012
2005-07-06,1661.01,1661.01,1661.01,1661.01,129431
2005-07-07,1656.16,1656.16,1656.16,1656.16,33271
2005-07-09,1602.76,1602.76,1602.76,1602.76,54988
2005-07-10,1625.65,1625.65,1625.65,1625.65,91010
2005-07-11,1609.01,1609.01,1609.01,1609.01,97486
2005-07-12,1606.24,1606.24,1606.24,1606.24,82599
2005-07-13,1647.85,1647.85,1647.85,1647.85,187043
2005-07-14,1628.43,1628.43,1628.43,1628.43,51159
2005-07-16,1636.75,1636.75,1636.75,1636.75,116928
2005-07-17,1538.96,1538.96,1538.96,1538.96,198469
2005-07-18,1478.62,1478.62,1478.62,1478.62,77049
2005-07-19,1524.39,1524.39,1524.39,1524.39,301238
2005-07-20,1520.23,1520.23,1520.23,1520.23,142322
2005-07-21,1489.71,1489.71,1489.71,1489.71,74304
2005-07-23,1523,1523,1523,1523,82611
2005-07-24,1541.73,1541.73,1541.73,1541.73,149775
2005-07-25,1553.52,1553.52,1553.52,1553.52,141579
2005-07-26,1604.84,1604.84,1604.84,1604.84,311521
2005-07-27,1622.87,1622.87,1622.87,1622.87,311140
2005-07-28,1603.45,1603.45,1603.45,1603.45,43331
2005-07-30,1631.19,1631.19,1631.19,1631.19,163555
2005-07-31,1602.06,1602.06,1602.06,1602.06,156256
2005-08-01,1599.98,1599.98,1599.98,1599.98,176319
2005-08-02,1631.19,1631.19,1631.19,1631.19,203054
2005-08-03,1636.74,1636.74,1636.74,1636.74,259828
2005-08-04,1635.35,1635.35,1635.35,1635.35,44274
2005-08-06,1643.67,1643.67,1643.67,1643.67,108299
2005-08-07,1675.57,1675.57,1675.57,1675.57,227923
2005-08-08,1700.54,1700.54,1700.54,1700.54,312000
2005-08-09,1674.19,1674.19,1674.19,1674.19,117352
2005-08-10,1675.58,1675.58,1675.58,1675.58,97328
2005-08-11,1681.13,1681.13,1681.13,1681.13,62746
2005-08-13,1674.89,1674.89,1674.89,1674.89,91749
2005-08-14,1685.29,1685.29,1685.29,1685.29,112942
2005-08-15,1673.5,1673.5,1673.5,1673.5,117682
2005-08-16,1676.27,1676.27,1676.27,1676.27,82748
2005-08-17,1678.35,1678.35,1678.35,1678.35,79753
2005-08-18,1679.04,1679.04,1679.04,1679.04,25772
2005-08-20,1683.89,1683.89,1683.89,1683.89,139628
2005-08-21,1756.71,1756.71,1756.71,1756.71,368684
2005-08-22,1742.15,1742.15,1742.15,1742.15,195385
2005-08-23,1740.76,1740.76,1740.76,1740.76,175901
2005-08-24,1743.53,1743.53,1743.53,1743.53,124851
2005-08-25,1767.11,1767.11,1767.11,1767.11,70019
2005-08-27,1762.26,1762.26,1762.26,1762.26,102232
2005-08-28,1761.57,1761.57,1761.57,1761.57,303034
2005-08-29,1755.33,1755.33,1755.33,1755.33,97284
2005-08-30,1733.14,1733.14,1733.14,1733.14,74933
2005-08-31,1753.25,1753.25,1753.25,1753.25,112147
2005-09-01,1756.02,1756.02,1756.02,1756.02,106150
2005-09-03,1767.81,1767.81,1767.81,1767.81,543115
2005-09-04,1805.95,1805.95,1805.95,1805.95,497718
2005-09-05,1783.06,1783.06,1783.06,1783.06,860377
2005-09-06,1719.95,1719.95,1719.95,1719.95,344325
2005-09-07,1716.48,1716.48,1716.48,1716.48,109529
2005-09-08,1704.69,1704.69,1704.69,1704.69,60660
2005-09-10,1728.27,1728.27,1728.27,1728.27,139625
2005-09-11,1740.06,1740.06,1740.06,1740.06,230015
2005-09-12,1767.11,1767.11,1767.11,1767.11,541448
2005-09-13,1756.71,1756.71,1756.71,1756.71,291753
2005-09-14,1771.97,1771.97,1771.97,1771.97,289278
2005-09-15,1796.94,1796.94,1796.94,1796.94,237900
2005-09-17,1810.81,1810.81,1810.81,1810.81,999839
2005-09-18,1803.18,1803.18,1803.18,1803.18,434282
2005-09-19,1788.62,1788.62,1788.62,1788.62,273527
2005-09-20,1781.68,1781.68,1781.68,1781.68,168611
2005-09-21,1771.97,1771.97,1771.97,1771.97,179108
2005-09-22,1783.76,1783.76,1783.76,1783.76,54084
2005-09-25,1739.37,1739.37,1739.37,1739.37,142538
2005-09-26,1696.37,1696.37,1696.37,1696.37,148082
2005-09-27,1717.18,1717.18,1717.18,1717.18,227190
2005-09-28,1711.63,1711.63,1711.63,1711.63,166690
2005-09-29,1719.26,1719.26,1719.26,1719.26,109609
2005-10-01,1719.26,1747,1706.08,1728.28,127217
2005-10-02,1711.64,1711.64,1711.64,1711.64,104516
2005-10-03,1731.06,1731.06,1731.06,1731.06,130700
2005-10-04,1718.58,1718.58,1718.58,1718.58,108962
2005-10-05,1651.31,1651.31,1651.31,1651.31,154063
2005-10-06,1681.13,1681.13,1681.13,1681.13,47823
2005-10-08,1700.55,1700.55,1700.55,1700.55,107906
2005-10-09,1747.02,1747.02,1747.02,1747.02,185864
2005-10-10,1799.73,1799.73,1799.73,1799.73,640382
2005-10-11,1783.78,1783.78,1783.78,1783.78,167314
2005-10-12,1769.91,1769.91,1769.91,1769.91,235094
2005-10-13,1765.06,1765.06,1765.06,1765.06,41124
2005-10-15,1753.27,1753.27,1753.27,1753.27,109989
2005-10-16,1747.72,1747.72,1747.72,1747.72,109745
2005-10-17,1790.03,1790.03,1790.03,1790.03,359261
2005-10-18,1844.82,1844.82,1844.82,1844.82,578776
2005-10-19,1824.71,1824.71,1824.71,1824.71,365888
2005-10-20,1828.18,1828.18,1828.18,1828.18,167425
2005-10-22,1833.73,1833.73,1833.73,1833.73,193245
2005-10-23,1864.25,1864.25,1864.25,1864.25,531677
2005-10-24,1887.14,1887.14,1887.14,1887.14,275140
2005-10-25,1873.27,1873.27,1873.27,1873.27,302136
2005-10-26,1849,1849,1849,1849,239471
2005-10-27,1865.65,1865.65,1865.65,1865.65,55487
2005-10-29,1896.17,1896.17,1896.17,1896.17,348428
2005-10-30,1995.35,1995.35,1995.35,1995.35,634072
2005-10-31,1961.37,1961.37,1961.37,1961.37,145406
2005-11-08,1991.89,1991.89,1991.89,1991.89,331861
2005-11-09,1975.24,1975.24,1975.24,1975.24,177351
2005-11-10,1975.24,1975.24,1975.24,1975.24,80953
2005-11-12,1966.92,1966.92,1966.92,1966.92,233475
2005-11-13,1969,1969,1969,1969,159529
2005-11-14,1964.15,1964.15,1964.15,1964.15,145373
2005-11-15,1956.52,1956.52,1956.52,1956.52,130175
2005-11-16,1955.83,1955.83,1955.83,1955.83,116009
2005-11-17,1966.93,1966.93,1966.93,1966.93,78880
2005-11-19,2052.93,2052.93,2052.93,2052.93,647792
2005-11-20,2025.19,2025.19,2025.19,2025.19,382199
2005-11-21,1989.82,1989.82,1989.82,1989.82,296160
2005-11-22,1968.32,1968.32,1968.32,1968.32,315041
2005-11-23,1978.03,1978.03,1978.03,1978.03,392636
2005-11-24,1975.26,1975.26,1975.26,1975.26,108211
2005-11-26,1964.16,1964.16,1964.16,1964.16,178566
2005-11-27,1972.48,1972.48,1972.48,1972.48,192758
2005-11-28,1978.03,1978.03,1978.03,1978.03,244895
2005-11-29,1968.32,1968.32,1968.32,1968.32,202780
2005-11-30,1962.77,1962.77,1962.77,1962.77,200589
2005-12-01,1975.25,1975.25,1975.25,1975.25,78230
2005-12-03,1978.02,1978.02,1978.02,1978.02,187763
2005-12-04,1965.54,1965.54,1965.54,1965.54,179325
2005-12-05,1958.6,1958.6,1958.6,1958.6,199727
2005-12-06,1928.08,1928.08,1928.08,1928.08,230781
2005-12-07,1906.58,1906.58,1906.58,1906.58,122282
2005-12-08,1927.39,1927.39,1927.39,1927.39,76350
2005-12-10,1911.44,1911.44,1911.44,1911.44,120163
2005-12-11,1905.89,1905.89,1905.89,1905.89,93784
2005-12-12,1921.15,1921.15,1921.15,1921.15,221630
2005-12-13,1938.49,1938.49,1938.49,1938.49,278540
2005-12-14,1964.85,1964.85,1964.85,1964.85,267163
2005-12-15,1983.58,1983.58,1983.58,1983.58,146537
2005-12-17,1969.71,1969.71,1969.71,1969.71,174460
2005-12-18,1955.84,1955.84,1955.84,1955.84,208538
2005-12-19,1941.97,1941.97,1941.97,1941.97,210389
2005-12-20,1919.78,1919.78,1919.78,1919.78,189177
2005-12-21,1944.75,1944.75,1944.75,1944.75,185822
2005-12-22,1941.98,1941.98,1941.98,1941.98,69097
2005-12-24,1925.33,1925.33,1925.33,1925.33,189544
2005-12-25,1911.46,1911.46,1911.46,1911.46,204857
2005-12-26,1971.11,1971.11,1971.11,1971.11,435684
2005-12-27,1960.01,1960.01,1960.01,1960.01,252643
2005-12-28,1953.07,1953.07,1953.07,1953.07,131055
2005-12-29,1950.3,1950.3,1950.3,1950.3,51798
2005-12-31,1947.53,1947.53,1947.53,1947.53,159242
2006-01-01,2000.24,2000.24,2000.24,2000.24,466116
2006-01-02,1979.43,1979.43,1979.43,1979.43,292124
2006-01-03,2008.56,2008.56,2008.56,2008.56,449664
2006-01-04,2008.56,2008.56,2008.56,2008.56,231190
2006-01-05,2012.03,2012.03,2012.03,2012.03,133555
2006-01-07,2208.31,2208.31,2208.31,2208.31,1293008
2006-01-08,2172.24,2172.24,2172.24,2172.24,221481
2006-01-16,2122.3,2122.3,2122.3,2122.3,583259
2006-01-17,2086.23,2086.23,2086.23,2086.23,366236
2006-01-18,2080.68,2080.68,2080.68,2080.68,283761
2006-01-19,2090.39,2090.39,2090.39,2090.39,96255
2006-01-21,2109.12,2109.12,2109.12,2109.12,278436
2006-01-22,2222.17,2222.17,2222.17,2222.17,631407
2006-01-23,2192.35,2192.35,2192.35,2192.35,212755
2006-01-24,2191.66,2191.66,2191.66,2191.66,112373
2006-01-25,2191.66,2191.66,2191.66,2191.66,136113
2006-01-26,2163.92,2163.92,2163.92,2163.92,137208
2006-01-28,2166.69,2166.69,2166.69,2166.69,182096
2006-01-29,2152.13,2152.13,2152.13,2152.13,371774
2006-01-30,2267.26,2267.26,2267.26,2267.26,890913
2006-01-31,2269.34,2269.34,2269.34,2269.34,455227
2006-02-01,2241.6,2241.6,2241.6,2241.6,866816
2006-02-02,2236.05,2236.05,2236.05,2236.05,154508
2006-02-04,2241.6,2241.6,2241.6,2241.6,324691
2006-02-05,2433.02,2433.02,2433.02,2433.02,714479
2006-02-06,2383.08,2385.86,2383.08,2383.08,210874
2006-02-07,2385.85,2396.95,2385.85,2385.85,155073
2006-02-08,2380.3,2380.3,2380.3,2380.3,126194
2006-02-09,2388.62,2388.62,2388.62,2388.62,35528
2006-02-11,2441.33,2441.33,2441.33,2441.33,297311
2006-02-12,2485.72,2485.72,2485.72,2485.72,189058
2006-02-13,2474.62,2474.62,2474.62,2474.62,105300
