"Index","Open","High","Low","Close","Volume"
2007-01-06,5037.26,5037.26,5037.26,5037.26,5046460
2007-01-07,4847.28,4847.28,4847.28,4847.28,5931007
2007-01-08,4881.84,4881.84,4881.84,4881.84,5120646
2007-01-09,4875.27,4875.27,4875.27,4875.27,6417686
2007-01-10,4909.77,4909.77,4909.77,4909.77,9288023
2007-01-13,4447.48,4447.48,4447.48,4447.48,1582423
2007-01-14,4047.62,4047.62,4047.62,4047.62,6167707
2007-01-15,4115.46,4115.46,4115.46,4115.46,9464534
2007-01-16,4098.15,4098.15,4098.15,4098.15,4771731
2007-01-17,4084.89,4084.89,4084.89,4084.89,6081373
2007-01-20,4002.51,4002.51,4002.51,4002.51,3950155
2007-01-21,4025.1,4025.1,4025.1,4025.1,3830001
2007-01-22,4031.79,4031.79,4031.79,4031.79,7718326
2007-01-23,3908.22,3908.22,3908.22,3908.22,2759116
2007-01-24,3662.5,3662.5,3662.5,3662.5,2805763
2007-01-27,3665.21,3665.21,3665.21,3665.21,4832017
2007-01-28,3981.33,3981.33,3981.33,3981.33,6130888
2007-01-29,3979.98,3979.98,3979.98,3979.98,6286726
2007-01-30,3941.5,3941.5,3941.5,3941.5,12164247
2007-01-31,3991.95,3991.95,3991.95,3991.95,5120311
2007-02-03,4070.41,4070.41,4070.41,4070.41,6384644
2007-02-04,3988.03,3988.03,3988.03,3988.03,7853837
2007-02-05,3928.24,3928.24,3928.24,3928.24,8438552
2007-02-06,3934.87,3934.87,3934.87,3934.87,3262671
2007-02-07,3934.87,3934.87,3934.87,3934.87,4399175
2007-02-10,3988.03,3988.03,3988.03,3988.03,5774569
2007-02-11,3942.85,3942.85,3942.85,3942.85,3938896
2007-02-12,3940.21,3940.21,3940.21,3940.21,5405110
2007-02-13,3974.77,3974.77,3974.77,3974.77,5789761
2007-02-14,3929.59,3929.59,3929.59,3929.59,2768348
2007-02-17,3948.19,3948.19,3948.19,3948.19,4069345
2007-02-18,4140.81,4140.81,4140.81,4140.81,9150909
2007-02-19,4205.94,4205.94,4205.94,4205.94,9443679
2007-02-20,4106.32,4106.32,4106.32,4106.32,6649378
2007-02-21,4255.18,4255.18,4255.18,4255.18,10548681
2007-02-24,4382.67,4382.67,4382.67,4382.67,8477860
2007-02-25,4293.66,4293.66,4293.66,4293.66,9279835
2007-02-26,4378.68,4378.68,4378.68,4378.68,7293921
2007-02-27,4431.84,4431.84,4431.84,4431.84,9953394
2007-02-28,4292.38,4292.38,4292.38,4292.38,8820712
2007-03-03,4475.73,4475.73,4475.73,4475.73,6912733
2007-03-04,4829.06,4829.06,4829.06,4829.06,10156971
2007-03-05,4911.5,4911.5,4911.5,4911.5,7955760
2007-03-06,4907.64,4907.64,4907.64,4907.64,10745133
2007-03-07,4950.18,4950.18,4950.18,4950.18,8865991
2007-03-10,5040.47,5040.47,5040.47,5040.47,7495502
2007-03-11,4869.02,4869.02,4869.02,4869.02,6889434
2007-03-12,4975.34,4975.34,4975.34,4975.34,7176681
2007-03-13,4720.23,4720.23,4720.23,4720.23,7387018
2007-03-14,4946.06,4946.06,4946.06,4946.06,6711744
2007-03-17,4817.22,4817.22,4817.22,4817.22,3832374
2007-03-18,4881,4881,4881,4881,5489873
2007-03-19,4967.36,4967.36,4967.36,4967.36,6156396
2007-03-20,5077.67,5077.67,5077.67,5077.67,8371555
2007-03-21,4989.95,4989.95,4989.95,4989.95,6514471
2007-03-24,5131.99,5131.99,5131.99,5131.99,6308441
2007-03-25,5376.36,5376.36,5376.36,5376.36,5629114
2007-03-26,4842.32,4842.32,4842.32,4842.32,4930377
2007-03-27,4783.75,4783.75,4783.75,4783.75,4170461
2007-03-28,4496.78,4496.78,4496.78,4496.78,6645108
2007-03-31,4176.6,4176.6,4176.6,4176.6,3203921
2007-04-01,4383.29,4383.29,4383.29,4383.29,7117989
2007-04-02,4128.55,4128.55,4128.55,4128.55,6318282
2007-04-03,4181.94,4181.94,4181.94,4181.94,5863261
2007-04-04,4238.95,4238.95,4238.95,4238.95,5426495
2007-04-07,4644.01,4644.01,4644.01,4644.01,4298871
2007-04-08,4647.42,4647.42,4647.42,4647.42,8161031
2007-04-09,4612.41,4612.41,4612.41,4612.41,7885774
2007-04-10,4647.42,4647.42,4647.42,4647.42,7425725
2007-04-11,4593.4,4593.4,4593.4,4593.4,5088465
2007-04-14,4358.74,4358.74,4358.74,4358.74,5165055
2007-04-15,4230.62,4230.62,4230.62,4230.62,4576326
2007-04-16,4374.96,4374.96,4374.96,4374.96,3649259
2007-04-17,4140.94,4140.94,4140.94,4140.94,3088776
2007-04-18,4168.27,4168.27,4168.27,4168.27,3858124
2007-04-21,4129.62,4129.62,4129.62,4129.62,3225221
2007-04-22,4153.32,4153.32,4153.32,4153.32,5579899
2007-04-23,4311.97,4311.97,4311.97,4311.97,5894210
2007-04-24,4169.98,4169.98,4169.98,4169.98,5934609
2007-04-25,4213.32,4213.32,4213.32,4213.32,4862048
2007-04-28,4500.73,4500.73,4500.73,4500.73,5199407
2007-04-29,4291.69,4291.69,4291.69,4291.69,5998687
2007-04-30,4402.72,4402.72,4402.72,4402.72,4463858
2007-05-01,4467.42,4467.42,4467.42,4467.42,5968832
2007-05-02,4504.79,4504.79,4504.79,4504.79,12847263
2007-05-05,4279.73,4279.73,4279.73,4279.73,7864705
2007-05-06,4292.75,4292.75,4292.75,4292.75,3963464
2007-05-07,4356.81,4356.81,4356.81,4356.81,6181723
2007-05-08,4448.84,4448.84,4448.84,4448.84,7818165
2007-05-09,4419.16,4419.16,4419.16,4419.16,7052090
2007-05-12,4350.19,4350.19,4350.19,4350.19,6799909
2007-05-13,4388.2,4388.2,4388.2,4388.2,4828424
2007-05-14,4342.51,4342.51,4342.51,4342.51,3299638
2007-05-15,4334.82,4334.82,4334.82,4334.82,3264358
2007-05-16,4354.46,4354.46,4354.46,4354.46,3429697
2007-05-19,4381.15,4381.15,4381.15,4381.15,3025839
2007-05-20,4445.85,4445.85,4445.85,4445.85,7639642
2007-05-21,4418.52,4418.52,4418.52,4418.52,4319098
2007-05-22,4363.86,4363.86,4363.86,4363.86,3771220
2007-05-23,4299.8,4299.8,4299.8,4299.8,4018543
2007-05-26,4249.83,4249.83,4249.83,4249.83,3969447
2007-05-27,4236.17,4236.17,4236.17,4236.17,7506308
2007-05-28,4122.79,4122.79,4122.79,4122.79,4026736
2007-05-29,3976.73,3976.73,3976.73,3976.73,3163062
2007-05-30,3927.41,3927.41,3927.41,3927.41,3438073
2007-06-02,3836.66,3836.66,3836.66,3836.66,3067244
2007-06-03,3901.36,3901.36,3901.36,3901.36,3059083
2007-06-04,3833.67,3833.67,3833.67,3833.67,3478699
2007-06-05,4010.04,4010.04,4010.04,4010.04,5956486
2007-06-06,3885.34,3885.34,3885.34,3885.34,3257823
2007-06-09,3939.37,3939.37,3939.37,3939.37,4906102
2007-06-10,3966.7,3966.7,3966.7,3966.7,4052461
2007-06-11,3747.62,3747.62,3747.62,3747.62,3753437
2007-06-12,3600.93,3600.93,3600.93,3600.93,3026061
2007-06-13,3606.26,3606.26,3606.26,3606.26,3019294
2007-06-16,3441.21,3441.21,3441.21,3441.21,2314019
2007-06-17,3479.86,3479.86,3479.86,3479.86,2530031
2007-06-18,3456.16,3456.16,3456.16,3456.16,2265794
2007-06-19,3513.81,3513.81,3513.81,3513.81,2805163
2007-06-20,3685.48,3685.48,3685.48,3685.48,2297250
2007-06-23,3616.51,3616.51,3616.51,3616.51,2243501
2007-06-24,3694.24,3694.24,3694.24,3694.24,2023121
2007-06-25,3656.87,3656.87,3656.87,3656.87,1707111
2007-06-26,3646.19,3646.19,3646.19,3646.19,1699416
2007-06-27,3668.83,3668.83,3668.83,3668.83,2831341
2007-06-30,3616.51,3616.51,3616.51,3616.51,1706769
2007-07-01,3535.66,3535.66,3535.66,3535.66,1371723
2007-07-02,3521.12,3521.12,3521.12,3521.12,2049767
2007-07-03,3550.19,3550.19,3550.19,3550.19,1417528
2007-07-04,3587.45,3587.45,3587.45,3587.45,1016239
2007-07-07,3763.27,3763.27,3763.27,3763.27,2950149
2007-07-08,3837.77,3837.77,3837.77,3837.77,2984900
2007-07-09,3819.15,3819.15,3819.15,3819.15,2035962
2007-07-10,3825.5,3825.5,3825.5,3825.5,1539652
2007-07-11,3951.79,3951.79,3951.79,3951.79,2929495
2007-07-14,4034.48,4034.48,4034.48,4034.48,2428596
2007-07-15,3920.46,3920.46,3920.46,3920.46,35968854
2007-07-16,3870.51,3870.51,3870.51,3870.51,17847662
2007-07-17,3926.81,3926.81,3926.81,3926.81,7942921
2007-07-18,3860.06,3860.06,3860.06,3860.06,11190832
2007-07-21,3963.64,3963.64,3963.64,3963.64,7983187
2007-07-22,3829.16,3829.16,3829.16,3829.16,6896968
2007-07-23,3773.28,3773.28,3773.28,3773.28,6390429
2007-07-24,3808.27,3808.27,3808.27,3808.27,5597984
2007-07-25,3828.73,3828.73,3828.73,3828.73,7020156
2007-07-28,3818.29,3818.29,3818.29,3818.29,13002731
2007-07-29,3816.03,3816.03,3816.03,3816.03,9515665
2007-07-30,3865.56,3865.56,3865.56,3865.56,7450100
2007-07-31,3797.4,3797.4,3797.4,3797.4,4569884
2007-08-01,3805.59,3805.59,3805.59,3805.59,3820937
2007-08-04,3805.59,3805.59,3805.59,3805.59,3733337
2007-08-05,3826.05,3826.05,3826.05,3826.05,10721083
2007-08-06,3824.06,3824.06,3824.06,3824.06,6965281
2007-08-07,3844.6,3844.6,3844.6,3844.6,11970993
2007-08-08,3861.01,3861.01,3861.01,3861.01,4715132
2007-08-11,3860.35,3860.35,3860.35,3860.35,3539635
2007-08-12,3869.47,3869.47,3869.47,3869.47,5097807
2007-08-13,3881.24,3881.24,3881.24,3881.24,4712352
2007-08-14,3945.05,3945.05,3945.05,3945.05,9569852
2007-08-15,3892.5,3892.5,3892.5,3892.5,5615552
2007-08-18,4034.04,4034.04,4034.04,4034.04,9854652
2007-08-19,4124.48,4124.48,4124.48,4124.48,17424325
2007-08-20,4077.75,4077.75,4077.75,4077.75,8160290
2007-08-21,4055.72,4055.72,4055.72,4055.72,6421810
2007-08-22,4087.84,4087.84,4087.84,4087.84,15082073
2007-08-25,4128.62,4128.62,4128.62,4128.62,6254093
2007-08-26,4161.59,4161.59,4161.59,4161.59,6493126
2007-08-27,4204.04,4204.04,4204.04,4204.04,4634784
2007-08-28,4174.69,4174.69,4174.69,4174.69,6410423
2007-08-29,4191.41,4191.41,4191.41,4191.41,9055822
2007-09-01,4058.37,4058.37,4058.37,4058.37,6256160
2007-09-02,3940.38,3940.38,3940.38,3940.38,8242195
2007-09-03,4017.28,4017.28,4017.28,4017.28,6945911
2007-09-04,3920.34,3920.34,3920.34,3920.34,3292915
2007-09-05,3904.94,3904.94,3904.94,3904.94,5461213
2007-09-08,3918.7,3918.7,3918.7,3918.7,4880049
2007-09-09,3864.17,3864.17,3864.17,3864.17,4200105
2007-09-10,3902.29,3902.29,3902.29,3902.29,4235653
2007-09-11,3816.11,3816.11,3816.11,3816.11,4288600
2007-09-12,3805.5,3805.5,3805.5,3805.5,2186614
2007-09-15,3767.38,3767.38,3767.38,3767.38,1742768
2007-09-16,3728.09,3728.09,3728.09,3728.09,1802345
2007-09-17,3768.36,3768.36,3768.36,3768.36,3061550
2007-09-18,3761.73,3761.73,3761.73,3761.73,1449767
2007-09-19,3772.84,3772.84,3772.84,3772.84,2041753
2007-09-22,3755.27,3755.27,3755.27,3755.27,1399534
2007-09-24,3720.96,3720.96,3720.96,3720.96,1711719
2007-09-25,3758.58,3758.58,3758.58,3758.58,1901189
2007-09-26,3702.06,3702.06,3702.06,3702.06,1607854
2007-09-29,3551.44,3551.44,3551.44,3551.44,2475439
2007-09-30,3534.37,3534.37,3534.37,3534.37,2443678
2007-10-01,3555.57,3555.57,3555.57,3555.57,1698161
2007-10-02,3522.44,3522.44,3522.44,3522.44,1074009
2007-10-03,3447.21,3447.21,3447.21,3447.21,1482649
2007-10-06,3447.21,3447.21,3447.21,3447.21,1207282
2007-10-07,3465.76,3465.76,3465.76,3465.76,1599925
2007-10-08,3462.45,3462.45,3462.45,3462.45,1863716
2007-10-09,3456.83,3456.83,3456.83,3456.83,1324329
2007-10-10,3466.77,3466.77,3466.77,3466.77,1818232
2007-10-20,3641.78,3641.78,3641.78,3641.78,2787739
2007-10-21,3527.74,3527.74,3527.74,3527.74,2262102
2007-10-22,3535.03,3535.03,3535.03,3535.03,1347993
2007-10-23,3543.64,3543.64,3543.64,3543.64,2334407
2007-10-24,3591.86,3591.86,3591.86,3591.86,2957186
2007-10-27,3614.9,3614.9,3614.9,3614.9,3209031
2007-10-28,3569.49,3569.49,3569.49,3569.49,2423446
2007-10-29,3570.15,3570.15,3570.15,3570.15,2419710
2007-10-30,3539.83,3539.83,3539.83,3539.83,1918207
2007-10-31,3577.95,3577.95,3577.95,3577.95,5387082
2007-11-03,3596.34,3596.34,3596.34,3596.34,3233901
2007-11-04,3601.99,3601.99,3601.99,3601.99,2440239
2007-11-05,3546.96,3546.96,3546.96,3546.96,1693136
2007-11-06,3576.62,3576.62,3576.62,3576.62,1677390
2007-11-07,3562.04,3562.04,3562.04,3562.04,1958096
2007-11-10,3715.53,3715.53,3715.53,3715.53,5859813
2007-11-11,3665.64,3665.64,3665.64,3665.64,2150006
2007-11-12,3747.06,3747.06,3747.06,3747.06,2395341
2007-11-13,3710.58,3710.58,3710.58,3710.58,1876987
2007-11-14,3726.64,3726.64,3726.64,3726.64,5016948
2007-11-17,3754,3754,3754,3754,3648560
2007-11-18,3749.17,3749.17,3749.17,3749.17,3246760
2007-11-19,3751.32,3751.32,3751.32,3751.32,3592903
2007-11-20,3750.5,3750.5,3750.5,3750.5,4491733
2007-11-21,3765.08,3765.08,3765.08,3765.08,3299124
2007-11-24,3822.92,3822.92,3822.92,3822.92,5772221
2007-11-25,3772.37,3772.37,3772.37,3772.37,3914995
2007-11-26,3753.97,3753.97,3753.97,3753.97,3492514
2007-11-27,3699.44,3699.44,3699.44,3699.44,6265340
2007-11-28,3706.73,3706.73,3706.73,3706.73,7959014
2007-12-01,3725.13,3725.13,3725.13,3725.13,2813990
2007-12-02,3698.78,3698.78,3698.78,3698.78,1949919
2007-12-03,3688.17,3688.17,3688.17,3688.17,2632102
2007-12-04,3726.29,3726.29,3726.29,3726.29,2680568
2007-12-05,3699.94,3699.94,3699.94,3699.94,2586344
2007-12-08,3672.93,3672.93,3672.93,3672.93,2353837
2007-12-09,3684.7,3684.7,3684.7,3684.7,1488276
2007-12-10,3700.45,3700.45,3700.45,3700.45,1345467
2007-12-11,3681.89,3681.89,3681.89,3681.89,2281205
2007-12-12,3666.81,3666.81,3666.81,3666.81,2336572
2007-12-15,3777.04,3777.04,3777.04,3777.04,4295630
2007-12-16,3786.16,3786.16,3786.16,3786.16,2268965
2007-12-17,3816.99,3816.99,3816.99,3816.99,2751969
2007-12-24,3867.38,3867.38,3867.38,3867.38,5131840
2007-12-25,3793.45,3793.45,3793.45,3793.45,4886414
2007-12-26,3790.13,3790.13,3790.13,3790.13,2551688
2007-12-29,3800.58,3800.58,3800.58,3800.58,2433227
2007-12-30,3853.62,3853.62,3853.62,3853.62,6356901
2007-12-31,3982.12,3982.12,3982.12,3982.12,8073866
2008-01-01,3714.08,3714.08,3714.08,3714.08,2353834
2008-01-02,3694.2,3694.2,3694.2,3694.2,2375167
2008-01-05,3838.92,3838.92,3838.92,3838.92,2519999
2008-01-06,3793,3793,3793,3793,2289874
2008-01-07,3787.19,3787.19,3787.19,3787.19,3035642
2008-01-08,3761,3761,3761,3761,2172840
2008-01-09,3712.28,3712.28,3712.28,3712.28,2011091
2008-01-12,3753.71,3753.71,3753.71,3753.71,1986050
2008-01-13,3746.42,3746.42,3746.42,3746.42,1897840
2008-01-14,3736.8,3736.8,3736.8,3736.8,1946753
2008-01-15,3711.11,3711.11,3711.11,3711.11,1535496
2008-01-16,3668.51,3668.51,3668.51,3668.51,1650066
2008-01-19,3660.05,3660.05,3660.05,3660.05,1199692
2008-01-20,3442.09,3442.09,3442.09,3442.09,4454472
2008-01-21,3434.14,3434.14,3434.14,3434.14,2458505
2008-01-22,3167.3,3167.3,3167.3,3167.3,1867803
2008-01-23,3264.93,3264.93,3264.93,3264.93,3612064
2008-01-26,3253.83,3253.83,3253.83,3253.83,1962406
2008-01-27,3350.8,3350.8,3350.8,3350.8,1511940
2008-01-28,3222.99,3222.99,3222.99,3222.99,1653491
2008-01-29,3251.02,3251.02,3251.02,3251.02,807542
2008-01-30,3308.7,3308.7,3308.7,3308.7,1557216
2008-02-02,3254.99,3254.99,3254.99,3254.99,1656909
2008-02-03,3277.37,3277.37,3277.37,3277.37,1088402
2008-02-04,3285.48,3285.48,3285.48,3285.48,3694620
2008-02-05,3281.66,3281.66,3281.66,3281.66,1830676
2008-02-06,3159.5,3159.5,3159.5,3159.5,2883524
2008-02-09,3107.97,3107.97,3107.97,3107.97,1128312
2008-02-10,3096.86,3096.86,3096.86,3096.86,1091318
2008-02-11,3077.8,3077.8,3077.8,3077.8,837266
2008-02-12,3143.44,3143.44,3143.44,3143.44,1263432
2008-02-13,3121.07,3121.07,3121.07,3121.07,748728
2008-02-16,3170.29,3170.29,3170.29,3170.29,1069701
2008-02-17,3168.46,3168.46,3168.46,3168.46,1449564
2008-02-18,3405.52,3405.52,3405.52,3405.52,3834489
2008-02-19,3359.6,3359.6,3359.6,3359.6,1557020
2008-02-20,3329.43,3329.43,3329.43,3329.43,1086705
2008-02-23,3362.41,3362.41,3362.41,3362.41,1567970
2008-02-24,3342.18,3342.18,3342.18,3342.18,1200995
2008-02-25,3397.22,3397.22,3397.22,3397.22,806503
2008-02-26,3372.35,3372.35,3372.35,3372.35,972855
2008-02-27,3357.27,3357.27,3357.27,3357.27,754733
2008-03-01,3343.35,3343.35,3343.35,3343.35,843065
2008-03-02,3347.17,3347.17,3347.17,3347.17,881906
