"Index","Open","High","Low","Close","Volume"
2007-01-06,5312.99,5312.99,5312.99,5312.99,19519805
2007-01-07,5143.99,5143.99,5143.99,5143.99,26191199
2007-01-08,5210.4,5210.4,5210.4,5210.4,25158776
2007-01-09,5327.08,5327.08,5327.08,5327.08,25082588
2007-01-10,5297.54,5297.54,5297.54,5297.54,47320474
2007-01-13,4870.27,4870.27,4870.27,4870.27,28393033
2007-01-14,4714.37,4714.37,4714.37,4714.37,25099976
2007-01-15,4916.47,4916.47,4916.47,4916.47,32544276
2007-01-16,4663.38,4663.38,4663.38,4663.38,14986127
2007-01-17,4828.98,4828.98,4828.98,4828.98,41856740
2007-01-20,5411.57,5411.57,5411.57,5411.57,12736144
2007-01-21,5571.9,5571.9,5571.9,5571.9,11066895
2007-01-22,5642.95,5642.95,5642.95,5642.95,10705131
2007-01-23,5492.51,5492.51,5492.51,5492.51,27701463
2007-01-24,5070.26,5070.26,5070.26,5070.26,18609977
2007-01-27,5158.86,5158.86,5158.86,5158.86,18781434
2007-01-28,5285.83,5285.83,5285.83,5285.83,21621091
2007-01-29,5111.81,5111.81,5111.81,5111.81,29373456
2007-01-30,5183.34,5183.34,5183.34,5183.34,29770012
2007-01-31,5304.59,5304.59,5304.59,5304.59,36855153
2007-02-03,5473.97,5473.97,5473.97,5473.97,25345540
2007-02-04,5326.8,5326.8,5326.8,5326.8,18059082
2007-02-05,5355.01,5355.01,5355.01,5355.01,22111038
2007-02-06,5446.69,5446.69,5446.69,5446.69,30126406
2007-02-07,5470.6,5470.6,5470.6,5470.6,34816009
2007-02-10,5661.17,5661.17,5661.17,5661.17,22116137
2007-02-11,5759.37,5759.37,5759.37,5759.37,26728475
2007-02-12,5698.38,5698.38,5698.38,5698.38,24940568
2007-02-13,5772.08,5772.08,5772.08,5772.08,25554393
2007-02-14,5895.13,5895.13,5895.13,5895.13,18388166
2007-02-17,6036.76,6036.76,6036.76,6036.76,32425312
2007-02-18,6171.65,6171.65,6171.65,6171.65,34789361
2007-02-19,6393.47,6393.47,6393.47,6393.47,40234129
2007-02-20,6216.03,6216.03,6216.03,6216.03,32930619
2007-02-21,6389.98,6389.98,6389.98,6389.98,27337759
2007-02-24,6567.14,6567.14,6567.14,6567.14,35110225
2007-02-25,6607.34,6607.34,6607.34,6607.34,26839621
2007-02-26,6737.73,6737.73,6737.73,6737.73,32500679
2007-02-27,6827.33,6827.33,6827.33,6827.33,37499925
2007-02-28,6669.02,6669.02,6669.02,6669.02,31175870
2007-03-03,7096.34,7096.34,7096.34,7096.34,28805243
2007-03-04,7406.07,7406.07,7406.07,7406.07,37893059
2007-03-05,7786.3,7786.3,7786.3,7786.3,46519038
2007-03-06,7778.61,7778.61,7778.61,7778.61,39189149
2007-03-07,7885.68,7885.68,7885.68,7885.68,27948834
2007-03-10,8037.72,8037.72,8037.72,8037.72,34802973
2007-03-11,7672.22,7672.22,7672.22,7672.22,27360984
2007-03-12,7986.9,7986.9,7986.9,7986.9,33349200
2007-03-13,7608.66,7608.66,7608.66,7608.66,35029049
2007-03-14,7824.96,7824.96,7824.96,7824.96,33804242
2007-03-17,7764,7764,7764,7764,29116962
2007-03-18,7922.18,7922.18,7922.18,7922.18,38911340
2007-03-19,8217.29,8217.29,8217.29,8217.29,47393942
2007-03-20,8381.44,8381.44,8381.44,8381.44,54266171
2007-03-21,8209.39,8209.39,8209.39,8209.39,37443620
2007-03-24,7934.84,7934.84,7934.84,7934.84,27922676
2007-03-25,7941.73,7941.73,7941.73,7941.73,28094246
2007-03-26,7178.77,7178.77,7178.77,7178.77,24430007
2007-03-27,6552.26,6552.26,6552.26,6552.26,28146236
2007-03-28,6329.89,6329.89,6329.89,6329.89,35257104
2007-03-31,5776.29,5776.29,5776.29,5776.29,19094177
2007-04-01,6246.16,6246.16,6246.16,6246.16,38951876
2007-04-02,5920.46,5920.46,5920.46,5920.46,32319992
2007-04-03,6030.97,6030.97,6030.97,6030.97,33093905
2007-04-04,6049.15,6049.15,6049.15,6049.15,21991729
2007-04-07,6610.77,6610.77,6610.77,6610.77,36105887
2007-04-08,6576.85,6576.85,6576.85,6576.85,45047560
2007-04-09,6560.96,6560.96,6560.96,6560.96,41190666
2007-04-10,6807.51,6807.51,6807.51,6807.51,44298330
2007-04-11,6678.15,6678.15,6678.15,6678.15,36403328
2007-04-14,6830.58,6830.58,6830.58,6830.58,41575449
2007-04-15,6228.6,6228.6,6228.6,6228.6,27941320
2007-04-16,6182.74,6182.74,6182.74,6182.74,27895536
2007-04-17,5957.99,5957.99,5957.99,5957.99,24489392
2007-04-18,5983.09,5983.09,5983.09,5983.09,21314761
2007-04-21,5922.75,5922.75,5922.75,5922.75,20299830
2007-04-22,5786.1,5786.1,5786.1,5786.1,26577201
2007-04-23,5772.81,5772.81,5772.81,5772.81,21046102
2007-04-24,5494.48,5494.48,5494.48,5494.48,23489483
2007-04-25,5614.9,5614.9,5614.9,5614.9,26907599
2007-04-28,6082.87,6082.87,6082.87,6082.87,29075374
2007-04-29,5863.87,5863.87,5863.87,5863.87,38677647
2007-04-30,5977.69,5977.69,5977.69,5977.69,24751458
2007-05-01,6039.83,6039.83,6039.83,6039.83,36587433
2007-05-02,6166.39,6166.39,6166.39,6166.39,56103183
