"Index","Open","High","Low","Close","Volume"
2007-01-06,5058.22,5058.22,5058.22,5058.22,25517493
2007-01-07,4945.33,4945.33,4945.33,4945.33,21359674
2007-01-08,4950.62,4950.62,4950.62,4950.62,15299617
2007-01-09,4936.01,4936.01,4936.01,4936.01,25773960
2007-01-10,4815.67,4815.67,4815.67,4815.67,22781267
2007-01-13,4651.26,4651.26,4651.26,4651.26,18203590
2007-01-14,4598.9,4598.9,4598.9,4598.9,18801143
2007-01-15,4687.36,4687.36,4687.36,4687.36,48081652
2007-01-16,4573.22,4573.22,4573.22,4573.22,29660676
2007-01-17,4561.72,4561.72,4561.72,4561.72,38062588
2007-01-20,4583.35,4583.35,4583.35,4583.35,125868151
2007-01-21,4603.85,4603.85,4603.85,4603.85,81368201
2007-01-22,4780.43,4780.43,4780.43,4780.43,63157720
2007-01-23,4683.57,4683.57,4683.57,4683.57,37855784
2007-01-24,4599.43,4599.43,4599.43,4599.43,31503239
2007-01-27,4685.66,4685.66,4685.66,4685.66,33475109
2007-01-28,4760.7,4760.7,4760.7,4760.7,49339785
2007-01-29,4685.66,4685.66,4685.66,4685.66,39608548
2007-01-30,4695.08,4695.08,4695.08,4695.08,18992048
2007-01-31,4778.11,4778.11,4778.11,4778.11,30927197
2007-02-03,4931.57,4931.57,4931.57,4931.57,46824472
2007-02-04,4840.6,4840.6,4840.6,4840.6,29890700
2007-02-05,4883.15,4883.15,4883.15,4883.15,23774055
2007-02-06,5030.99,5030.99,5030.99,5030.99,21707735
2007-02-07,5080.56,5080.56,5080.56,5080.56,21786462
2007-02-10,5106.79,5106.79,5106.79,5106.79,32768462
2007-02-11,5156.95,5156.95,5156.95,5156.95,60718784
2007-02-12,5219.96,5219.96,5219.96,5219.96,27075499
2007-02-13,5288.53,5288.53,5288.53,5288.53,17609966
2007-02-14,5351.14,5351.14,5351.14,5351.14,46666024
2007-02-17,5481.52,5481.52,5481.52,5481.52,45040649
2007-02-18,5470.4,5470.4,5470.4,5470.4,49714162
2007-02-19,5601.16,5601.16,5601.16,5601.16,62867005
2007-02-20,5607.28,5607.28,5607.28,5607.28,47654112
2007-02-21,5686.91,5686.91,5686.91,5686.91,47218928
2007-02-24,5675.25,5675.25,5675.25,5675.25,43745384
2007-02-25,5644.57,5644.57,5644.57,5644.57,45980764
2007-02-26,5651.76,5651.76,5651.76,5651.76,40889648
2007-02-27,5648.41,5648.41,5648.41,5648.41,59532128
2007-02-28,5559.1,5559.1,5559.1,5559.1,48360729
2007-03-03,5718.5,5718.5,5718.5,5718.5,42088975
2007-03-04,5893.99,5893.99,5893.99,5893.99,56714194
2007-03-05,5920.47,5920.47,5920.47,5920.47,63158267
2007-03-06,5915.06,5915.06,5915.06,5915.06,63622497
2007-03-07,6114.54,6114.54,6114.54,6114.54,59522791
2007-03-10,6208.19,6208.19,6208.19,6208.19,56463022
2007-03-11,6106.87,6106.87,6106.87,6106.87,44360412
2007-03-12,6236.86,6236.86,6236.86,6236.86,70943044
2007-03-13,6019.18,6019.18,6019.18,6019.18,60638592
2007-03-14,6184.54,6184.54,6184.54,6184.54,57338956
2007-03-17,6260.8,6260.8,6260.8,6260.8,55008852
2007-03-18,6344.45,6344.45,6344.45,6344.45,59853766
2007-03-19,6345.95,6345.95,6345.95,6345.95,53064442
2007-03-20,6327.27,6327.27,6327.27,6327.27,59175302
2007-03-21,6297.17,6297.17,6297.17,6297.17,42985510
2007-03-24,6215.72,6215.72,6215.72,6215.72,29348728
2007-03-25,6209.02,6209.02,6209.02,6209.02,30642755
2007-03-26,5772.6,5772.6,5772.6,5772.6,29930491
2007-03-27,5746.61,5746.61,5746.61,5746.61,35182091
2007-03-28,5645.1,5645.1,5645.1,5645.1,38734449
2007-03-31,5535.72,5535.72,5535.72,5535.72,26856594
2007-04-01,5596.31,5596.31,5596.31,5596.31,39104363
2007-04-02,5497.98,5497.98,5497.98,5497.98,38992359
2007-04-03,5469.68,5469.68,5469.68,5469.68,32455702
2007-04-04,5568.15,5568.15,5568.15,5568.15,24784459
2007-04-07,5906.65,5906.65,5906.65,5906.65,43454348
2007-04-08,5821.55,5821.55,5821.55,5821.55,49643734
2007-04-09,5813.33,5813.33,5813.33,5813.33,46810735
2007-04-10,5876.41,5876.41,5876.41,5876.41,40161430
2007-04-11,5823.62,5823.62,5823.62,5823.62,23161776
2007-04-14,5681.31,5681.31,5681.31,5681.31,35175957
2007-04-15,5455.02,5455.02,5455.02,5455.02,22813495
2007-04-16,5599.42,5599.42,5599.42,5599.42,22733889
2007-04-17,5560.68,5560.68,5560.68,5560.68,21216596
2007-04-18,5736.72,5736.72,5736.72,5736.72,31103496
2007-04-21,5609.5,5609.5,5609.5,5609.5,21275968
2007-04-22,5478.98,5478.98,5478.98,5478.98,15679334
2007-04-23,5515.66,5515.66,5515.66,5515.66,15104279
2007-04-24,5479,5479,5479,5479,11144320
2007-04-25,5556.21,5556.21,5556.21,5556.21,17030728
2007-04-28,5774.03,5774.03,5774.03,5774.03,30468439
2007-04-29,5695.22,5695.22,5695.22,5695.22,23590063
2007-04-30,5731.68,5731.68,5731.68,5731.68,16453550
2007-05-01,5882.59,5882.59,5882.59,5882.59,21530811
2007-05-02,5840.38,5840.38,5840.38,5840.38,33155623
2007-05-05,5678.84,5678.84,5678.84,5678.84,22011668
2007-05-06,5664.72,5664.72,5664.72,5664.72,14857528
2007-05-07,5685.04,5685.04,5685.04,5685.04,25050135
2007-05-08,5800.24,5800.24,5800.24,5800.24,30562714
2007-05-09,5808.9,5808.9,5808.9,5808.9,13886693
2007-05-12,5797.09,5797.09,5797.09,5797.09,15669596
2007-05-13,5849.3,5849.3,5849.3,5849.3,24637793
2007-05-14,5928.82,5928.82,5928.82,5928.82,35880514
2007-05-15,5951.95,5951.95,5951.95,5951.95,29903022
2007-05-16,5926.75,5926.75,5926.75,5926.75,16223068
