"Index","Open","High","Low","Close","Volume"
2007-01-06,5268.83,5268.83,5268.83,5268.83,35398690
2007-01-07,5067.39,5067.39,5067.39,5067.39,23996525
2007-01-08,5059.57,5059.57,5059.57,5059.57,12045448
2007-01-09,5105.76,5105.76,5105.76,5105.76,25296744
2007-01-10,4948.68,4948.68,4948.68,4948.68,16392887
2007-01-13,4584.34,4584.34,4584.34,4584.34,11510563
2007-01-14,4562.18,4562.18,4562.18,4562.18,11916407
2007-01-15,4740.56,4740.56,4740.56,4740.56,22780615
2007-01-16,4595.67,4595.67,4595.67,4595.67,8749523
2007-01-17,4675.26,4675.26,4675.26,4675.26,25569864
2007-01-20,4622.56,4622.56,4622.56,4622.56,12972018
2007-01-21,4736.17,4736.17,4736.17,4736.17,19514042
2007-01-22,4693.81,4693.81,4693.81,4693.81,12953184
2007-01-23,4599.17,4599.17,4599.17,4599.17,7318079
2007-01-24,4380.52,4380.52,4380.52,4380.52,14920296
2007-01-27,4478.11,4478.11,4478.11,4478.11,15065642
2007-01-28,4490.92,4490.92,4490.92,4490.92,14692021
2007-01-29,4419.77,4419.77,4419.77,4419.77,9669412
2007-01-30,4395.76,4395.76,4395.76,4395.76,5912766
2007-01-31,4433.16,4433.16,4433.16,4433.16,9757308
2007-02-03,4572.16,4572.16,4572.16,4572.16,24457428
2007-02-04,4489.18,4489.18,4489.18,4489.18,13175523
2007-02-05,4479.28,4479.28,4479.28,4479.28,11419561
2007-02-06,4608.75,4608.75,4608.75,4608.75,24097590
2007-02-07,4546.18,4546.18,4546.18,4546.18,25399906
2007-02-10,4569.92,4569.92,4569.92,4569.92,27883167
2007-02-11,4508.43,4508.43,4508.43,4508.43,13186528
2007-02-12,4462.42,4462.42,4462.42,4462.42,13423675
2007-02-13,4498.51,4498.51,4498.51,4498.51,10111299
2007-02-14,4594.26,4594.26,4594.26,4594.26,36822600
2007-02-17,4672.1,4672.1,4672.1,4672.1,25607757
2007-02-18,4733.26,4733.26,4733.26,4733.26,26102252
2007-02-19,4911.2,4911.2,4911.2,4911.2,49678000
2007-02-20,4807.69,4807.69,4807.69,4807.69,20446726
2007-02-21,5052.65,5052.65,5052.65,5052.65,49447355
2007-02-24,5204.88,5204.88,5204.88,5204.88,47836307
2007-02-25,5178.81,5178.81,5178.81,5178.81,26745360
2007-02-26,5131.39,5131.39,5131.39,5131.39,19290295
2007-02-27,5173.94,5173.94,5173.94,5173.94,38094345
2007-02-28,5025.95,5025.95,5025.95,5025.95,20609599
2007-03-03,5331.55,5331.55,5331.55,5331.55,59618979
2007-03-04,5582.25,5582.25,5582.25,5582.25,49218954
2007-03-05,5847.36,5847.36,5847.36,5847.36,65348603
2007-03-06,6240.12,6240.12,6240.12,6240.12,59467102
2007-03-07,6204.94,6204.94,6204.94,6204.94,65245846
2007-03-10,6232.33,6232.33,6232.33,6232.33,53486485
2007-03-11,5906.2,5906.2,5906.2,5906.2,37787522
2007-03-12,6059.09,6059.09,6059.09,6059.09,42232859
2007-03-13,5738.95,5738.95,5738.95,5738.95,36304320
2007-03-14,5824.55,5824.55,5824.55,5824.55,25411915
2007-03-17,5901.51,5901.51,5901.51,5901.51,42834098
2007-03-18,6230.96,6230.96,6230.96,6230.96,68743769
2007-03-19,6285.33,6285.33,6285.33,6285.33,45317695
2007-03-20,6327.57,6327.57,6327.57,6327.57,39528035
2007-03-21,6277.38,6277.38,6277.38,6277.38,37694498
2007-03-24,6206,6206,6206,6206,35924227
2007-03-25,6325.29,6325.29,6325.29,6325.29,44861156
2007-03-26,5793.5,5793.5,5793.5,5793.5,59192700
2007-03-27,5549.31,5549.31,5549.31,5549.31,50119801
2007-03-28,5378.2,5378.2,5378.2,5378.2,54980496
2007-03-31,5043.64,5043.64,5043.64,5043.64,25014316
2007-04-01,5328.66,5328.66,5328.66,5328.66,48877967
2007-04-02,4970.17,4970.17,4970.17,4970.17,50702119
2007-04-03,4989.21,4989.21,4989.21,4989.21,75219944
2007-04-04,4943.84,4943.84,4943.84,4943.84,32406763
2007-04-07,5379.07,5379.07,5379.07,5379.07,51063247
2007-04-08,5192.88,5192.88,5192.88,5192.88,49167655
2007-04-09,5076.07,5076.07,5076.07,5076.07,20683083
2007-04-10,5140.52,5140.52,5140.52,5140.52,19138800
2007-04-11,5087.31,5087.31,5087.31,5087.31,16865738
2007-04-14,4901.01,4901.01,4901.01,4901.01,27593457
2007-04-15,4667.99,4667.99,4667.99,4667.99,17851218
2007-04-16,4684.49,4684.49,4684.49,4684.49,12431501
2007-04-17,4591.44,4591.44,4591.44,4591.44,10870541
2007-04-18,4680.78,4680.78,4680.78,4680.78,16969477
2007-04-21,4571.19,4571.19,4571.19,4571.19,10335314
2007-04-22,4543.09,4543.09,4543.09,4543.09,9465199
2007-04-23,4550.14,4550.14,4550.14,4550.14,12803690
2007-04-24,4505.79,4505.79,4505.79,4505.79,7107120
2007-04-25,4569.9,4569.9,4569.9,4569.9,9454219
2007-04-28,4916.68,4916.68,4916.68,4916.68,39828449
2007-04-29,5015.53,5015.53,5015.53,5015.53,41097361
2007-04-30,5130.08,5130.08,5130.08,5130.08,33834833
2007-05-01,5316.21,5316.21,5316.21,5316.21,29233580
2007-05-02,5422.23,5422.23,5422.23,5422.23,29964183
2007-05-05,5345.22,5345.22,5345.22,5345.22,21866791
2007-05-06,5376.57,5376.57,5376.57,5376.57,14417886
2007-05-07,5384.21,5384.21,5384.21,5384.21,22495278
2007-05-08,5569.41,5569.41,5569.41,5569.41,34906285
2007-05-09,5477.84,5477.84,5477.84,5477.84,26518991
2007-05-12,5416.65,5416.65,5416.65,5416.65,19299863
2007-05-13,5459.63,5459.63,5459.63,5459.63,27321258
2007-05-14,5563.52,5563.52,5563.52,5563.52,58556843
2007-05-15,5494.37,5494.37,5494.37,5494.37,17836356
2007-05-16,5409.79,5409.79,5409.79,5409.79,9630364
2007-05-19,5495.96,5495.96,5495.96,5495.96,16235081
2007-05-20,5542.18,5542.18,5542.18,5542.18,24785303
2007-05-21,5629.11,5629.11,5629.11,5629.11,31004668
2007-05-22,5636.43,5636.43,5636.43,5636.43,18622867
2007-05-23,5527.61,5527.61,5527.61,5527.61,9960175
2007-05-26,5708.94,5708.94,5708.94,5708.94,20935846
2007-05-27,5599.34,5599.34,5599.34,5599.34,12993039
2007-05-28,5466.43,5466.43,5466.43,5466.43,11810546
2007-05-29,5299.73,5299.73,5299.73,5299.73,9048223
2007-05-30,5340.62,5340.62,5340.62,5340.62,12930708
2007-06-02,5256.8,5256.8,5256.8,5256.8,11243397
2007-06-03,5330.31,5330.31,5330.31,5330.31,9087508
2007-06-04,5228.53,5228.53,5228.53,5228.53,8531882
2007-06-05,5189.14,5189.14,5189.14,5189.14,5674525
2007-06-06,5220.3,5220.3,5220.3,5220.3,4834921
2007-06-09,5312.02,5312.02,5312.02,5312.02,14465343
2007-06-10,5219.32,5219.32,5219.32,5219.32,10481941
2007-06-11,4916.85,4916.85,4916.85,4916.85,12181530
2007-06-12,4712.35,4712.35,4712.35,4712.35,8582017
2007-06-13,4699.9,4699.9,4699.9,4699.9,7208655
2007-06-16,4507.68,4507.68,4507.68,4507.68,5765233
2007-06-17,4538.02,4538.02,4538.02,4538.02,12455554
2007-06-18,4428.73,4428.73,4428.73,4428.73,10215063
2007-06-19,4490.26,4490.26,4490.26,4490.26,10694054
2007-06-20,4493.49,4493.49,4493.49,4493.49,8939922
2007-06-23,4549.91,4549.91,4549.91,4549.91,8277955
2007-06-24,4597.38,4597.38,4597.38,4597.38,8278460
2007-06-25,4585.01,4585.01,4585.01,4585.01,4520034
2007-06-26,4582.51,4582.51,4582.51,4582.51,5310602
2007-06-27,4549.35,4549.35,4549.35,4549.35,8195017
2007-06-30,4497.16,4497.16,4497.16,4497.16,6884444
2007-07-01,4497.31,4497.31,4497.31,4497.31,7148095
2007-07-02,4532.22,4532.22,4532.22,4532.22,4911233
2007-07-03,4547.29,4547.29,4547.29,4547.29,6505569
2007-07-04,4598.93,4598.93,4598.93,4598.93,7824426
2007-07-07,4726.07,4726.07,4726.07,4726.07,14847925
2007-07-08,4817.8,4817.8,4817.8,4817.8,14791975
2007-07-09,4863.01,4863.01,4863.01,4863.01,15617089
2007-07-10,4829.29,4829.29,4829.29,4829.29,9903456
2007-07-11,4935.38,4935.38,4935.38,4935.38,21362646
2007-07-14,5064.35,5064.35,5064.35,5064.35,25054544
2007-07-15,5144.95,5144.95,5144.95,5144.95,25552581
2007-07-16,5109.55,5109.55,5109.55,5109.55,15378931
2007-07-17,5034.32,5034.32,5034.32,5034.32,9391507
2007-07-18,5038.74,5038.74,5038.74,5038.74,12975417
2007-07-21,5116.38,5116.38,5116.38,5116.38,11780216
2007-07-22,4987.61,4987.61,4987.61,4987.61,5855743
2007-07-23,4931.79,4931.79,4931.79,4931.79,9462850
2007-07-24,5106.36,5106.36,5106.36,5106.36,9303502
2007-07-25,5154.31,5154.31,5154.31,5154.31,9749764
2007-07-28,5081.37,5081.37,5081.37,5081.37,9391795
2007-07-29,5135.56,5135.56,5135.56,5135.56,12641502
2007-07-30,5067.07,5067.07,5067.07,5067.07,7485182
2007-07-31,5059.8,5059.8,5059.8,5059.8,5023520
2007-08-01,5079.39,5079.39,5079.39,5079.39,8197414
2007-08-04,5096.89,5096.89,5096.89,5096.89,5750278
2007-08-05,5111.83,5111.83,5111.83,5111.83,11276583
2007-08-06,5152.22,5152.22,5152.22,5152.22,13739103
2007-08-07,5111.83,5111.83,5111.83,5111.83,6821109
2007-08-08,5164.86,5164.86,5164.86,5164.86,8614182
2007-08-11,5241.7,5241.7,5241.7,5241.7,21140225
2007-08-12,5211.47,5211.47,5211.47,5211.47,11824037
2007-08-13,5279.25,5279.25,5279.25,5279.25,19864056
2007-08-14,5335.89,5335.89,5335.89,5335.89,22747326
2007-08-15,5283.73,5283.73,5283.73,5283.73,14193535
2007-08-18,5227.72,5227.72,5227.72,5227.72,11405331
2007-08-19,5295.22,5295.22,5295.22,5295.22,16690158
