"Index","Open","High","Low","Close","Volume"
2007-01-06,5202.47,5202.47,5202.47,5202.47,24305267
2007-01-07,5053.24,5053.24,5053.24,5053.24,25540483
2007-01-08,5108.25,5108.25,5108.25,5108.25,20210901
2007-01-09,5149.92,5149.92,5149.92,5149.92,37393869
2007-01-10,5019.33,5019.33,5019.33,5019.33,23137632
2007-01-13,4650.73,4650.73,4650.73,4650.73,13180699
2007-01-14,4695.43,4695.43,4695.43,4695.43,21206098
2007-01-15,4899.86,4899.86,4899.86,4899.86,32274226
2007-01-16,4746.47,4746.47,4746.47,4746.47,18558077
2007-01-17,4842.05,4842.05,4842.05,4842.05,34558021
2007-01-20,4709.53,4709.53,4709.53,4709.53,18502549
2007-01-21,4719.31,4719.31,4719.31,4719.31,19029285
2007-01-22,4677.01,4677.01,4677.01,4677.01,28179321
2007-01-23,4604.51,4604.51,4604.51,4604.51,28967929
2007-01-24,4408.09,4408.09,4408.09,4408.09,26282805
2007-01-27,4439.34,4439.34,4439.34,4439.34,21178725
2007-01-28,4617.03,4617.03,4617.03,4617.03,25437319
2007-01-29,4557.14,4557.14,4557.14,4557.14,24750420
2007-01-30,4531.71,4531.71,4531.71,4531.71,17821627
2007-01-31,4554.18,4554.18,4554.18,4554.18,18262133
2007-02-03,4652.81,4652.81,4652.81,4652.81,29879875
2007-02-04,4587.17,4587.17,4587.17,4587.17,30249735
2007-02-05,4551.5,4551.5,4551.5,4551.5,31012832
2007-02-06,4628.54,4628.54,4628.54,4628.54,23434164
2007-02-07,4578.01,4578.01,4578.01,4578.01,23476271
2007-02-10,4634.22,4634.22,4634.22,4634.22,17904236
2007-02-11,4552.31,4552.31,4552.31,4552.31,19060634
2007-02-12,4488.79,4488.79,4488.79,4488.79,14175421
2007-02-13,4515.5,4515.5,4515.5,4515.5,18319547
2007-02-14,4511.55,4511.55,4511.55,4511.55,15405468
2007-02-17,4601.67,4601.67,4601.67,4601.67,26573718
2007-02-18,4722.96,4722.96,4722.96,4722.96,40869988
