"Index","Open","High","Low","Close","Volume"
2003-01-23,1000,1000,1000,1000,0
2003-01-25,1394.12,1394.12,1394.12,1394.12,6493243
2003-01-26,1366.18,1366.18,1366.18,1366.18,2810927
2003-01-27,1310.3,1310.3,1310.3,1310.3,3225821
2003-01-28,1304.42,1304.42,1304.42,1304.42,760242
2003-01-29,1238.24,1238.24,1238.24,1238.24,1351806
2003-01-30,1225,1225,1225,1225,749837
2003-02-01,1176.47,1176.47,1176.47,1176.47,1204014
2003-02-02,1132.35,1132.35,1132.35,1132.35,1317538
2003-02-03,1164.7,1164.7,1164.7,1164.7,987808
2003-02-04,1167.64,1167.64,1167.64,1167.64,1450098
2003-02-05,1183.82,1183.82,1183.82,1183.82,914189
2003-02-15,1301.47,1301.47,1301.47,1301.47,2483354
2003-02-16,1294.12,1294.12,1294.12,1294.12,3717721
2003-02-17,1263.24,1263.24,1263.24,1263.24,1476491
2003-02-18,1289.71,1289.71,1289.71,1289.71,1282816
2003-02-19,1277.95,1277.95,1277.95,1277.95,1052454
2003-02-20,1270.6,1270.6,1270.6,1270.6,316173
2003-02-22,1216.19,1216.19,1216.19,1216.19,1138215
2003-02-23,1222.07,1222.07,1222.07,1222.07,506105
2003-02-24,1220.6,1220.6,1220.6,1220.6,704300
2003-02-25,1202.95,1202.95,1202.95,1202.95,680064
2003-02-26,1216.19,1216.19,1216.19,1216.19,454586
2003-02-27,1205.9,1205.9,1205.9,1205.9,183362
2003-03-01,1207.37,1207.37,1207.37,1207.37,463166
2003-03-02,1213.25,1213.25,1213.25,1213.25,268175
2003-03-03,1216.19,1216.19,1216.19,1216.19,344799
2003-03-04,1214.72,1214.72,1214.72,1214.72,500467
2003-03-05,1207.37,1207.37,1207.37,1207.37,282511
2003-03-06,1213.25,1213.25,1213.25,1213.25,137677
2003-03-08,1188.25,1188.25,1188.25,1188.25,527900
2003-03-09,1154.43,1154.43,1154.43,1154.43,587297
2003-03-10,1179.43,1179.43,1179.43,1179.43,497651
2003-03-11,1205.9,1205.9,1205.9,1205.9,1162786
2003-03-12,1197.08,1197.08,1197.08,1197.08,569252
2003-03-13,1207.37,1207.37,1207.37,1207.37,334566
2003-03-15,1200.02,1200.02,1200.02,1200.02,595960
2003-03-16,1188.26,1188.26,1188.26,1188.26,269284
2003-03-17,1192.67,1192.67,1192.67,1192.67,647606
2003-03-18,1238.26,1238.26,1238.26,1238.26,1512288
2003-03-19,1226.5,1226.5,1226.5,1226.5,2541600
2003-03-20,1269.15,1269.15,1269.15,1269.15,1027158
2003-03-22,1330.92,1330.92,1330.92,1330.92,2500024
2003-03-23,1292.68,1292.68,1292.68,1292.68,2807744
2003-03-24,1286.8,1286.8,1286.8,1286.8,1674633
2003-03-25,1308.86,1308.86,1308.86,1308.86,1376071
2003-03-26,1327.98,1327.98,1327.98,1327.98,1570783
2003-03-27,1330.92,1330.92,1330.92,1330.92,471242
2003-03-29,1329.45,1329.45,1329.45,1329.45,849458
2003-03-30,1342.69,1342.69,1342.69,1342.69,958953
2003-03-31,1348.57,1348.57,1348.57,1348.57,2190837
