"Index","Open","High","Low","Close","Volume"
2007-01-06,5181.47,5181.47,5181.47,5181.47,10317758
2007-01-07,4993.9,4993.9,4993.9,4993.9,17233568
2007-01-08,5023.11,5023.11,5023.11,5023.11,12728544
2007-01-09,5056.53,5056.53,5056.53,5056.53,16922218
2007-01-10,4962.06,4962.06,4962.06,4962.06,21831593
2007-01-13,4621.89,4621.89,4621.89,4621.89,9127134
2007-01-14,4620.12,4620.12,4620.12,4620.12,14609374
2007-01-15,4756.9,4756.9,4756.9,4756.9,17574148
2007-01-16,4614.55,4614.55,4614.55,4614.55,10842928
2007-01-17,4638.73,4638.73,4638.73,4638.73,12729203
2007-01-20,4577.81,4577.81,4577.81,4577.81,11757426
2007-01-21,4616.45,4616.45,4616.45,4616.45,7512608
2007-01-22,4632.8,4632.8,4632.8,4632.8,10188368
2007-01-23,4456.37,4456.37,4456.37,4456.37,14237973
2007-01-24,4240.42,4240.42,4240.42,4240.42,8620146
2007-01-27,4308.81,4308.81,4308.81,4308.81,9046591
2007-01-28,4361.37,4361.37,4361.37,4361.37,10190970
2007-01-29,4257.13,4257.13,4257.13,4257.13,7034917
2007-01-30,4263.58,4263.58,4263.58,4263.58,6069889
2007-01-31,4243.55,4243.55,4243.55,4243.55,9951429
2007-02-03,4383.12,4383.12,4383.12,4383.12,15471480
2007-02-04,4309.16,4309.16,4309.16,4309.16,13581582
2007-02-05,4242.01,4242.01,4242.01,4242.01,11226771
2007-02-06,4322.42,4322.42,4322.42,4322.42,18460942
2007-02-07,4379.8,4379.8,4379.8,4379.8,27060695
2007-02-10,4410.97,4410.97,4410.97,4410.97,13781232
2007-02-11,4299.26,4299.26,4299.26,4299.26,9931925
2007-02-12,4285.33,4285.33,4285.33,4285.33,6391202
2007-02-13,4280.65,4280.65,4280.65,4280.65,8998514
2007-02-14,4378.43,4378.43,4378.43,4378.43,18098331
2007-02-17,4435.68,4435.68,4435.68,4435.68,14979423
2007-02-18,4463.53,4463.53,4463.53,4463.53,18578417
2007-02-19,4575.25,4575.25,4575.25,4575.25,20908098
2007-02-20,4509.64,4509.64,4509.64,4509.64,12697971
2007-02-21,4638.07,4638.07,4638.07,4638.07,27913626
2007-02-24,4767.5,4767.5,4767.5,4767.5,23584609
2007-02-25,4780.54,4780.54,4780.54,4780.54,22371413
2007-02-26,4863.74,4863.74,4863.74,4863.74,21793308
2007-02-27,4937.7,4937.7,4937.7,4937.7,24175270
2007-02-28,4880.05,4880.05,4880.05,4880.05,28315500
2007-03-03,5068.51,5068.51,5068.51,5068.51,26503376
2007-03-04,5199.23,5199.23,5199.23,5199.23,29176969
2007-03-05,5464.97,5464.97,5464.97,5464.97,27428064
2007-03-06,5433.8,5433.8,5433.8,5433.8,38221985
2007-03-07,5505.51,5505.51,5505.51,5505.51,20308138
2007-03-10,5556.65,5556.65,5556.65,5556.65,24592194
2007-03-11,5334.24,5334.24,5334.24,5334.24,16892341
2007-03-12,5430.48,5430.48,5430.48,5430.48,18851879
2007-03-13,5162.85,5162.85,5162.85,5162.85,21124741
2007-03-14,5346.62,5346.62,5346.62,5346.62,21559681
2007-03-17,5302.41,5302.41,5302.41,5302.41,23005722
2007-03-18,5482.51,5482.51,5482.51,5482.51,35477559
2007-03-19,5630.91,5630.91,5630.91,5630.91,35937166
2007-03-20,5571.76,5571.76,5571.76,5571.76,18628235
2007-03-21,5522.52,5522.52,5522.52,5522.52,16548449
2007-03-24,5350.77,5350.77,5350.77,5350.77,14413273
2007-03-25,5713.94,5713.94,5713.94,5713.94,62276725
2007-03-26,5171.74,5171.74,5171.74,5171.74,45179406
2007-03-27,4751.98,4751.98,4751.98,4751.98,21016740
