"Index","Open","High","Low","Close","Volume"
1998-01-01,1958.9,1958.9,1958.9,1958.9,0
1998-01-03,1964.1,1964.1,1964.1,1964.1,0
1998-01-04,1965.3,1965.3,1965.3,1965.3,0
1998-01-05,1978,1978,1978,1978,0
1998-01-06,1984.7,1984.7,1984.7,1984.7,0
1998-01-07,1987.3,1987.3,1987.3,1987.3,0
1998-01-08,1978.1,1978.1,1978.1,1978.1,0
1998-01-10,1967.5,1967.5,1967.5,1967.5,0
1998-01-11,1953.9,1953.9,1953.9,1953.9,0
1998-01-12,1939.5,1939.5,1939.5,1939.5,0
1998-01-13,1940.8,1940.8,1940.8,1940.8,0
1998-01-14,1954.3,1954.3,1954.3,1954.3,0
1998-01-15,1953.9,1953.9,1953.9,1953.9,0
1998-01-17,1952.1,1952.1,1952.1,1952.1,0
1998-01-18,1939.3,1939.3,1939.3,1939.3,0
1998-01-19,1937.8,1937.8,1937.8,1937.8,0
1998-01-20,1940.7,1940.7,1940.7,1940.7,0
1998-01-21,1942.4,1942.4,1942.4,1942.4,0
1998-01-22,1942.5,1942.5,1942.5,1942.5,0
1998-01-24,1919.3,1919.3,1919.3,1919.3,0
1998-01-25,1912.6,1912.6,1912.6,1912.6,0
1998-02-02,1907.9,1907.9,1907.9,1907.9,0
1998-02-03,1907.4,1907.4,1907.4,1907.4,0
1998-02-04,1884.7,1884.7,1884.7,1884.7,0
1998-02-05,1876.6,1876.6,1876.6,1876.6,0
1998-02-07,1852.5,1852.5,1852.5,1852.5,0
1998-02-08,1785.6,1785.6,1785.6,1785.6,0
1998-02-09,1797.5,1797.5,1797.5,1797.5,0
1998-02-10,1826.9,1826.9,1826.9,1826.9,0
1998-02-11,1815.8,1815.8,1815.8,1815.8,0
1998-02-12,1801.1,1801.1,1801.1,1801.1,0
1998-02-14,1763.8,1763.8,1763.8,1763.8,0
1998-02-15,1766.3,1766.3,1766.3,1766.3,0
1998-02-16,1774.2,1774.2,1774.2,1774.2,0
1998-02-17,1770.4,1770.4,1770.4,1770.4,0
1998-02-18,1794.2,1794.2,1794.2,1794.2,0
1998-02-19,1783.2,1783.2,1783.2,1783.2,0
1998-02-21,1793.1,1793.1,1793.1,1793.1,0
1998-02-22,1797.3,1797.3,1797.3,1797.3,0
1998-02-23,1825.6,1825.6,1825.6,1825.6,0
1998-02-24,1829.1,1829.1,1829.1,1829.1,0
1998-02-25,1823.5,1823.5,1823.5,1823.5,0
1998-02-26,1817.8,1817.8,1817.8,1817.8,0
1998-02-28,1811.1,1811.1,1811.1,1811.1,0
1998-03-01,1796.3,1796.3,1796.3,1796.3,0
1998-03-02,1791.7,1791.7,1791.7,1791.7,0
1998-03-03,1782.4,1782.4,1782.4,1782.4,0
1998-03-04,1763.8,1763.8,1763.8,1763.8,0
1998-03-05,1751.7,1751.7,1751.7,1751.7,0
1998-03-07,1731.8,1731.8,1731.8,1731.8,0
1998-03-08,1705.8,1705.8,1705.8,1705.8,0
1998-03-09,1689.2,1689.2,1689.2,1689.2,0
1998-03-10,1659.9,1659.9,1659.9,1659.9,0
1998-03-11,1680.6,1680.6,1680.6,1680.6,0
1998-03-12,1685.4,1685.4,1685.4,1685.4,0
1998-03-14,1656.7,1656.7,1656.7,1656.7,0
1998-03-15,1616.4,1616.4,1616.4,1616.4,0
1998-03-16,1625.1,1625.1,1625.1,1625.1,0
1998-03-17,1622.9,1622.9,1622.9,1622.9,0
1998-03-18,1590.8,1590.8,1590.8,1590.8,0
1998-03-19,1587.8,1587.8,1587.8,1587.8,0
1998-03-21,1606.6,1606.6,1606.6,1606.6,0
1998-03-22,1610.4,1610.4,1610.4,1610.4,0
1998-03-23,1657.2,1657.2,1657.2,1657.2,0
1998-03-24,1658.4,1658.4,1658.4,1658.4,0
1998-03-25,1650,1650,1650,1650,0
1998-03-26,1668.9,1668.9,1668.9,1668.9,0
1998-03-28,1686.2,1686.2,1686.2,1686.2,0
1998-03-29,1704.6,1704.6,1704.6,1704.6,0
1998-03-30,1708.3,1708.3,1708.3,1708.3,0
1998-03-31,1678,1678,1678,1678,0
1998-04-01,1679.4,1679.4,1679.4,1679.4,0
1998-04-11,1696.3,1696.3,1696.3,1696.3,0
1998-04-12,1705.7,1705.7,1705.7,1705.7,0
1998-04-13,1705.8,1705.8,1705.8,1705.8,0
1998-04-14,1718.7,1718.7,1718.7,1718.7,0
1998-04-15,1712.7,1712.7,1712.7,1712.7,0
1998-04-16,1715.2,1715.2,1715.2,1715.2,0
1998-04-18,1725.4,1725.4,1725.4,1725.4,0
1998-04-19,1715.4,1715.4,1715.4,1715.4,0
1998-04-20,1728.6,1728.6,1728.6,1728.6,0
1998-04-21,1748.5,1748.5,1748.5,1748.5,0
1998-04-22,1742.3,1742.3,1742.3,1742.3,0
1998-04-23,1746,1746,1746,1746,0
