"Index","Open","High","Low","Close","Volume"
2004-07-06,1519.96,1519.96,1519.96,1519.96,531287
2004-07-07,1519.97,1519.97,1519.97,1519.97,676428
2004-07-08,1519.02,1519.02,1519.02,1519.02,1960333
2004-07-11,1522.46,1522.46,1522.46,1522.46,629428
2004-07-12,1526.49,1526.49,1526.49,1526.49,670221
2004-07-13,1528.46,1528.46,1528.46,1528.46,510566
2004-07-14,1530.98,1530.98,1530.98,1530.98,717255
2004-07-15,1531.67,1531.67,1531.67,1531.67,1019222
2004-07-18,1534.68,1534.68,1534.68,1534.68,1133332
2004-07-19,1530.65,1530.65,1530.65,1530.65,610375
2004-07-20,1536.64,1536.64,1536.64,1536.64,1686888
2004-07-21,1533.38,1533.38,1533.38,1533.38,615648
2004-07-22,1510.59,1510.59,1510.59,1510.59,801148
2004-07-25,1517.32,1517.32,1517.32,1517.32,397000
2004-07-26,1514.08,1514.08,1514.08,1514.08,716381
2004-07-27,1516.66,1516.66,1516.66,1516.66,342407
2004-07-28,1529.52,1529.52,1529.52,1529.52,156833
2004-07-29,1532.66,1532.66,1532.66,1532.66,418865
2004-08-01,1538.98,1538.98,1538.98,1538.98,250388
2004-08-02,1533.38,1533.38,1533.38,1533.38,760177
2004-08-03,1530.5,1530.5,1530.5,1530.5,475751
2004-08-04,1526.84,1526.84,1526.84,1526.84,47400
2004-08-05,1526.71,1526.71,1526.71,1526.71,442769
2004-08-08,1526.1,1526.1,1526.1,1526.1,1761139
2004-08-09,1528.2,1528.2,1528.2,1528.2,1476182
2004-08-10,1529.57,1529.57,1529.57,1529.57,1593940
2004-08-11,1534.35,1534.35,1534.35,1534.35,1895082
2004-08-12,1545.12,1545.12,1545.12,1545.12,791566
2004-08-15,1551,1551,1551,1551,130000
2004-08-16,1555.21,1555.21,1555.21,1555.21,644010
2004-08-17,1565.03,1565.03,1565.03,1565.03,987616
2004-08-18,1584.39,1584.39,1584.39,1584.39,2115524
2004-08-19,1604.21,1604.21,1604.21,1604.21,2311933
2004-08-22,1619.28,1619.28,1619.28,1619.28,1131846
2004-08-24,1613.36,1613.36,1613.36,1613.36,498520
2004-08-25,1619.97,1619.97,1619.97,1619.97,710357
2004-08-26,1635.25,1635.25,1635.25,1635.25,789306
2004-08-29,1651.79,1651.79,1651.79,1651.79,901411
2004-08-30,1669.34,1669.34,1669.34,1669.34,983704
2004-08-31,1672.39,1672.39,1672.39,1672.39,660577
2004-09-01,1677.18,1677.18,1677.18,1677.18,1545695
2004-09-02,1682.4,1682.4,1682.4,1682.4,1485886
2004-09-05,1676.78,1676.78,1676.78,1676.78,470381
2004-09-06,1656.97,1656.97,1656.97,1656.97,457074
2004-09-07,1658.27,1658.27,1658.27,1658.27,1076721
2004-09-08,1651.53,1651.53,1651.53,1651.53,916769
2004-09-09,1646.91,1646.91,1646.91,1646.91,501117
2004-09-12,1649.56,1649.56,1649.56,1649.56,293752
2004-09-13,1670.99,1670.99,1670.99,1670.99,793486
2004-09-14,1685.59,1685.59,1685.59,1685.59,1488122
2004-09-15,1703.56,1703.56,1703.56,1703.56,2609409
2004-09-16,1702.79,1702.79,1702.79,1702.79,994148
2004-09-19,1699.88,1699.88,1699.88,1699.88,1200821
2004-09-20,1697.63,1697.63,1697.63,1697.63,1013656
2004-09-21,1699.88,1699.88,1699.88,1699.88,1050528
2004-09-22,1696.27,1696.27,1696.27,1696.27,481536
2004-09-23,1687.02,1687.02,1687.02,1687.02,1990307
2004-09-26,1679.97,1679.97,1679.97,1679.97,1562742
2004-09-27,1677.27,1677.27,1677.27,1677.27,1441256
2004-09-28,1687.08,1687.08,1687.08,1687.08,1589510
2004-09-29,1674.97,1674.97,1674.97,1674.97,1275220
2004-09-30,1674.35,1674.35,1674.35,1674.35,849712
2004-10-03,1675.27,1675.27,1675.27,1675.27,725205
2004-10-04,1690.44,1690.44,1690.44,1690.44,1297043
2004-10-05,1693.93,1693.93,1693.93,1693.93,1031591
2004-10-06,1683.2,1683.2,1683.2,1683.2,1065472
2004-10-07,1682.42,1682.42,1682.42,1682.42,1146066
2004-10-10,1695.21,1695.21,1695.21,1695.21,736014
2004-10-11,1694.94,1694.94,1694.94,1694.94,1091880
2004-10-12,1706.86,1706.86,1706.86,1706.86,1672800
2004-10-13,1724.66,1724.66,1724.66,1724.66,3328600
2004-10-14,1731.24,1731.24,1731.24,1731.24,2253602
2004-10-17,1727.01,1727.01,1727.01,1727.01,847884
2004-10-18,1732.62,1732.62,1732.62,1732.62,936193
2004-10-19,1734.96,1734.96,1734.96,1734.96,1968701
2004-10-20,1728.86,1728.86,1728.86,1728.86,1205239
2004-10-21,1733.35,1733.35,1733.35,1733.35,3940758
2004-10-24,1738.77,1738.77,1738.77,1738.77,694623
2004-10-25,1743.12,1743.12,1743.12,1743.12,572082
2004-10-26,1750.73,1750.73,1750.73,1750.73,1409996
2004-10-27,1752.19,1752.19,1752.19,1752.19,1159569
2004-10-28,1756.15,1756.15,1756.15,1756.15,506377
2004-10-31,1757.3,1757.3,1757.3,1757.3,745583
2004-11-01,1753.95,1753.95,1753.95,1753.95,1850921
2004-11-02,1754.28,1754.28,1754.28,1754.28,5731159
2004-11-07,1752.83,1752.83,1752.83,1752.83,648263
2004-11-08,1754.58,1754.58,1754.58,1754.58,1532715
2004-11-09,1764.76,1764.76,1764.76,1764.76,1326335
2004-11-10,1762.89,1762.89,1762.89,1762.89,1297590
2004-11-11,1756.4,1756.4,1756.4,1756.4,999162
2004-11-16,1757.78,1757.78,1757.78,1757.78,573025
2004-11-17,1751.42,1751.42,1751.42,1751.42,1733861
2004-11-18,1748.28,1748.28,1748.28,1748.28,628652
2004-11-21,1748.15,1748.15,1748.15,1748.15,616479
2004-11-22,1744.92,1744.92,1744.92,1744.92,411754
2004-11-23,1742.44,1742.44,1742.44,1742.44,793840
2004-11-24,1742.67,1742.67,1742.67,1742.67,758974
2004-11-25,1746.82,1746.82,1746.82,1746.82,1584150
2004-11-28,1752.2,1752.2,1752.2,1752.2,1227350
2004-11-29,1756.97,1756.97,1756.97,1756.97,656535
2004-11-30,1753.53,1753.53,1753.53,1753.53,1645000
2004-12-01,1759.78,1759.78,1759.78,1759.78,1072911
2004-12-02,1763.99,1763.99,1763.99,1763.99,1425910
2004-12-05,1767.65,1767.65,1767.65,1767.65,745717
2004-12-06,1769.87,1769.87,1769.87,1769.87,461773
2004-12-07,1771.58,1771.58,1771.58,1771.58,641356
2004-12-08,1771.86,1771.86,1771.86,1771.86,1302037
2004-12-09,1772.66,1772.66,1772.66,1772.66,257527
2004-12-12,1771.98,1771.98,1771.98,1771.98,352094
2004-12-13,1769.32,1769.32,1769.32,1769.32,243652
2004-12-14,1767.78,1767.78,1767.78,1767.78,336113
2004-12-15,1767.67,1767.67,1767.67,1767.67,353292
2004-12-20,1761.91,1761.91,1761.91,1761.91,303406
2004-12-21,1765.13,1765.13,1765.13,1765.13,366669
2004-12-22,1764.3,1764.3,1764.3,1764.3,961873
2004-12-23,1770.25,1770.25,1770.25,1770.25,458609
2004-12-26,1769.6,1769.6,1769.6,1769.6,327412
2004-12-27,1768.49,1768.49,1768.49,1768.49,404254
2004-12-28,1764.17,1764.17,1764.17,1764.17,162340
2004-12-29,1764.11,1764.11,1764.11,1764.11,37137953
2004-12-30,1773.65,1773.65,1773.65,1773.65,775123
2005-01-02,1778.71,1778.71,1778.71,1778.71,227088
2005-01-03,1780.55,1780.55,1780.55,1780.55,813900
2005-01-04,1783.96,1783.96,1783.96,1783.96,223111
2005-01-05,1784.93,1784.93,1784.93,1784.93,542489
2005-01-06,1800.43,1800.43,1800.43,1800.43,983403
2005-01-09,1826.17,1826.17,1826.17,1826.17,1111965
2005-01-10,1872.18,1872.18,1872.18,1872.18,1910687
2005-01-11,1860.33,1860.33,1860.33,1860.33,1459290
2005-01-12,1860.01,1860.01,1860.01,1860.01,926935
2005-01-13,1864.47,1864.47,1864.47,1864.47,557666
2005-01-16,1865.05,1865.05,1865.05,1865.05,637215
2005-01-17,1880.93,1880.93,1880.93,1880.93,965596
2005-01-18,1878.13,1878.13,1878.13,1878.13,2057650
2005-01-24,1859.43,1859.43,1859.43,1859.43,1239236
2005-01-25,1865.19,1865.19,1865.19,1865.19,975391
2005-01-26,1868.22,1868.22,1868.22,1868.22,1140934
2005-01-27,1868.84,1868.84,1868.84,1868.84,972860
2005-01-30,1865.31,1865.31,1865.31,1865.31,853584
2005-01-31,1870.79,1870.79,1870.79,1870.79,2050324
2005-02-01,1873.1,1873.1,1873.1,1873.1,1189952
2005-02-02,1876.51,1876.51,1876.51,1876.51,1637040
2005-02-03,1870.37,1870.37,1870.37,1870.37,2132195
2005-02-06,1873.58,1873.58,1873.58,1873.58,945106
2005-02-07,1870.76,1870.76,1870.76,1870.76,2007797
2005-02-08,1881.67,1881.67,1881.67,1881.67,1546912
2005-02-09,1896.78,1896.78,1896.78,1896.78,1390161
2005-02-13,1904.7,1904.7,1904.7,1904.7,1108478
2005-02-14,1917.48,1917.48,1917.48,1917.48,1433050
2005-02-15,1974.76,1974.76,1974.76,1974.76,1922991
2005-02-16,1998.14,1998.14,1998.14,1998.14,2563999
2005-02-17,2008,2008,2008,2008,3128925
2005-02-21,2023.96,2023.96,2023.96,2023.96,2550532
2005-02-22,2024.76,2024.76,2024.76,2024.76,2247918
2005-02-23,2006.59,2006.59,2006.59,2006.59,1141800
2005-02-24,2000.53,2000.53,2000.53,2000.53,749599
2005-02-27,1999.35,1999.35,1999.35,1999.35,693934
