"Index","Open","High","Low","Close","Volume"
2003-12-31,1000,1000,1000,1000,0
2004-01-03,1005.99,1005.99,1005.99,1005.99,3658955
2004-01-04,1010.03,1010.03,1010.03,1010.03,5446763
2004-01-05,1015.18,1015.18,1015.18,1015.18,7813577
2004-01-06,1021.88,1021.88,1021.88,1021.88,10068159
2004-01-07,1026.11,1026.11,1026.11,1026.11,5290359
2004-01-08,1033.43,1033.43,1033.43,1033.43,5878857
2004-01-10,1039.35,1039.35,1039.35,1039.35,8956129
2004-01-11,1046.63,1046.63,1046.63,1046.63,9913653
2004-01-12,1044.5,1044.5,1044.5,1044.5,6851067
2004-01-13,1050.43,1050.43,1050.43,1050.43,6603864
2004-01-14,1058.73,1058.73,1058.73,1058.73,9442978
2004-01-15,1056.74,1056.74,1056.74,1056.74,8044909
2004-01-17,1054.55,1054.55,1054.55,1054.55,3502788
2004-01-18,1048.77,1048.77,1048.77,1048.77,2118303
2004-01-19,1042.72,1042.72,1042.72,1042.72,2524225
2004-01-20,1040.35,1040.35,1040.35,1040.35,465419
2004-01-21,1054.6,1054.6,1054.6,1054.6,2118498
2004-01-22,1059.97,1059.97,1059.97,1059.97,1898068
2004-01-24,1058.69,1058.69,1058.69,1058.69,4070888
2004-01-25,1059.83,1059.83,1059.83,1059.83,716772
2004-01-26,1060.36,1060.36,1060.36,1060.36,1450446
2004-01-27,1067.84,1067.84,1067.84,1067.84,2295835
2004-01-28,1080.47,1080.47,1080.47,1080.47,996857
2004-01-29,1092.88,1092.88,1092.88,1092.88,1078262
2004-02-04,1107.8,1107.8,1107.8,1107.8,2008691
2004-02-05,1110.3,1110.3,1110.3,1110.3,2269980
2004-02-07,1111.39,1111.39,1111.39,1111.39,1692483
2004-02-08,1113.17,1113.17,1113.17,1113.17,4717366
2004-02-09,1102.53,1102.53,1102.53,1102.53,4484048
2004-02-10,1103.2,1103.2,1103.2,1103.2,5016339
2004-02-11,1100.5,1100.5,1100.5,1100.5,2735136
2004-02-12,1100.67,1100.67,1100.67,1100.67,2060081
2004-02-14,1099.78,1099.78,1099.78,1099.78,1486465
2004-02-15,1099.77,1099.77,1099.77,1099.77,2614776
2004-02-16,1095.88,1095.88,1095.88,1095.88,745905
2004-02-17,1097.24,1097.24,1097.24,1097.24,1307502
2004-02-18,1095.55,1095.55,1095.55,1095.55,977057
2004-02-19,1100.87,1100.87,1100.87,1100.87,3127042
2004-02-22,1091.54,1091.54,1091.54,1091.54,1049624
2004-02-23,1091.63,1091.63,1091.63,1091.63,1949055
2004-02-24,1086.32,1086.32,1086.32,1086.32,2101191
2004-02-25,1090.8,1090.8,1090.8,1090.8,1414033
2004-02-26,1092.34,1092.34,1092.34,1092.34,1257863
2004-02-28,1097.63,1097.63,1097.63,1097.63,843923
2004-02-29,1098.36,1098.36,1098.36,1098.36,2286617
2004-03-01,1100.63,1100.63,1100.63,1100.63,1504693
2004-03-02,1100.9,1100.9,1100.9,1100.9,1126857
2004-03-03,1110.91,1110.91,1110.91,1110.91,2163062
2004-03-04,1108.26,1108.26,1108.26,1108.26,1048847
2004-03-06,1105.11,1105.11,1105.11,1105.11,849516
2004-03-07,1098.95,1098.95,1098.95,1098.95,3559815
2004-03-08,1096.46,1096.46,1096.46,1096.46,1954429
2004-03-09,1095.19,1095.19,1095.19,1095.19,4164429
2004-03-10,1095.13,1095.13,1095.13,1095.13,2635340
2004-03-11,1096.47,1096.47,1096.47,1096.47,2897150
2004-03-13,1098.88,1098.88,1098.88,1098.88,1470246
2004-03-14,1100.1,1100.1,1100.1,1100.1,2535431
2004-03-15,1100.67,1100.67,1100.67,1100.67,1941731
2004-03-16,1092.24,1092.24,1092.24,1092.24,311148
2004-03-17,1092.43,1092.43,1092.43,1092.43,3311549
2004-03-18,1093.51,1093.51,1093.51,1093.51,2448497
2004-03-20,1092.41,1092.41,1092.41,1092.41,2085855
2004-03-21,1077.23,1077.23,1077.23,1077.23,26925127
2004-03-22,1073.8,1073.8,1073.8,1073.8,21132847
2004-03-23,1071.4,1071.4,1071.4,1071.4,15271665
2004-03-24,1065.47,1065.47,1065.47,1065.47,17440748
2004-03-25,1070.04,1070.04,1070.04,1070.04,11185237
2004-03-27,1067.8,1067.8,1067.8,1067.8,6852833
2004-03-28,1074.27,1074.27,1074.27,1074.27,16721836
2004-03-29,1095.02,1095.02,1095.02,1095.02,33823769
2004-03-30,1105.12,1105.12,1105.12,1105.12,34684637
2004-03-31,1114.71,1114.71,1114.71,1114.71,24847686
2004-04-01,1126.64,1126.64,1126.64,1126.64,18647033
2004-04-03,1128.83,1128.83,1128.83,1128.83,16441042
2004-04-04,1129.75,1129.75,1129.75,1129.75,26808919
2004-04-05,1124.14,1124.14,1124.14,1124.14,11680382
2004-04-06,1142.6,1142.6,1142.6,1142.6,7819286
2004-04-07,1141.6,1141.6,1141.6,1141.6,9253428
2004-04-08,1149.1,1149.1,1149.1,1149.1,8820010
2004-04-10,1148.56,1148.56,1148.56,1148.56,4597239
2004-04-11,1157.75,1157.75,1157.75,1157.75,16807971
2004-04-12,1155.31,1155.31,1155.31,1155.31,11472095
2004-04-13,1169.86,1169.86,1169.86,1169.86,7758507
2004-04-14,1198.06,1198.06,1198.06,1198.06,13664145
2004-04-15,1207.15,1207.15,1207.15,1207.15,19698243
2004-04-17,1256.65,1256.65,1256.65,1256.65,13584468
2004-04-18,1264.24,1264.24,1264.24,1264.24,18608446
2004-04-19,1272.4,1272.4,1272.4,1272.4,28691387
2004-04-20,1271.89,1271.89,1271.89,1271.89,27741162
2004-04-21,1259.95,1259.95,1259.95,1259.95,38138875
2004-04-22,1257.97,1257.97,1257.97,1257.97,16604294
2004-04-24,1250.73,1250.73,1250.73,1250.73,12575087
2004-04-25,1251.91,1251.91,1251.91,1251.91,9599634
2004-04-26,1237.45,1237.45,1237.45,1237.45,5652080
2004-04-27,1224.26,1224.26,1224.26,1224.26,6716404
2004-04-28,1215.36,1215.36,1215.36,1215.36,5021234
2004-04-29,1214.7,1214.7,1214.7,1214.7,9079193
2004-05-02,1218.01,1218.01,1218.01,1218.01,1735957
2004-05-03,1225.48,1225.48,1225.48,1225.48,7762971
2004-05-04,1234.4,1234.4,1234.4,1234.4,5714073
2004-05-05,1242.22,1242.22,1242.22,1242.22,5218032
2004-05-06,1239.46,1239.46,1239.46,1239.46,7133322
2004-05-08,1235.23,1235.23,1235.23,1235.23,3493473
2004-05-09,1231.98,1231.98,1231.98,1231.98,4081398
2004-05-10,1229.88,1229.88,1229.88,1229.88,3487559
2004-05-11,1231.58,1231.58,1231.58,1231.58,6090132
2004-05-12,1234.49,1234.49,1234.49,1234.49,4556310
2004-05-13,1240.68,1240.68,1240.68,1240.68,3886927
2004-05-15,1262.9,1262.9,1262.9,1262.9,5023431
2004-05-16,1266.23,1266.23,1266.23,1266.23,6621917
2004-05-17,1269.8,1269.8,1269.8,1269.8,11245482
2004-05-18,1285.76,1285.76,1285.76,1285.76,5267849
2004-05-19,1288.41,1288.41,1288.41,1288.41,5691762
2004-05-20,1290.38,1290.38,1290.38,1290.38,3426869
2004-05-22,1290.19,1290.19,1290.19,1290.19,5429586
2004-05-23,1282.79,1282.79,1282.79,1282.79,1967646
2004-05-24,1283.34,1283.34,1283.34,1283.34,21803513
2004-05-25,1279.73,1279.73,1279.73,1279.73,5945042
2004-05-26,1277.74,1277.74,1277.74,1277.74,5785099
2004-05-27,1275.73,1275.73,1275.73,1275.73,4185501
2004-05-29,1277.33,1277.33,1277.33,1277.33,3159786
2004-05-30,1276.47,1276.47,1276.47,1276.47,2304964
2004-05-31,1306.52,1306.52,1306.52,1306.52,9877365
2004-06-01,1301.93,1301.93,1301.93,1301.93,5973562
2004-06-02,1304.98,1304.98,1304.98,1304.98,5022278
2004-06-03,1312.74,1312.74,1312.74,1312.74,4608545
2004-06-05,1326.79,1326.79,1326.79,1326.79,6104153
2004-06-06,1333.44,1333.44,1333.44,1333.44,9758947
2004-06-07,1337.13,1337.13,1337.13,1337.13,14129381
2004-06-08,1339.95,1339.95,1339.95,1339.95,4999507
2004-06-09,1343.53,1343.53,1343.53,1343.53,6004643
2004-06-10,1361.12,1361.12,1361.12,1361.12,8214573
2004-06-12,1405.72,1405.72,1405.72,1405.72,16762178
2004-06-13,1458.7,1458.7,1458.7,1458.7,75774564
2004-06-14,1438.82,1438.82,1438.82,1438.82,66969505
2004-06-15,1433.66,1433.66,1433.66,1433.66,18189557
2004-06-16,1436.13,1436.13,1436.13,1436.13,10752280
2004-06-17,1433.79,1433.79,1433.79,1433.79,7938533
2004-06-19,1430.46,1430.46,1430.46,1430.46,6803827
2004-06-20,1432,1432,1432,1432,5047603
2004-06-21,1452.22,1452.22,1452.22,1452.22,9620379
2004-06-22,1442.43,1442.43,1442.43,1442.43,14955858
2004-06-23,1449.53,1449.53,1449.53,1449.53,5932678
2004-06-24,1455.93,1455.93,1455.93,1455.93,6053019
2004-06-26,1455.44,1455.44,1455.44,1455.44,8118121
2004-06-27,1455.68,1455.68,1455.68,1455.68,8154695
2004-06-28,1478.88,1478.88,1478.88,1478.88,14620720
2004-06-29,1485.84,1485.84,1485.84,1485.84,14649161
2004-06-30,1492.75,1492.75,1492.75,1492.75,11288068
2004-07-01,1507.69,1507.69,1507.69,1507.69,27743127
2004-07-03,1499.69,1499.69,1499.69,1499.69,29173036
2004-07-04,1508.96,1508.96,1508.96,1508.96,23437088
2004-07-05,1524.49,1524.49,1524.49,1524.49,20878261
2004-07-06,1548.97,1548.97,1548.97,1548.97,28387286
2004-07-07,1556.5,1556.5,1556.5,1556.5,70718540
2004-07-08,1560.09,1560.09,1560.09,1560.09,47408513
2004-07-10,1565.35,1565.35,1565.35,1565.35,16131307
2004-07-11,1559.44,1559.44,1559.44,1559.44,17456844
2004-07-12,1565.87,1565.87,1565.87,1565.87,18218973
2004-07-13,1569.62,1569.62,1569.62,1569.62,6866985
2004-07-14,1574.22,1574.22,1574.22,1574.22,10088112
2004-07-15,1570,1570,1570,1570,17708350
2004-07-17,1571.55,1571.55,1571.55,1571.55,8340474
