<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
RIBL,20160204,11.45,11.55,11.25,11.34,657092
BJAZ,20160204,13.4,13.5,13.1,13.26,11173048
SIBC,20160204,15.4,15.7,15.3,15.4,232771
AAAL,20160204,27.3,27.5,27.3,27.35,189016
BSFR,20160204,25.3,25.4,25.1,25.3,159677
SABB,20160204,21.9,22.05,21.6,21.71,121829
ARNB,20160204,20.35,20.4,20.25,20.3,119554
SAMBA,20160204,20.3,20.55,20.3,20.36,848765
RJHI,20160204,50,51.25,50,50.56,3477307
SAFCO,20160204,69,69.5,68,68.07,192791
SARCO,20160204,31.8,32,30.8,30.93,437304
SCERCO,20160204,39.1,39.2,38.5,38.55,422867
SAVOLA,20160204,38.2,40.2,38.2,39.55,495592
SPIMACO,20160204,27.4,28.3,27.4,27.57,280285
NGIC,20160204,20,20.2,20,20.06,53097
NGCO,20160204,12.2,12.55,12.1,12.19,2027325
WAFRAH,20160204,21.1,22.45,20.9,21.95,2626369
SCACO,20160204,6.75,6.9,6.6,6.63,1574640
SAIC,20160204,10.1,10.7,10.05,10.22,2334592
SIDC,20160204,9.1,9.2,8.9,8.91,3800581
AADC,20160204,11,11.25,10.95,10.99,364911
ZOUJAJ,20160204,19.45,19.45,18.8,18.83,254708
SAAC,20160204,8.1,8.35,8.05,8.24,2621088
ALCO,20160204,11.5,11.65,11.25,11.29,1870254
FIPCO,20160204,33.2,33.9,33.2,33.22,639712
SISCO,20160204,12.25,12.25,11.95,11.98,842600
APC,20160204,9.1,9.15,8.85,8.85,1960386
NAMA,20160204,5.65,5.8,5.5,5.52,2546419
NMMCC,20160204,21.2,21.55,20.95,21.26,1295106
SCCO,20160204,51.75,52.25,51,51.33,138934
ZIIC,20160204,28.2,28.4,28,28.15,521933
SIIG,20160204,11.85,11.9,11.15,11.29,2430818
ARCCO,20160204,48.2,49.2,48.1,48.2,195595
YACCO,20160204,29,30,29,29.25,522303
SACCO,20160204,59,61,59,60.47,122729
QACCO,20160204,67.5,68.25,65,65.25,182344
SOCCO,20160204,74.5,75,72.75,73.52,43668
YNCCO,20160204,44.1,44.5,43.9,44.13,529555
EACCO,20160204,31.2,31.3,30.8,31.04,436621
TACCO,20160204,14.45,14.85,14.45,14.45,104020
DUR,20160204,23.9,24.1,23.1,23.26,573918
SRECO,20160204,18,18.2,17.4,17.47,726449
BAHRI,20160204,38.2,38.4,37.5,37.54,1907778
SAPTCO,20160204,11.6,11.8,11.3,11.31,2729538
SASCO,20160204,16.1,16.6,15.65,15.7,2213995
ANAAM,20160204,16.2,17.35,16.15,17.35,1876312
TAPRCO,20160204,29.5,32.2,27.5,28.62,7608915
ATTMCO,20160204,20.9,21.15,20.8,20.85,138705
TIRECO,20160204,33,33.5,33,33.04,144881
MCDCO,20160204,87.5,87.5,86,86.25,19338
SLTCO,20160204,56.5,57,52.25,52.57,2684960
ABDICO,20160204,13.5,13.5,13.5,13.5,0
SIECO,20160204,30.2,31.1,29.9,30.48,1468299
ADCO,20160204,17.75,17.9,17,17.12,3217316
THIMAR,20160204,33.5,34.5,33.2,33.76,2974703
TECO,20160204,36.2,38.6,35.7,38.59,3785369
AHFCO,20160204,13.15,13.15,12.75,12.78,368259
JARIR,20160204,132.25,137.25,129.75,134.45,158914
SECO,20160204,14.15,14.3,14,14.03,1326792
STC,20160204,62.75,63.25,62.75,62.98,831013
NADEC,20160204,18.95,19.5,18.8,18.9,1489381
QAACO,20160204,10.1,10.3,9.95,10.03,2375384
TAACO,20160204,9.7,9.85,9.65,9.71,1212352
SFICO,20160204,13.6,14,13.1,13.47,2901171
ASACO,20160204,37.2,39.1,37.2,37.79,1968849
JADCO,20160204,23.1,23.95,22.9,23.19,524295
BISACO,20160204,77.5,77.5,77.5,77.5,0
GIZACO,20160204,11.9,12.15,11.75,11.8,3089742
SABIC,20160204,70.75,71,67.25,67.39,9360080
NIC,20160204,8.5,8.8,8.5,8.63,1456987
NCB,20160204,41.2,41.5,40.5,40.56,721600
SPCO,20160204,8.2,8.25,8.05,8.09,4922151
EEC,20160204,23.9,24.1,23.75,23.85,1066858
TAWUNIYA,20160204,75.25,77,75,75.3,244274
ALBILAD,20160204,23.65,24,23.45,23.47,770708
SADAFCO,20160204,118.75,120.5,118,119.59,79423
ALMARAI,20160204,68.25,69.25,68,68.92,135238
SRMG,20160204,47.8,48.9,46,46.63,1192519
SIPCHEM,20160204,11.25,11.3,10.95,10.99,1019370
YANSAB,20160204,30.4,30.5,29.7,29.87,920318
ALDREES,20160204,34.5,34.9,34.3,34.5,557978
ALABDULLATIF,20160204,18.15,18.3,17.9,17.98,2508071
MAADEN,20160204,30.3,30.4,29.7,29.91,2099636
EMAAR.TASI,20160204,13.2,13.4,13.05,13.12,5854693
ALINMA,20160204,13.65,13.75,13.2,13.25,66364489
SPM,20160204,13.95,14.3,13.85,13.92,2122561
HOKAIR,20160204,47.7,48.6,47,47.19,290581
RSH,20160204,19.6,19.8,19.3,19.43,421821
ALTAYYAR,20160204,43.6,44.2,42.3,42.71,3639934
HB,20160204,64.75,65.25,64,64.2,39855
CHEMANOL,20160204,5.6,5.6,5.5,5.5,2798575
ALOTHAIM,20160204,78.5,79.5,77.5,78.17,110686
BABTAIN,20160204,23.8,24,23.05,23.23,465151
APPC,20160204,36.4,36.7,35.7,35.73,608530
ACIG,20160204,13.1,13.3,12.8,12.86,1304667
JABALOMAR,20160204,46.5,46.5,45.3,45.54,1568953
MEDGULF,20160204,17.75,18.75,17.45,17.81,4060670
WALAA,20160204,9.3,9.3,8.85,8.91,1268856
MALATH,20160204,14.85,15.1,14.35,14.53,5232688
SAUDIRE,20160204,6.3,6.35,6.1,6.15,1926556
ALLIANZSF,20160204,35.4,35.5,34.6,34.71,141828
ASHIELD,20160204,21.65,21.8,21.3,21.35,1035752
SABBTKFL,20160204,23.05,23.3,22.75,22.82,1405261
SALAMA,20160204,9.95,10.15,9.6,9.68,1021898
KAYAN,20160204,5.2,5.25,5,5.04,23160597
SAGRINSURANCE,20160204,27.7,28.2,27.3,27.72,1081168
SVCP,20160204,76.5,76.5,75.5,75.76,39495
TRADEUNION,20160204,13.65,14.55,13.5,14.13,2726879
SANAD,20160204,15.23,15.23,15.23,15.23,0
WAFAINSURANCE,20160204,6.9,6.9,6.7,6.71,1599974
GUCIC,20160204,9,9.1,8.75,8.86,1246805
ATC,20160204,39.9,40,39.2,39.28,105571
SAICO,20160204,15.7,16.3,15.3,15.45,1525058
AL-AHLIA,20160204,5.85,6,5.7,5.79,1565285
KINGDOM,20160204,11.4,11.4,11.15,11.19,481994
SPPC,20160204,22.5,23,21.55,21.79,4332976
BUDGET,20160204,36.4,36.5,36,36.09,136282
GULFGENERAL,20160204,13.4,13.7,13.15,13.3,1076049
BUPA,20160204,116,118,115.5,116.17,98129
AICC,20160204,6.95,6.95,6.55,6.58,2077068
ALKHALEEJTRNG,20160204,23.3,23.4,22.8,22.87,448253
MESC,20160204,7.3,7.35,7.15,7.19,1422051
PETRORABIGH,20160204,9.95,10,9.65,9.68,2685261
ZAIN.TASI,20160204,6.05,6.05,5.9,5.93,4211715
DARALARKAN,20160204,5,5.05,4.85,4.89,29611668
NAJRANCEM,20160204,13.25,13.25,12.7,12.78,3173414
JOUFCMNT,20160204,8.6,8.65,8.4,8.46,4112698
DALLAHHEALTH,20160204,67.5,71,67.5,70.26,127498
KEC,20160204,11.75,12.05,11.5,11.55,10914379
