"Index","Open","High","Low","Close","Volume"
2001-06-19,1674,1694.4,1674,1683,0
2001-06-20,1683.5,1686.2,1681.1,1683.1,0
2001-06-21,1683.5,1686.2,1681.1,1683.1,0
2001-06-22,1683.5,1686.2,1681.1,1683.1,0
2001-06-23,1684.4,1693.9,1683.1,1693.6,0
2001-06-24,1694,1695.3,1664.4,1666.5,0
2001-06-26,1685.4,1696.9,1685.4,1687.8,0
2001-06-27,1688.5,1689.5,1681.6,1681.8,0
2001-06-30,1687.3,1689.5,1674.1,1676.6,0
2001-07-01,1684.8,1684.8,1676.7,1683,0
2001-07-03,1695.9,1697.6,1685.3,1686.2,0
2001-07-04,1685.8,1708.4,1685.8,1705.9,0
2001-07-07,1705.9,1735.1,1705.9,1733.7,0
2001-07-08,1736.3,1740.7,1728.7,1730.4,0
2001-07-10,1745.5,1757.2,1744.8,1756.6,0
2001-07-11,1757,1765.5,1757,1761.2,0
2001-07-14,1761.2,1761.2,1750.6,1756.1,0
2001-07-15,1756.2,1762.9,1738.9,1740.8,0
2001-07-17,1722,1729.9,1717.9,1726.7,0
2001-07-18,1726.9,1728.2,1693.5,1694.5,0
2001-08-11,1698.7,1699.9,1696.2,1699.7,0
2001-08-21,1763.1,1769.4,1756.9,1762.3,0
2001-08-25,1787.3,1800.4,1787.3,1797.3,0
2001-08-27,1807.3,1810.6,1802.3,1803.5,0
2001-08-28,1804.3,1808.5,1802.4,1806.8,0
2001-08-29,1805.8,1805.8,1791.3,1793.4,0
2001-09-01,1793.1,1793.1,1778.9,1779.9,0
2001-09-03,1792.1,1794,1786.7,1788.8,0
2001-09-15,1772.8,1772.8,1685.6,1690.1,0
2001-09-16,1674.2,1674.2,1623.4,1626.8,0
2001-09-17,1631.2,1640.5,1607.6,1627,0
2001-09-18,1636.1,1693.4,1636.1,1690.8,0
2001-09-19,1693.6,1704.1,1680.3,1684.6,0
2001-09-22,1666.6,1666.6,1614.1,1620.6,0
2001-09-23,1619.7,1635.8,1619.7,1630.7,0
2001-09-25,1659.9,1662.4,1622.8,1625.3,0
2001-09-26,1628.1,1633,1607.7,1611,0
2001-09-29,1612.4,1620.8,1610.6,1612.5,0
2001-09-30,1612.3,1612.3,1584.3,1599.9,0
2001-10-01,1598.8,1598.8,1581.3,1583,0
2001-10-02,1582.8,1607.9,1582.8,1606.1,0
2001-10-06,1597.7,1610.9,1597.7,1608.7,0
2001-10-07,1607.7,1607.7,1598.9,1602.5,0
2001-10-08,1600.5,1600.5,1569.1,1579,0
2001-10-09,1578.7,1588.3,1578.2,1587.8,0
2001-10-10,1587.8,1593.3,1586,1589.9,0
2001-10-14,1619.1,1622.4,1607.1,1608.7,0
2001-10-21,1625.6,1640.7,1625.6,1640.2,0
2001-10-22,1643.1,1651,1643.1,1645.6,0
2001-10-23,1648.4,1655.1,1647,1653.7,0
2001-10-24,1653.9,1654.9,1649,1650.5,0
2001-10-27,1651.6,1654.8,1650.9,1651.8,0
2001-10-28,1651.8,1661.7,1651.8,1660.1,0
2001-10-29,1661.2,1664,1659,1662.5,0
2001-10-30,1662.5,1671.4,1662.5,1667.5,0
2001-10-31,1667.4,1667.4,1655.2,1659.7,0
2001-11-03,1659.4,1659.4,1645.8,1647,0
2001-11-04,1645.5,1645.7,1631.7,1636.8,0
2001-11-05,1645.5,1645.7,1631.7,1636.8,0
2001-11-06,1636.5,1636.5,1633.6,1635.8,0
2001-11-07,1635.1,1635.1,1627.1,1628.2,0
2001-11-10,1627.6,1629.2,1626.3,1627.4,0
2001-11-11,1627.4,1627.4,1611.8,1612.8,0
2001-11-13,1613.8,1613.8,1608.4,1613.7,0
2001-11-14,1616.9,1632.8,1616.9,1629,0
2001-11-17,1629,1629,1624.8,1625.5,0
2001-11-18,1625.9,1627,1625.4,1626.1,0
2001-11-19,1621.9,1624.9,1621.4,1623.7,0
2001-11-20,1619.5,1620.7,1618.8,1620.4,0
2001-11-21,1623.8,1632.3,1623.6,1631.9,0
2001-11-25,1648.1,1648.5,1638.8,1639,0
2001-11-28,1657.8,1660.1,1656.6,1659.2,0
2001-12-01,1657.8,1660.1,1655.5,1656.7,0
2001-12-02,1661.2,1668,1661,1667.2,0
2001-12-03,1664.4,1670.3,1664.4,1670,0
2001-12-04,1670.9,1670.9,1667.8,1669.1,0
2001-12-05,1666.4,1682,1666.4,1680.7,0
2001-12-09,1694.4,1694.9,1684.7,1684.9,0
2001-12-10,1683.9,1683.9,1677.9,1681.7,0
2001-12-11,1681.3,1687.7,1681.3,1686.6,0
2001-12-12,1686.3,1688,1685.4,1685.5,0
2001-12-15,1684.6,1686,1684.2,1685.3,0
2001-12-16,1684.6,1690.7,1684.2,1690.1,0
2001-12-17,1684.6,1690.7,1684.2,1690.1,0
2001-12-18,1684.6,1690.7,1684.2,1690.1,0
2001-12-19,1690.5,1709,1690.5,1707.9,0
2001-12-23,1713,1713.1,1706.9,1712.2,0
2001-12-24,1712.2,1714.3,1709,1714.1,0
2001-12-25,1714.1,1715.4,1692.2,1698.2,0
2001-12-29,1713.7,1714.4,1707.5,1708.4,0
2001-12-30,1708.4,1711.1,1706.7,1710,0
2001-12-31,1710.8,1711.2,1703.5,1709.4,0
2002-01-01,1709.4,1717.4,1707,1716.9,0
2002-01-02,1719.3,1726.9,1719.3,1721.4,0
2002-01-05,1719.3,1726.9,1719.3,1721.4,0
2002-01-07,1744,1747,1741.4,1745.6,0
2002-01-08,1744.5,1762,1742,1761.7,0
2002-01-09,1762,1765.9,1757.8,1764.2,0
2002-01-12,1764.7,1768.3,1757,1759.1,0
2002-01-13,1758.9,1768.6,1753.1,1768.3,0
2002-01-14,1768,1768,1762.5,1765,0
2002-01-15,1768,1768,1762.5,1765,0
2002-01-16,1768,1768,1762.5,1765,0
2002-01-19,1765,1766.9,1764.9,1765.9,0
2002-01-20,1766.4,1766.7,1760,1763.2,0
2002-01-21,1761.9,1762.2,1751.1,1759.4,0
2002-01-27,1773.6,1774,1756.9,1758.4,0
2002-01-29,1763.2,1763.3,1753.5,1760.1,0
2002-01-30,1759.9,1759.9,1753.9,1755.9,0
2002-02-02,1755.9,1758.2,1749.5,1757.2,0
2002-02-03,1757.5,1761.7,1757.5,1761.3,0
2002-02-04,1761.2,1761.7,1753.5,1753.6,0
2002-02-05,1754,1756.2,1751.8,1755.3,0
2002-02-06,1754.5,1756.2,1746.9,1748.7,0
2002-02-07,1896.2,1912.7,1895,1907.3,0
2002-02-09,1749.9,1752.3,1745.2,1745.8,0
2002-02-10,1745.6,1746.7,1742.3,1745.1,0
2002-02-11,1745.5,1746.4,1738.6,1739.4,0
2002-02-12,1739.7,1739.7,1731.2,1732,0
2002-02-13,1732.6,1737.4,1732.4,1736.1,0
2002-02-17,1741.1,1745.9,1740.1,1745.6,0
2002-02-20,1746.7,1764.8,1746.7,1764.2,0
2002-02-23,1746.7,1764.8,1746.7,1764.2,0
2002-02-24,1746.7,1764.8,1746.7,1764.2,0
2002-02-25,1746.7,1764.8,1746.7,1764.2,0
2002-02-26,1746.7,1764.8,1746.7,1764.2,0
2002-02-27,1746.7,1764.8,1746.7,1764.2,0
2002-03-03,1782.8,1784.5,1774.7,1775.9,0
2002-03-06,1798.5,1800.7,1789.8,1790.2,0
2002-03-09,1794.8,1806.8,1794.3,1805.7,0
2002-03-10,1804.8,1812.1,1804.2,1811.5,0
2002-03-11,1811,1815,1809.5,1813.4,0
2002-03-12,1815.8,1816,1797.3,1802.3,0
2002-03-13,1797.4,1813.5,1795.9,1812.2,0
2002-03-16,1797.4,1813.5,1795.9,1812.2,0
2002-03-18,1825.2,1825.2,1819.9,1825.1,0
2002-03-20,1829.8,1833.2,1829,1832.8,0
2002-03-23,1834.1,1837.7,1833.9,1836,0
2002-03-24,1836.1,1837.4,1832.6,1835.5,0
2002-03-25,1836.5,1846.8,1836.3,1845.8,0
2002-03-30,1865.5,1869,1860.2,1862.3,0
2002-03-31,1862.6,1871,1860.8,1868,0
2002-04-01,1867.9,1875.9,1867.9,1875.8,0
2002-04-03,1889.6,1898.5,1882.9,1896.2,0
2002-04-07,1908,1920,1908,1913,0
2002-04-09,1927.2,1929.8,1920.2,1924.2,0
2002-04-10,1925.1,1943.9,1925.1,1943.5,0
2002-04-13,1947,1965.2,1947,1961.1,0
2002-04-14,1960.5,1960.5,1946.5,1953.1,0
2002-04-16,1975.3,1981.1,1957.4,1959.2,0
2002-04-17,1958.4,1964.9,1955.7,1962.1,0
2002-04-21,1996.7,2000.3,1989.3,1991.7,0
2002-04-22,1992.2,2010.7,1991.1,2006.9,0
2002-04-23,2009.2,2019.2,2002,2004.1,0
2002-04-27,2022.1,2040.6,2022.1,2040.4,0
2002-04-28,2043.7,2050.8,2041.9,2043.9,0
2002-04-29,2046.9,2050.5,2025.4,2027.9,0
2002-05-04,2042.5,2058.6,2042.5,2058.2,0
2002-05-05,2061.6,2062,2042.5,2046,0
2002-05-06,2047,2048.2,2042.5,2045.3,0
2002-05-07,2045,2045,2023.6,2024.9,0
