"Index","Open","High","Low","Close","Volume"
1998-01-03,4929.07,4929.07,4929.07,4929.07,1655872
1998-01-04,4994.63,4994.63,4994.63,4994.63,1589479
1998-01-05,5022.16,5022.16,5022.16,5022.16,1629900
1998-01-06,4976.91,4976.91,4976.91,4976.91,1682794
1998-01-07,4920.68,4920.68,4920.68,4920.68,1122544
1998-01-10,4943.56,4943.56,4943.56,4943.56,1360552
1998-01-11,4939.54,4939.54,4939.54,4939.54,1143972
1998-01-12,4893.63,4893.63,4893.63,4893.63,1442613
1998-01-13,4816.78,4816.78,4816.78,4816.78,1138121
1998-01-14,4874.14,4874.14,4874.14,4874.14,1195771
1998-01-17,4919.1,4919.1,4919.1,4919.1,1066864
1998-01-18,4903.73,4903.73,4903.73,4903.73,832200
1998-01-19,4881.81,4881.81,4881.81,4881.81,885041
1998-01-20,4895.47,4895.47,4895.47,4895.47,819336
1998-01-21,4931.18,4931.18,4931.18,4931.18,835889
1998-01-24,4946,4946,4946,4946,1131088
1998-01-25,4982.22,4982.22,4982.22,4982.22,977245
1998-01-26,5024.06,5024.06,5024.06,5024.06,1651315
1998-01-27,5028.74,5028.74,5028.74,5028.74,1046501
1998-02-01,5047.95,5047.95,5047.95,5047.95,1093809
1998-02-02,5093.39,5093.39,5093.39,5093.39,1504783
1998-02-03,5098.37,5098.37,5098.37,5098.37,1672010
1998-02-04,5068.36,5068.36,5068.36,5068.36,2013583
1998-02-07,5057.19,5057.19,5057.19,5057.19,1777047
1998-02-08,5028.71,5028.71,5028.71,5028.71,1059541
1998-02-09,4971.01,4971.01,4971.01,4971.01,1065035
1998-02-10,4986.9,4986.9,4986.9,4986.9,842780
1998-02-11,4999.6,4999.6,4999.6,4999.6,1061185
1998-02-14,4997.77,4997.77,4997.77,4997.77,1194194
1998-02-15,4973.34,4973.34,4973.34,4973.34,985117
1998-02-16,4960.28,4960.28,4960.28,4960.28,1131820
1998-02-17,4920.02,4920.02,4920.02,4920.02,1368299
1998-02-18,4916.41,4916.41,4916.41,4916.41,1459909
1998-02-21,4892.72,4892.72,4892.72,4892.72,1263345
1998-02-22,4761.31,4761.31,4761.31,4761.31,1003853
1998-02-23,4770.3,4770.3,4770.3,4770.3,896506
1998-02-24,4827.3,4827.3,4827.3,4827.3,951856
1998-02-25,4808.14,4808.14,4808.14,4808.14,692941
1998-02-28,4727.04,4727.04,4727.04,4727.04,1047425
1998-03-01,4657.81,4657.81,4657.81,4657.81,516668
1998-03-02,4610.17,4610.17,4610.17,4610.17,324048
1998-03-03,4481.07,4481.07,4481.07,4481.07,552641
1998-03-04,4560.58,4560.58,4560.58,4560.58,711638
1998-03-07,4566.62,4566.62,4566.62,4566.62,817822
1998-03-08,4482.44,4482.44,4482.44,4482.44,488025
1998-03-09,4375.83,4375.83,4375.83,4375.83,438302
1998-03-10,4346.8,4346.8,4346.8,4346.8,681343
1998-03-11,4313.17,4313.17,4313.17,4313.17,1011050
1998-03-14,4201.75,4201.75,4201.75,4201.75,705139
1998-03-15,4039,4039,4039,4039,1356008
1998-03-16,4197.49,4197.49,4197.49,4197.49,611783
1998-03-17,4354.2,4354.2,4354.2,4354.2,871348
1998-03-18,4483.89,4483.89,4483.89,4483.89,1504895
1998-03-21,4573.48,4573.48,4573.48,4573.48,1683099
1998-03-22,4561.9,4561.9,4561.9,4561.9,1164748
1998-03-23,4490.18,4490.18,4490.18,4490.18,1136777
1998-03-24,4528.36,4528.36,4528.36,4528.36,780773
1998-03-25,4485.6,4485.6,4485.6,4485.6,704314
1998-03-28,4437.94,4437.94,4437.94,4437.94,847169
1998-03-29,4347.57,4347.57,4347.57,4347.57,702315
1998-03-30,4326.08,4326.08,4326.08,4326.08,916485
1998-03-31,4251,4251,4251,4251,659107
1998-04-01,4153.82,4153.82,4153.82,4153.82,621326
1998-04-04,4273.99,4273.99,4273.99,4273.99,1153542
1998-04-05,4340.86,4340.86,4340.86,4340.86,1104073
1998-04-11,4262.62,4262.62,4262.62,4262.62,257747
1998-04-12,4247.75,4247.75,4247.75,4247.75,453835
1998-04-13,4240.72,4240.72,4240.72,4240.72,476039
1998-04-14,4191.05,4191.05,4191.05,4191.05,662602
1998-04-15,4125.16,4125.16,4125.16,4125.16,390452
1998-04-18,4128.47,4128.47,4128.47,4128.47,187029
1998-04-19,4062.37,4062.37,4062.37,4062.37,743225
1998-04-20,3958.37,3958.37,3958.37,3958.37,403321
1998-04-21,3864.34,3864.34,3864.34,3864.34,644384
1998-04-22,3848.23,3848.23,3848.23,3848.23,647055
1998-04-25,3951.02,3951.02,3951.02,3951.02,446013
1998-04-26,4045.12,4045.12,4045.12,4045.12,814302
1998-04-27,4043.53,4043.53,4043.53,4043.53,765519
1998-04-29,4054.09,4054.09,4054.09,4054.09,404614
1998-05-02,4036.79,4036.79,4036.79,4036.79,409123
1998-05-03,4004.75,4004.75,4004.75,4004.75,670022
1998-05-04,3971.48,3971.48,3971.48,3971.48,322794
1998-05-05,3918.35,3918.35,3918.35,3918.35,247335
1998-05-06,3946.95,3946.95,3946.95,3946.95,1273660
1998-05-09,3931.94,3931.94,3931.94,3931.94,559056
1998-05-10,3888.75,3888.75,3888.75,3888.75,640107
1998-05-11,3858.86,3858.86,3858.86,3858.86,711895
1998-05-12,3877.92,3877.92,3877.92,3877.92,474418
1998-05-13,3870.74,3870.74,3870.74,3870.74,678270
1998-05-16,3825.08,3825.08,3825.08,3825.08,283932
1998-05-17,3787.74,3787.74,3787.74,3787.74,162080
1998-05-18,3736.89,3736.89,3736.89,3736.89,305597
1998-05-19,3704.83,3704.83,3704.83,3704.83,208208
1998-05-20,3672.76,3672.76,3672.76,3672.76,407192
1998-05-23,3674.79,3674.79,3674.79,3674.79,557627
1998-05-24,3704.94,3704.94,3704.94,3704.94,311976
1998-05-25,3729.15,3729.15,3729.15,3729.15,562849
1998-05-26,3747.44,3747.44,3747.44,3747.44,662856
1998-05-27,3822.53,3822.53,3822.53,3822.53,607703
1998-05-30,3874.07,3874.07,3874.07,3874.07,1258604
1998-05-31,3831.71,3831.71,3831.71,3831.71,476642
1998-06-01,3800.9,3800.9,3800.9,3800.9,235004
1998-06-02,3781.34,3781.34,3781.34,3781.34,373279
1998-06-03,3744.12,3744.12,3744.12,3744.12,404931
1998-06-06,3707.73,3707.73,3707.73,3707.73,630380
1998-06-07,3656.99,3656.99,3656.99,3656.99,213769
1998-06-08,3623.53,3623.53,3623.53,3623.53,227129
1998-06-09,3595.31,3595.31,3595.31,3595.31,479777
1998-06-10,3594.51,3594.51,3594.51,3594.51,978877
1998-06-13,3606.82,3606.82,3606.82,3606.82,625608
1998-06-14,3608.2,3608.2,3608.2,3608.2,1036112
1998-06-15,3577.35,3577.35,3577.35,3577.35,832818
1998-06-16,3552.36,3552.36,3552.36,3552.36,795793
1998-06-17,3524.82,3524.82,3524.82,3524.82,554010
1998-06-20,3495.41,3495.41,3495.41,3495.41,589043
1998-06-21,3473.02,3473.02,3473.02,3473.02,417612
1998-06-22,3392.67,3392.67,3392.67,3392.67,1606856
1998-06-23,3354.98,3354.98,3354.98,3354.98,965039
1998-06-24,3365.4,3365.4,3365.4,3365.4,451303
1998-06-27,3387.84,3387.84,3387.84,3387.84,451861
1998-06-28,3381.13,3381.13,3381.13,3381.13,230973
1998-06-29,3391.72,3391.72,3391.72,3391.72,233494
1998-06-30,3423.95,3423.95,3423.95,3423.95,409985
1998-07-01,3481.24,3481.24,3481.24,3481.24,376586
1998-07-04,3494.24,3494.24,3494.24,3494.24,681158
