"Index","Open","High","Low","Close","Volume"
1998-08-10,1323.52,1323.52,1323.52,1323.52,3454
1998-08-11,1326.37,1326.37,1326.37,1326.37,7219
1998-08-12,1332.09,1332.09,1332.09,1332.09,2398
1998-08-13,1343.5,1343.5,1343.5,1343.5,2756
1998-08-16,1359.02,1359.02,1359.02,1359.02,6030
1998-08-17,1385.33,1385.33,1385.33,1385.33,9067
1998-08-18,1381.51,1381.51,1381.51,1381.51,15453
1998-08-19,1369.81,1369.81,1369.81,1369.81,30943
1998-08-20,1369.28,1369.28,1369.28,1369.28,5343
1998-08-23,1377.86,1377.86,1377.86,1377.86,15137
1998-08-24,1383.68,1383.68,1383.68,1383.68,16040
1998-08-25,1396.34,1396.34,1396.34,1396.34,15139
1998-08-26,1413.19,1413.19,1413.19,1413.19,12547
1998-08-27,1418.76,1418.76,1418.76,1418.76,23544
1998-08-30,1421.77,1421.77,1421.77,1421.77,13147
1998-08-31,1430.38,1430.38,1430.38,1430.38,20927
1998-09-01,1416.16,1416.16,1416.16,1416.16,0
1998-09-02,1417.39,1417.39,1417.39,1417.39,38884
1998-09-06,1430.86,1430.86,1430.86,1430.86,18949
1998-09-07,1433.99,1433.99,1433.99,1433.99,14306
1998-09-08,1426.97,1426.97,1426.97,1426.97,20462
1998-09-09,1412.11,1412.11,1412.11,1412.11,18966
1998-09-10,1413.97,1413.97,1413.97,1413.97,4639
1998-09-13,1414.09,1414.09,1414.09,1414.09,10053
1998-09-14,1415.46,1415.46,1415.46,1415.46,39112
1998-09-15,1426.38,1426.38,1426.38,1426.38,17146
1998-09-16,1439.68,1439.68,1439.68,1439.68,32322
1998-09-17,1440.85,1440.85,1440.85,1440.85,23754
1998-09-20,1437.07,1437.07,1437.07,1437.07,43127
1998-09-21,1439.09,1439.09,1439.09,1439.09,48455
1998-09-22,1439.17,1439.17,1439.17,1439.17,41895
1998-09-23,1437.05,1437.05,1437.05,1437.05,39882
1998-09-24,1433.34,1433.34,1433.34,1433.34,20850
1998-09-27,1415.77,1415.77,1415.77,1415.77,39724
1998-09-28,1410.82,1410.82,1410.82,1410.82,28495
1998-09-29,1409.86,1409.86,1409.86,1409.86,27497
1998-09-30,1413.16,1413.16,1413.16,1413.16,27425
1998-10-01,1410.55,1410.55,1410.55,1410.55,5776
1998-10-04,1397.71,1397.71,1397.71,1397.71,12683
1998-10-05,1387.74,1387.74,1387.74,1387.74,19441
1998-10-06,1382.4,1382.4,1382.4,1382.4,30970
1998-10-07,1378.16,1378.16,1378.16,1378.16,33504
1998-10-08,1372.9,1372.9,1372.9,1372.9,76352
1998-10-11,1361.67,1361.67,1361.67,1361.67,26309
1998-10-12,1362.71,1362.71,1362.71,1362.71,26900
1998-10-13,1364.42,1364.42,1364.42,1364.42,30256
1998-10-14,1364.03,1364.03,1364.03,1364.03,9274
1998-10-15,1369.46,1369.46,1369.46,1369.46,7455
1998-10-18,1365.55,1365.55,1365.55,1365.55,12307
1998-10-19,1368.6,1368.6,1368.6,1368.6,20257
1998-10-20,1366.03,1366.03,1366.03,1366.03,6007
1998-10-21,1373.53,1373.53,1373.53,1373.53,20950
1998-10-22,1362.82,1362.82,1362.82,1362.82,16113
1998-10-25,1364.28,1364.28,1364.28,1364.28,11749
1998-10-26,1358.34,1358.34,1358.34,1358.34,5643
1998-10-27,1352.98,1352.98,1352.98,1352.98,16451
1998-10-28,1337.12,1337.12,1337.12,1337.12,5125
1998-10-29,1333.05,1333.05,1333.05,1333.05,7029
1998-11-01,1321.6,1321.6,1321.6,1321.6,12506
1998-11-02,1318.73,1318.73,1318.73,1318.73,15310
1998-11-03,1316.38,1316.38,1316.38,1316.38,3313
1998-11-04,1312.59,1312.59,1312.59,1312.59,33963
1998-11-05,1310.16,1310.16,1310.16,1310.16,5274
1998-11-08,1310.21,1310.21,1310.21,1310.21,10132
1998-11-09,1307.29,1307.29,1307.29,1307.29,3654
1998-11-10,1305.7,1305.7,1305.7,1305.7,6116
1998-11-11,1303.07,1303.07,1303.07,1303.07,10377
1998-11-12,1297.71,1297.71,1297.71,1297.71,22520
1998-11-15,1298.75,1298.75,1298.75,1298.75,7200
1998-11-16,1301.77,1301.77,1301.77,1301.77,12435
1998-11-17,1299.61,1299.61,1299.61,1299.61,9122
1998-11-18,1286.22,1286.22,1286.22,1286.22,17156
1998-11-19,1284.55,1284.55,1284.55,1284.55,721
1998-11-22,1283.93,1283.93,1283.93,1283.93,14550
1998-11-23,1277.58,1277.58,1277.58,1277.58,9448
1998-11-24,1275.69,1275.69,1275.69,1275.69,5153
1998-11-25,1266.95,1266.95,1266.95,1266.95,11634
1998-11-26,1262.63,1262.63,1262.63,1262.63,16991
1998-11-29,1281.06,1281.06,1281.06,1281.06,8563
1998-11-30,1317,1317,1317,1317,10223
1998-12-01,1328.12,1328.12,1328.12,1328.12,13560
1998-12-02,1351.3,1351.3,1351.3,1351.3,16112
1998-12-03,1350.51,1350.51,1350.51,1350.51,12420
1998-12-06,1342.39,1342.39,1342.39,1342.39,9375
1998-12-07,1343.09,1343.09,1343.09,1343.09,5753
1998-12-08,1345.72,1345.72,1345.72,1345.72,35798
1998-12-09,1346.25,1346.25,1346.25,1346.25,27414
1998-12-10,1343.16,1343.16,1343.16,1343.16,39235
1998-12-13,1352.02,1352.02,1352.02,1352.02,98275
1998-12-14,1355.54,1355.54,1355.54,1355.54,23463
