<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
ADX,20160114,4020.22,4020.22,3943.37,3955.1,75057312
ADX,20160113,4025.26,4072.6,4007.71,4020.22,52762751
ADX,20160112,4085.53,4085.53,4012.95,4025.26,80450139
ADX,20160111,4141.49,4147.79,4068.69,4085.53,82238061
ADX,20160110,4134.97,4166.87,4131.53,4141.49,51681248
ADX,20160107,4269.94,4269.94,4128.08,4134.97,78283472
ADX,20160106,4283.55,4283.55,4255.43,4269.94,65221606
ADX,20160105,4215.58,4283.55,4204.25,4283.55,40104950
ADX,20160104,4271.57,4271.57,4215.58,4215.58,74887422
ADX,20160103,4307.26,4307.26,4262.55,4271.57,53110847
ADX,20151231,4276.14,4313.78,4266.65,4307.26,190636667
ADX,20151230,4296.16,4300.98,4258.18,4276.14,88835899
ADX,20151229,4252.18,4302.57,4209.25,4296.16,49415620
ADX,20151228,4246.52,4255.55,4213.72,4252.18,60893981
ADX,20151227,4241.73,4253.94,4228.68,4246.52,54304873
ADX,20151223,4209.15,4242.9,4206.01,4241.73,188590052
ADX,20151222,4191.25,4215.41,4174.9,4209.15,147504198
ADX,20151221,4155.71,4191.25,4126.19,4191.25,137038116
ADX,20151220,4148.29,4156.63,4103.42,4155.71,203767411
ADX,20151217,4065.14,4158.25,4022.14,4148.29,87350692
ADX,20151216,4014.92,4065.14,4012.27,4065.14,157452645
ADX,20151215,4026.23,4032.66,4000.77,4014.92,69097743
ADX,20151214,4000.71,4046.01,3994.35,4026.23,103069737
ADX,20151213,4086.33,4086.33,3983.89,4000.71,53576318
ADX,20151210,4083.86,4106.28,4077.19,4086.33,94009903
ADX,20151209,4110.26,4142.43,4081.32,4083.86,73144506
ADX,20151208,4209.69,4210.16,4109.93,4110.26,103103131
ADX,20151207,4198.87,4218.08,4160.49,4209.69,73126116
ADX,20151206,4236.39,4239.87,4187.49,4198.87,114911878
ADX,20151130,4172.74,4274.53,4171.59,4236.39,276429241
ADX,20151129,4219.86,4219.86,4171.94,4172.74,113623933
ADX,20151126,4230.72,4230.72,4230.72,4216.26,24449647
ADX,20151125,4218.47,4231.65,4208.15,4230.72,56675324
ADX,20151124,4250.38,4250.38,4218.47,4218.47,77888694
ADX,20151123,4250.82,4263.79,4240.24,4250.38,112833414
ADX,20151122,4260.06,4272.84,4238.71,4250.82,68172357
ADX,20151119,4196.85,4260.44,4196.85,4260.06,93896679
ADX,20151118,4197.1,4199.97,4164.61,4196.85,42359851
ADX,20151117,4135.99,4201.72,4132.92,4197.1,93403724
ADX,20151116,4096.58,4150.5,4096.56,4135.99,75410066
ADX,20151115,4200.16,4200.16,4085.17,4096.58,115590630
ADX,20151112,4211.69,4216.53,4186.44,4200.16,77478562
ADX,20151111,4199.03,4225.75,4173.35,4211.69,64653779
ADX,20151110,4225.47,4230.87,4169.16,4199.03,65675851
ADX,20151109,4193.85,4225.47,4190.38,4225.47,45153029
ADX,20151108,4262.8,4262.8,4184.38,4193.85,45122335
