<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BSE,20160114,1201.56,1205.66,1200.91,1200.91,433269
BSE,20160113,1196.19,1203.13,1196.19,1201.56,5838686
BSE,20160112,1199.36,1199.36,1196.18,1196.18,294602
BSE,20160111,1192.73,1199.36,1191.43,1199.37,1090722
BSE,20160110,1201.62,1201.62,1192.73,1192.73,266720
BSE,20160107,1209.75,1209.75,1201.45,1201.61,1013193
BSE,20160106,1210.03,1210.38,1208.86,1209.75,1169466
BSE,20160105,1213.11,1213.11,1209.54,1210.03,761208
BSE,20160104,1215.89,1216.25,1211.61,1213.11,406089
BSE,20151231,1204.98,1215.89,1204.32,1215.89,3337654
BSE,20151230,1202.43,1204.98,1200.36,1204.98,4623866
BSE,20151229,1204.4,1204.46,1198.86,1202.42,740961
BSE,20151228,1199.26,1204.4,1199.26,1204.4,4146477
BSE,20151227,1198.23,1202.55,1195.43,1199.26,1109182
BSE,20151224,1189.53,1198.23,1185.3,1198.24,1613830
BSE,20151222,1189.78,1190.86,1184.55,1189.53,3372363
BSE,20151221,1194.59,1194.65,1185.5,1189.78,1854077
BSE,20151220,1197.06,1198.08,1187.9,1194.59,880457
BSE,20151215,1206.7,1206.7,1191.3,1197.06,3131870
BSE,20151214,1212.21,1212.21,1202.56,1206.71,1648618
BSE,20151213,1213.73,1213.73,1210.14,1212.21,771488
BSE,20151210,1212.61,1213.73,1210.87,1213.73,685166
BSE,20151209,1207.27,1212.61,1202.96,1212.61,1206973
BSE,20151208,1220.04,1220.04,1207.26,1207.27,1344299
BSE,20151207,1226.87,1226.87,1215.55,1220.05,5250392
BSE,20151206,1227.17,1228.3,1225.32,1226.87,336358
BSE,20151203,1225.24,1227.17,1223.6,1227.17,871061
BSE,20151202,1224.67,1226.24,1224.33,1225.23,623019
BSE,20151201,1232.57,1233.65,1221.56,1224.67,1990637
BSE,20151130,1228.59,1233.32,1225.64,1232.57,3016077
BSE,20151129,1232.76,1232.76,1225.91,1228.59,1300613
BSE,20151126,1231.36,1232.76,1230.42,1232.76,744296
BSE,20151125,1230.54,1231.36,1225.79,1231.36,785957
BSE,20151124,1228.25,1230.69,1228,1230.54,1289024
BSE,20151123,1224.9,1228.25,1220.12,1228.25,4260464
BSE,20151122,1219.21,1225,1219.21,1224.91,631036
BSE,20151119,1217.83,1219.21,1217.13,1219.21,453280
BSE,20151118,1220.21,1220.21,1216.91,1217.84,3275833
BSE,20151117,1218.87,1220.21,1217.02,1220.21,3634522
BSE,20151116,1221.26,1221.6,1218.87,1218.86,3063749
BSE,20151115,1233.92,1233.92,1221.26,1221.27,1117013
BSE,20151112,1232.18,1234.03,1229.71,1233.92,2031011
BSE,20151111,1238.97,1239.68,1232.18,1232.17,1146254
BSE,20151110,1250.72,1250.72,1237.1,1238.97,9459012
BSE,20151109,1246.68,1250.91,1245.7,1250.72,1871162
BSE,20151108,1250.48,1250.48,1246.68,1246.68,1298559
BSE,20151105,1251.19,1251.7,1247.96,1250.48,3681426
BSE,20151104,1259.98,1259.98,1250.3,1251.19,2430649
BSE,20151103,1260.68,1261.94,1257.3,1259.97,1207920
BSE,20151102,1251.27,1260.68,1249.95,1260.69,14847652
BSE,20151101,1250.37,1251.27,1250.15,1251.27,1188926
BSE,20151029,1249.61,1250.37,1243.14,1250.37,3625304
BSE,20151028,1249.35,1249.61,1245.08,1249.05,544782
BSE,20151027,1254.13,1254.13,1245.77,1249.35,226477
BSE,20151022,1248.86,1254.13,1248.86,1254.13,743675
BSE,20151021,1248.9,1252.2,1248.43,1248.87,2945850
BSE,20151020,1247.91,1249.98,1247.91,1248.9,1233450
BSE,20151019,1248.87,1248.87,1240.29,1247.91,997825
BSE,20151018,1257.66,1257.66,1248.28,1248.87,496425
BSE,20151014,1249.34,1257.66,1249.34,1257.66,867949
BSE,20151013,1252.13,1252.47,1249.3,1249.34,959589
BSE,20151012,1254.72,1257.14,1251.06,1252.13,2536692
BSE,20151011,1254.72,1256.17,1249.42,1254.72,1150832
BSE,20151008,1268.53,1268.53,1254.25,1254.72,1648152
BSE,20151007,1272.68,1273.64,1267.7,1268.53,2205179
BSE,20151006,1276.01,1277.95,1271.65,1272.67,2907147
BSE,20151005,1271.42,1276.01,1271.42,1276.01,2613355
BSE,20151004,1276.31,1276.31,1271.42,1271.42,579448
BSE,20151001,1275.89,1276.31,1273.66,1276.31,2173710
BSE,20150930,1275.01,1276.29,1275.01,1275.89,2025220
BSE,20150929,1277.64,1279.1,1274.52,1275.01,4908270
BSE,20150923,1278.49,1278.49,1277.64,1277.64,322512
BSE,20150922,1276.32,1278.49,1276.32,1278.49,3964313
BSE,20150921,1276.53,1277.99,1276.04,1276.32,1527606
BSE,20150920,1283.65,1283.65,1276.53,1276.53,1200696
BSE,20150917,1274.5,1283.65,1274.5,1283.66,511500
BSE,20150916,1275.3,1275.3,1271.82,1274.5,340028
BSE,20150915,1292.29,1292.29,1274.41,1275.3,293100
BSE,20150914,1290.49,1292.29,1290.23,1292.29,213642
BSE,20150913,1290.9,1290.9,1289.93,1290.49,1135420
BSE,20150910,1291.1,1291.27,1287.31,1290.9,760343
BSE,20150909,1292.67,1292.67,1290.54,1291.1,1181605
BSE,20150908,1293.7,1293.7,1289.67,1292.67,749463
BSE,20150907,1296.81,1296.81,1293.36,1293.7,65089258
BSE,20150906,1299.44,1299.6,1291.94,1296.81,490262
BSE,20150903,1298.98,1299.44,1292.28,1299.44,1369557
