<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
DFM,20160114,2921.7,2919.78,2802.4,2815.45,405258611
DFM,20160113,2920.83,2956.63,2916.48,2921.7,417841405
DFM,20160112,2942.24,2941.47,2873.99,2920.83,349177007
DFM,20160111,2963.79,2972.34,2911.73,2942.24,353644724
DFM,20160110,2966.43,2979.63,2952.54,2963.79,163487001
DFM,20160107,3071.62,3068.74,2947.69,2966.43,316948669
DFM,20160106,3078.73,3105.39,3069.83,3071.62,430388582
DFM,20160105,3084.43,3098.97,3062.8,3078.73,323702706
DFM,20160104,3134.98,3134.67,3077.27,3084.43,251824887
DFM,20160103,3151,3150.82,3097.73,3134.98,160011377
DFM,20151231,3150.25,3160.95,3123.86,3151,238525307
DFM,20151230,3134.82,3165.97,3134.17,3150.25,573793914
DFM,20151229,3119.4,3135.53,3078.83,3134.82,437930738
DFM,20151228,3160.92,3163.1,3104.17,3119.4,248904900
DFM,20151227,3137.32,3188.83,3137.32,3160.92,470286743
DFM,20151223,3147.08,3161.97,3111.88,3137.32,559900252
DFM,20151222,3101.19,3173.11,3086.05,3147.08,557053678
DFM,20151221,3026.05,3101.42,3006.7,3101.19,224868781
DFM,20151220,3073.07,3072.11,2979.66,3026.05,169949851
DFM,20151217,2985.85,3073.2,2986.01,3073.07,386048050
DFM,20151216,2919.64,2988.4,2920.6,2985.85,284850654
DFM,20151215,2916,2950.91,2896.93,2919.64,216965683
DFM,20151214,2882.8,2938.15,2878.48,2916,262637191
DFM,20151213,2944.67,2943.71,2851.24,2882.8,227939937
DFM,20151210,3000.95,3031.25,2942.06,2944.67,215022169
DFM,20151209,3010.64,3051.56,2967.39,3000.95,219400125
DFM,20151208,3104.17,3103.21,3010.16,3010.64,213888022
DFM,20151207,3174.34,3174.45,3102.25,3104.17,181390110
DFM,20151206,3204.28,3227.12,3139.4,3174.34,245205194
DFM,20151130,3193.13,3212.7,3151.37,3204.28,193546884
DFM,20151129,3204.11,3206.39,3185.04,3193.13,152252290
DFM,20151126,3214.52,3222.24,3194.01,3204.11,123299232
DFM,20151125,3209.21,3215.29,3170.23,3214.52,165158221
DFM,20151124,3255.14,3262.51,3200.2,3209.21,169182358
DFM,20151123,3289.74,3290.7,3246.47,3255.14,225441989
DFM,20151122,3273.3,3301.43,3274.26,3289.74,285511709
DFM,20151119,3180.77,3273.78,3181.2,3273.3,254886257
DFM,20151118,3189.73,3195.22,3147.16,3180.77,216835772
DFM,20151117,3174.27,3236.93,3175.23,3189.73,370888636
DFM,20151116,3146.21,3196.38,3143.39,3174.27,406096420
DFM,20151115,3265.28,3263.36,3127.96,3146.21,334272595
DFM,20151112,3315.84,3320.53,3264.28,3265.28,264433327
DFM,20151111,3300.19,3317.34,3241.98,3315.84,329112109
DFM,20151110,3380.24,3382.11,3299.07,3300.19,191886373
DFM,20151109,3347.23,3394.37,3338.49,3380.24,231175864
DFM,20151108,3450.89,3450.89,3346.76,3347.23,176395804
DFM,20151105,3426.74,3460.43,3424.52,3450.89,106145810
DFM,20151104,3521.9,3541.46,3426.51,3426.74,272211931
DFM,20151103,3494.65,3533.92,3488.62,3521.9,300912184
DFM,20151102,3430.93,3494.9,3415.88,3494.65,223665021
DFM,20151101,3503.75,3511.64,3403.23,3430.93,182813193
DFM,20151029,3486.8,3528.82,3486.8,3503.75,174207779
DFM,20151028,3518.16,3526.69,3476.63,3486.8,165955528
DFM,20151027,3553.03,3553.03,3493.1,3518.16,182440688
DFM,20151026,3598.78,3600.52,3536.53,3553.03,277812579
DFM,20151025,3588.49,3648.51,3588.49,3598.78,235681725
DFM,20151022,3625.44,3625.84,3576.9,3588.49,147690210
DFM,20151021,3682.52,3682.52,3624.82,3625.44,166836504
DFM,20151020,3704.33,3707.24,3682.05,3682.52,85682365
DFM,20151019,3707.82,3711.25,3686.26,3704.33,124176715
DFM,20151018,3697.68,3719.09,3697.47,3707.82,179627350
DFM,20151014,3712.09,3713.86,3696.16,3697.68,200183554
DFM,20151013,3722.59,3722.59,3686.57,3712.09,305591142
DFM,20151012,3713.42,3723.84,3699.69,3722.59,190047029
DFM,20151011,3706.48,3739.85,3706.48,3713.42,210500052
DFM,20151008,3711.74,3713.51,3684.76,3706.48,134186268
DFM,20151007,3659.67,3725.97,3659.67,3711.74,307671022
DFM,20151006,3658.86,3684.58,3652.94,3659.67,202150451
DFM,20151005,3594.13,3658.86,3594.13,3658.86,226742421
DFM,20151004,3619.44,3638.36,3593.66,3594.13,216578022
DFM,20151001,3593.28,3640.83,3593.28,3619.44,219384133
DFM,20150930,3554.43,3597.06,3554.43,3593.28,156823719
DFM,20150929,3582.38,3582.38,3531.95,3554.43,140001655
