<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
JABALOMAR,20151217,54.75,55.25,54.25,54.79,888191
JABALOMAR,20151216,53,55.5,52.75,54.47,1222287
JABALOMAR,20151215,51.75,53,51.75,52.58,637936
JABALOMAR,20151214,53.25,53.5,51.25,51.55,719050
JABALOMAR,20151213,53,53.5,51.5,52.94,1307634
JABALOMAR,20151210,55.5,56.75,54.25,54.43,1337832
JABALOMAR,20151209,52.5,56.75,52.5,54.97,1157103
JABALOMAR,20151208,54.25,55.75,53.75,54.65,1196126
JABALOMAR,20151207,60,60,56.5,56.86,862142
JABALOMAR,20151206,61.25,62.25,59.75,60.47,949703
JABALOMAR,20151203,63,65,61.75,62.05,1443971
JABALOMAR,20151202,60.75,63.75,59.75,62.64,1396879
JABALOMAR,20151201,59.5,61,59.5,60.74,938238
JABALOMAR,20151130,59,60,58.5,59.8,740769
JABALOMAR,20151129,59.5,60,58.75,59.03,459780
JABALOMAR,20151126,58.5,60.5,58.25,59.54,1111321
JABALOMAR,20151125,58,59,58,58.5,274242
JABALOMAR,20151124,58,59.5,58,58.5,604748
JABALOMAR,20151123,58,58.25,57.5,58.16,619007
JABALOMAR,20151122,56.5,60.5,56.5,58.57,1319611
JABALOMAR,20151119,55.5,57,55.5,56.73,758260
JABALOMAR,20151118,56,56.25,55,55.47,248341
JABALOMAR,20151117,56.25,56.75,55.25,55.88,161207
JABALOMAR,20151116,55.75,56.75,54,56.25,526747
JABALOMAR,20151115,56.5,56.5,55,55.46,245784
JABALOMAR,20151112,57,57.25,56.5,56.96,196628
JABALOMAR,20151111,56.5,57.5,56.5,57.14,159418
JABALOMAR,20151110,56.5,56.75,56,56.72,353298
JABALOMAR,20151109,56.5,58,56.25,56.81,430204
JABALOMAR,20151108,54.5,57.25,53.75,56.71,619251
JABALOMAR,20151105,55.5,57,55.25,55.77,361170
JABALOMAR,20151104,56.25,57,53,55.9,571452
JABALOMAR,20151103,58.25,58.25,55,55.4,1202240
JABALOMAR,20151102,58.75,60.25,58.25,59.47,786005
JABALOMAR,20151101,59,59,58.25,58.74,251458
JABALOMAR,20151029,60.75,61,59.5,59.5,577352
JABALOMAR,20151028,59.25,60.25,59.25,59.76,122707
JABALOMAR,20151027,59.75,60.75,59.5,59.65,474754
JABALOMAR,20151026,58.75,60,58,59.76,581454
JABALOMAR,20151025,61,61.75,58.25,58.59,573039
JABALOMAR,20151022,61.5,62.5,60,60.72,374003
JABALOMAR,20151021,63.5,63.5,61.5,61.79,452939
JABALOMAR,20151020,64.25,64.75,63.75,63.91,144984
JABALOMAR,20151019,65,65,64,64.25,115630
JABALOMAR,20151018,64.75,65.75,64.25,64.77,190848
JABALOMAR,20151015,65.75,66,64.25,64.26,261568
JABALOMAR,20151014,66.5,67,65,65.51,411589
JABALOMAR,20151013,64,67.75,64,66.54,378676
JABALOMAR,20151012,66.25,68,65.75,66.7,526591
JABALOMAR,20151011,65.5,67,65.5,66.54,465470
JABALOMAR,20151008,64.5,65.75,64.5,65.65,420421
JABALOMAR,20151007,63.5,65.25,63.5,65.05,1079606
JABALOMAR,20151006,63.5,64.25,63,63.12,317899
JABALOMAR,20151005,63.75,63.75,63.25,63.47,183145
JABALOMAR,20151004,63.75,64.25,63,63.23,318697
JABALOMAR,20151001,63,64.5,63,63.76,240100
JABALOMAR,20150930,64,64.25,63.25,64.15,215237
JABALOMAR,20150929,64.75,64.75,62.5,63.84,595480
JABALOMAR,20150921,62.5,65,62,64.7,757437
JABALOMAR,20150920,62.5,62.75,62,62.07,231587
JABALOMAR,20150917,63.5,64.25,62.75,63.04,571826
JABALOMAR,20150916,63.75,64,63,63.1,463053
JABALOMAR,20150915,63,63.5,61.75,62.95,1123297
JABALOMAR,20150914,66,66,63.75,63.97,418746
JABALOMAR,20150913,66.75,68.25,65.25,65.76,770641
JABALOMAR,20150910,63.75,67,63.75,65.71,1498804
JABALOMAR,20150909,62.5,65.5,62.5,65.12,1775500
JABALOMAR,20150908,59.75,62,59.25,61.86,774250
JABALOMAR,20150907,60,61.25,59.5,60,809077
JABALOMAR,20150906,57.25,60,57,59.39,693896
JABALOMAR,20150903,60,60,57.75,58.05,961340
JABALOMAR,20150902,57.5,58.25,55.25,58.05,2783072
JABALOMAR,20150901,61.25,62.5,58,58.66,1274384
JABALOMAR,20150831,61.5,62,59.5,60.79,929408
JABALOMAR,20150830,62.25,64.5,61,61.63,1853614
JABALOMAR,20150827,59.75,60.75,58.75,59.01,1491423
JABALOMAR,20150826,56,61,53.5,55.77,2917003
JABALOMAR,20150825,51.25,55.5,49.4,55.5,4546892
JABALOMAR,20150824,54.25,56.25,50.5,50.5,3137072
JABALOMAR,20150823,59,59,56,56.01,2905911
JABALOMAR,20150820,59,63,56.25,62.08,1657764
JABALOMAR,20150819,65.5,67,61,61.71,510571
JABALOMAR,20150818,68.5,69,65.25,66.42,855279
JABALOMAR,20150817,67.25,71,67,68.97,516624
JABALOMAR,20150816,72.25,72.75,65.75,68.48,661821
JABALOMAR,20150813,72.75,73,72.5,72.65,142978
JABALOMAR,20150812,73,73,72.5,72.75,311460
JABALOMAR,20150811,73.75,73.75,73,73,241525
JABALOMAR,20150810,73,73.5,72.5,73.3,148610
JABALOMAR,20150809,72.25,73.25,72,73.02,394792
JABALOMAR,20150806,74,74,73,73.32,271971
JABALOMAR,20150805,73.5,74.5,73,74.13,316042
JABALOMAR,20150804,73,73.5,72,73.25,295827
JABALOMAR,20150803,73,73.25,71.5,72.97,520894
JABALOMAR,20150802,74.25,74.75,72.5,73.3,474364
JABALOMAR,20150730,74.5,76,74.25,74.49,708974
JABALOMAR,20150729,73.5,74.5,73.5,73.53,199364
JABALOMAR,20150728,73.25,73.75,73,73.08,170859
JABALOMAR,20150727,74,74,73,73.5,155985
JABALOMAR,20150726,74.5,75,73.25,74.03,116474
JABALOMAR,20150723,74.25,74.75,74,74.55,110007
JABALOMAR,20150722,75.5,75.5,74,74.49,205148
JABALOMAR,20150715,74.25,75.75,74.25,75.02,272320
JABALOMAR,20150714,73.75,74.25,73.75,74.2,86809
JABALOMAR,20150713,74.5,74.5,73.5,73.94,111329
JABALOMAR,20150712,74.75,75.25,73.5,73.94,622620
JABALOMAR,20150709,73.25,77,73.25,74.64,1268025
JABALOMAR,20150708,73.25,73.75,73,73.51,181041
JABALOMAR,20150707,73.75,73.75,73,73.19,372870
JABALOMAR,20150706,73.5,74.25,73.25,73.85,280742
JABALOMAR,20150705,74,74.75,73.25,74.01,266709
JABALOMAR,20150702,74,74.25,73.5,74.17,351520
JABALOMAR,20150701,74.5,74.5,73.75,73.87,453338
JABALOMAR,20150630,73.25,74.5,72.25,74.36,507600
JABALOMAR,20150629,72,75,72,74.63,516718
JABALOMAR,20150628,74.5,74.5,72,73.71,425559
JABALOMAR,20150625,73.5,74.5,73.25,74.28,361980
JABALOMAR,20150624,73.5,74,73,73.67,308837
JABALOMAR,20150623,74.5,74.75,73.25,73.57,451035
JABALOMAR,20150622,74.25,74.5,73,73.27,269428
JABALOMAR,20150621,75.25,75.25,74.25,74.32,219846
JABALOMAR,20150618,75.75,75.75,75,75.25,277402
JABALOMAR,20150617,75.5,75.75,75.25,75.49,167938
JABALOMAR,20150616,76,76.25,75.25,75.69,3586496
JABALOMAR,20150615,76.75,76.75,75.5,75.97,2299811
JABALOMAR,20150614,75.5,76.75,75.5,76.59,259281
JABALOMAR,20150611,76,76.5,75.5,76,245545
JABALOMAR,20150610,76,76.25,75.5,75.55,291593
JABALOMAR,20150609,76.5,76.75,74.5,75.69,622172
JABALOMAR,20150608,77,77.25,76.5,76.75,257092
JABALOMAR,20150607,77,77.25,76.75,76.97,256994
JABALOMAR,20150604,77.25,77.5,77,77.13,457812
JABALOMAR,20150603,77.5,77.75,77.25,77.4,238050
JABALOMAR,20150602,78.25,79.25,76.75,77.5,2200430
JABALOMAR,20150601,78.75,79.5,77,78.07,1791645
JABALOMAR,20150531,81.5,81.75,78.5,79.19,2594075
JABALOMAR,20150528,78.75,82,78,81.23,2559079
JABALOMAR,20150527,80.25,80.25,77,78.35,1673350
JABALOMAR,20150526,77.25,80.75,77,79.94,2055492
JABALOMAR,20150525,76.5,77.5,76.5,77.04,344413
JABALOMAR,20150524,77,77.25,76.25,76.88,283277
JABALOMAR,20150521,77,77.25,76.75,77.01,274735
JABALOMAR,20150520,77,78,76.5,77.17,1070874
JABALOMAR,20150519,76.5,77.5,76,77,1289393
JABALOMAR,20150518,77.25,77.75,76.75,76.97,387069
JABALOMAR,20150517,77,78,77,77.43,464411
JABALOMAR,20150514,76.25,78,76.25,76.95,781504
JABALOMAR,20150513,76.25,76.5,76,76.19,637316
JABALOMAR,20150512,76,76.5,75.75,76.39,350448
JABALOMAR,20150511,77.5,78.75,76,76.45,1074672
JABALOMAR,20150510,78,78.25,75.75,77.5,1387262
JABALOMAR,20150507,78.75,78.75,76.75,77.32,1309682
JABALOMAR,20150506,78,79.25,78,78.89,650601
JABALOMAR,20150505,79.25,79.5,78.25,78.36,1075516
JABALOMAR,20150504,79,79.75,78.5,78.96,695563
JABALOMAR,20150503,80,81.25,78.25,78.71,2210002
JABALOMAR,20150430,79.75,82,79,79.55,3591125
JABALOMAR,20150429,81.5,82,78.25,79.41,3252630
JABALOMAR,20150428,77.25,83.75,77,80.1,7549436
JABALOMAR,20150427,77.5,77.75,77,77.39,949995
JABALOMAR,20150426,78,78,76.75,77.57,714536
JABALOMAR,20150423,78.25,78.25,77.5,77.59,509577
JABALOMAR,20150422,77.75,78.5,77.25,78.28,1092184
JABALOMAR,20150421,77.5,78,76.75,77.43,778282
JABALOMAR,20150420,77.25,78.25,76.5,77.36,1295836
JABALOMAR,20150419,77,78.75,76.75,77.1,1222581
JABALOMAR,20150416,77,77.25,75.5,75.94,642562
JABALOMAR,20150415,74.5,77.25,74.5,76.36,2058729
JABALOMAR,20150414,78,78.25,72,73.82,2419067
JABALOMAR,20150413,78,79,78,78.24,682164
