<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
KSE,20160114,5353.31,5353.31,5240.06,5265.94,124164618
KSE,20160113,5357.62,5360.41,5334.58,5352.96,72477971
KSE,20160112,5387.04,5387.04,5343.85,5357.62,60612710
KSE,20160111,5418.19,5420.84,5370.49,5387.04,97134267
KSE,20160110,5474.51,5474.51,5403.66,5418.53,82060393
KSE,20160107,5563.71,5563.71,5455.8,5475.15,122901285
KSE,20160106,5564.8,5572.33,5551.81,5563.97,94553262
KSE,20160105,5568.3,5569.62,5545.48,5564.15,93716581
KSE,20160104,5615.12,5622.15,5563.45,5568.3,112317896
KSE,20151231,5612.82,5616.59,5592.26,5615.12,78680628
KSE,20151230,5584.12,5612.48,5578.89,5612.48,182805202
KSE,20151229,5628.41,5636.43,5560.62,5583.81,119736627
KSE,20151228,5647.16,5647.5,5623.29,5628.41,113752693
KSE,20151227,5619.98,5649.73,5619.98,5647.16,112597916
KSE,20151223,5624.68,5627.41,5602.72,5619.98,89223197
KSE,20151222,5614.31,5624.68,5602.82,5624.68,96186134
KSE,20151221,5571.93,5613.66,5567.47,5613.66,108351101
KSE,20151220,5623.05,5623.05,5567.93,5571.93,54132366
KSE,20151217,5624.6,5629.68,5611.21,5623.69,79411362
KSE,20151216,5616.18,5633.94,5616.18,5624.6,102823645
KSE,20151215,5602.07,5616.8,5592.09,5616.18,99750295
KSE,20151214,5633.28,5638.72,5575.94,5602.38,104078216
KSE,20151213,5686.79,5686.79,5605.93,5633.28,89185075
KSE,20151210,5729.52,5732.18,5671.62,5686.15,125818125
KSE,20151209,5752.75,5759.34,5720.9,5729.52,86417841
KSE,20151208,5784.34,5784.47,5724,5752.75,144871955
KSE,20151207,5791.89,5794.08,5750.88,5783.69,84278723
KSE,20151206,5788.74,5796.38,5770.66,5791.89,117031866
KSE,20151203,5804.57,5804.7,5771.19,5788.74,94613244
KSE,20151202,5803.34,5808.72,5785.91,5804.57,144746243
KSE,20151201,5802.03,5807.57,5793.49,5803.34,109894542
KSE,20151130,5806.49,5810.27,5791.45,5802.36,97904025
KSE,20151129,5794.64,5806.49,5776.14,5806.49,96750025
KSE,20151126,5773.01,5797.5,5769.71,5794.64,128123637
KSE,20151125,5765.04,5776.75,5756.89,5772.66,131749422
KSE,20151124,5773.68,5779.64,5758.99,5765.04,115391961
KSE,20151123,5756.14,5775.04,5749.79,5773.68,138031716
KSE,20151122,5726.06,5756.82,5726.06,5756.14,142878027
KSE,20151119,5697.04,5726.28,5696.44,5725.41,115189947
KSE,20151118,5699.78,5702.21,5682.19,5698.1,136896079
KSE,20151117,5703.6,5716.51,5691.56,5699.78,107370888
KSE,20151116,5699.72,5718.35,5660.03,5703.16,165878262
KSE,20151115,5766.03,5766.03,5686.75,5700.07,137708098
KSE,20151112,5765.75,5773.26,5742.06,5766.37,158032158
KSE,20151111,5787.28,5787.65,5756.63,5765.75,159018143
KSE,20151110,5787.68,5790.69,5762.33,5787.28,125403861
KSE,20151109,5776.84,5794.65,5767.75,5787.68,149580363
KSE,20151108,5770.78,5776.88,5745.05,5776.84,135805114
KSE,20151105,5775.12,5775.82,5731.27,5770.78,137168673
KSE,20151104,5794.59,5799.84,5767.82,5774.86,149511960
KSE,20151103,5784.8,5797.34,5775.06,5794.25,198197703
KSE,20151102,5779.74,5793.31,5761.52,5784.8,142219899
KSE,20151101,5775.36,5783.09,5756.87,5779.74,127979761
KSE,20151029,5769.9,5775.36,5755.66,5775.36,112457755
KSE,20151028,5791.62,5792.11,5756.16,5769.9,169589620
KSE,20151027,5804.05,5816.87,5791.63,5791.97,144722089
KSE,20151026,5807.95,5816.01,5789.61,5804.05,207274408
KSE,20151025,5780.76,5810.96,5780.5,5807.95,146526003
KSE,20151022,5793.15,5798.41,5766.41,5780.76,124056678
KSE,20151021,5804.92,5810.01,5791.66,5793.41,151622259
KSE,20151020,5784.37,5805.05,5783.7,5804.92,139431581
KSE,20151019,5770.05,5786.73,5768.83,5784.37,180294252
KSE,20151018,5731.26,5769.71,5730.8,5769.71,154811169
KSE,20151013,5733.63,5737.33,5714.17,5731.26,123703098
KSE,20151012,5728.38,5734.07,5717.12,5734.07,131853854
KSE,20151011,5709.1,5729.82,5688.75,5728.38,125556764
KSE,20151008,5738.97,5738.97,5694.08,5708.75,176994890
KSE,20151007,5734.1,5740.67,5706.55,5739.32,150940002
KSE,20151006,5727.32,5747.38,5721.61,5734.54,157425739
KSE,20151005,5707.77,5727.54,5704.54,5727.32,160226329
KSE,20151004,5720.3,5721.51,5667.99,5707.77,141417814
KSE,20151001,5725.61,5725.61,5700.02,5720.65,113027726
KSE,20150930,5751.2,5756.39,5713.1,5725.96,121168355
KSE,20150929,5764.65,5765.29,5735.37,5751.2,134402244
KSE,20150928,5754.49,5769.08,5751.42,5764.3,198406114
