<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
MSM,20160114,5199.09,5201.85,5112.49,5112.52,12839786
MSM,20160113,5289.34,5289.34,5199.09,5199.09,12950471
MSM,20160112,5337.44,5337.44,5289.34,5289.33,9001996
MSM,20160111,5365.16,5365.16,5337.44,5337.44,8906683
MSM,20160110,5365.15,5365.92,5360.5,5365.16,25178126
MSM,20160107,5390.52,5390.52,5365.11,5365.15,13234606
MSM,20160106,5417.09,5417.22,5390.49,5390.52,10085751
MSM,20160105,5421.2,5422,5415.74,5417.08,4945221
MSM,20160104,5412.88,5421.33,5412.88,5421.21,7688731
MSM,20160103,5406.22,5418.01,5406.22,5412.88,9472269
MSM,20151231,5444.39,5448.54,5405.96,5406.22,44577193
MSM,20151230,5429.36,5452.68,5429.36,5444.39,189002599
MSM,20151229,5434.74,5444.44,5429.28,5429.36,9604840
MSM,20151228,5435.96,5441.48,5429.88,5434.75,15230525
MSM,20151227,5419.32,5438.7,5419.32,5435.96,48454056
MSM,20151223,5418.01,5436.49,5418.01,5419.33,5403648
MSM,20151222,5404.25,5420.18,5404.25,5418.01,7926893
MSM,20151221,5354.97,5404.25,5354.24,5404.25,31389389
MSM,20151220,5359.3,5372.44,5354.56,5354.97,7654608
MSM,20151217,5361.98,5376.18,5358.38,5359.3,8718424
MSM,20151216,5365.61,5370.74,5359.17,5361.98,5229675
MSM,20151215,5403.67,5424.07,5365.61,5365.61,14605331
MSM,20151214,5414.99,5414.99,5393.57,5403.67,4635334
MSM,20151213,5451.21,5451.21,5414.99,5414.99,9628306
MSM,20151210,5502.87,5502.87,5451.21,5451.21,6720079
MSM,20151209,5468.5,5511.94,5468.5,5502.87,12278910
MSM,20151208,5537.2,5537.2,5467.54,5468.5,12452174
MSM,20151207,5541.98,5549.14,5534.9,5537.19,12719884
MSM,20151206,5557.73,5559.1,5541.98,5541.98,13277573
MSM,20151201,5547.85,5569.31,5547.85,5557.73,20886141
MSM,20151130,5643.29,5643.29,5547.85,5547.85,20794155
MSM,20151129,5668.4,5671.78,5643.29,5643.29,11710833
MSM,20151126,5695.8,5695.85,5667.28,5668.4,6928890
MSM,20151125,5742.5,5747.12,5695.8,5695.8,10604073
MSM,20151124,5762.11,5767.59,5742.5,5742.5,8838406
MSM,20151123,5781.9,5786.35,5762.11,5762.11,7762212
MSM,20151122,5795.81,5804.34,5781.27,5781.9,7742282
MSM,20151119,5797.69,5799.1,5793.12,5795.81,13835415
MSM,20151118,5814.35,5815.73,5797.67,5797.69,11328404
MSM,20151117,5835.52,5840.46,5814.35,5814.35,18539429
MSM,20151116,5837.87,5841.43,5835.27,5835.52,12233790
MSM,20151115,5848.41,5848.41,5837.87,5837.87,23936615
MSM,20151112,5866.32,5866.32,5848.06,5848.41,10493644
MSM,20151111,5893.91,5894.86,5866.3,5866.32,19289039
MSM,20151110,5899.61,5900.95,5893.91,5893.91,10422510
MSM,20151109,5915.43,5916.74,5899.61,5899.61,8037604
MSM,20151108,5918.61,5920.2,5915.42,5915.43,6904184
MSM,20151105,5941.58,5941.62,5917.25,5918.61,14849827
MSM,20151104,5948.37,5955.93,5941.58,5941.58,11201686
MSM,20151103,5938.57,5949.41,5936.26,5948.37,13578334
MSM,20151102,5948.14,5948.29,5934.86,5938.57,8268864
MSM,20151101,5928.15,5961.82,5928.15,5948.13,9390752
MSM,20151029,5933.26,5934.88,5928.15,5928.15,19543438
MSM,20151028,5937.91,5937.98,5932.07,5933.27,11598719
MSM,20151027,5932.95,5939.97,5932.95,5937.9,27366174
MSM,20151026,5922.18,5932.95,5922.18,5932.95,31214860
MSM,20151025,5905.74,5922.18,5903.39,5922.18,4735751
MSM,20151022,5918.43,5918.57,5905.46,5905.74,7634572
MSM,20151021,5920.04,5920.13,5915.14,5918.43,10276088
MSM,20151020,5924.02,5929.49,5920.01,5920.04,19348471
MSM,20151019,5925.05,5926.32,5915.27,5924.03,23716829
MSM,20151018,5909.45,5926.69,5901.03,5925.05,27642356
MSM,20151014,5928.98,5936.3,5908.97,5909.45,25307895
MSM,20151013,5963.11,5968.22,5928.98,5928.98,29386297
MSM,20151012,5932.2,5974.21,5918.37,5963.11,33915814
MSM,20151011,5867.41,5935.27,5867.41,5932.2,24434001
MSM,20151008,5860.47,5870.74,5860.47,5867.41,15588125
MSM,20151007,5831.61,5860.47,5831.61,5860.47,25963628
MSM,20151006,5841.24,5841.29,5830.7,5831.62,21689935
MSM,20151005,5802.51,5841.45,5802.51,5841.24,20540262
MSM,20151004,5791.06,5802.98,5790.39,5802.51,7336537
MSM,20151001,5787.69,5792.58,5783.18,5791.05,1024154400
MSM,20150930,5760.85,5793.47,5755.48,5787.7,26558498
MSM,20150929,5767.77,5775.57,5760.85,5760.85,10660896
MSM,20150928,5775.03,5779.06,5761.7,5767.77,12696357
MSM,20150927,5765.42,5784.42,5765.4,5775.03,6037350
MSM,20150922,5753.16,5769.46,5751.13,5765.42,10877072
MSM,20150921,5741.91,5753.25,5741.91,5753.16,15740892
MSM,20150920,5744.76,5751.11,5741.91,5741.91,6222493
MSM,20150917,5777.53,6780.91,5744.76,5744.76,12749763
MSM,20150916,5772.8,5778.97,5772.39,5777.53,7943617
MSM,20150915,5794.69,5794.69,5772.37,5772.8,20094007
MSM,20150914,5795.71,5798.97,5794.07,5794.69,11181891
MSM,20150913,5800.99,5801.72,5795.71,5795.71,6932986
