<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
NCB,20151217,51.75,53.5,51.75,52.73,1163459
NCB,20151216,50.5,51.5,50.25,51.43,1008850
NCB,20151215,50.5,50.75,50,50.07,330831
NCB,20151214,50.5,51,49.9,49.99,525890
NCB,20151213,51,51,50.25,50.46,453937
NCB,20151210,51.5,51.75,51.5,51.5,551631
NCB,20151209,51.5,52,51.5,51.74,231234
NCB,20151208,52.25,52.25,51.75,51.75,528859
NCB,20151207,53,53,52.5,52.75,424645
NCB,20151206,53.25,53.25,53,53,252717
NCB,20151203,53.75,54,53.25,53.25,221550
NCB,20151202,53.75,54.25,53.75,53.91,333480
NCB,20151201,53.5,53.75,53.5,53.74,765808
NCB,20151130,53.5,53.75,53.25,53.49,363936
NCB,20151129,53.25,54.25,53.25,53.79,277140
NCB,20151126,53.5,54,53.5,53.62,240963
NCB,20151125,53.75,54.25,53.5,53.63,575595
NCB,20151124,53.5,54,53,53.48,696575
NCB,20151123,53,53.5,52.75,53.21,619291
NCB,20151122,51.25,54,51.25,53.01,1081224
NCB,20151119,50.75,51,50.25,50.98,467545
NCB,20151118,50.25,51.25,50.25,50.5,296578
NCB,20151117,50.5,51,50.5,50.51,510584
NCB,20151116,50,50.75,50,50.51,463838
NCB,20151115,50.25,50.5,49.8,49.97,504464
NCB,20151112,51.75,51.75,51,51.25,347477
NCB,20151111,51.25,52,51,51.73,488918
NCB,20151110,51.5,51.75,51,51.25,765937
NCB,20151109,51.25,51.75,51.25,51.65,243094
NCB,20151108,52,52,51,51.3,575143
NCB,20151105,53,53,52.25,52.29,160011
NCB,20151104,52.75,53,52.25,52.89,602974
NCB,20151103,53,53.25,52.75,52.75,594308
NCB,20151102,53.25,53.75,53,53.24,546758
NCB,20151101,53.25,53.75,53,53.55,499220
NCB,20151029,53.25,54,53,53.82,623631
NCB,20151028,52.25,53.25,52,53,406654
NCB,20151027,53.5,53.5,52.5,52.89,1111091
NCB,20151026,53.5,54,53.5,53.65,280752
NCB,20151025,53.5,54,53.5,53.72,352437
NCB,20151022,54.25,54.5,53.25,53.61,327417
NCB,20151021,54.75,54.75,54.25,54.57,327660
NCB,20151020,55,55.25,54.5,54.87,340244
NCB,20151019,54.5,55,54.5,54.96,431536
NCB,20151018,54,55,54,54.66,605969
NCB,20151015,54,54.5,54,54.13,176228
NCB,20151014,54.75,54.75,54,54.67,607605
NCB,20151013,55,55.25,54.5,54.99,731004
NCB,20151012,56,56,55.25,55.26,582207
NCB,20151011,54.5,56,54.5,55.6,623360
NCB,20151008,54,54.25,53.75,54.21,490719
NCB,20151007,53.25,54.25,53.25,53.78,534112
NCB,20151006,53.25,53.5,53.25,53.25,498784
NCB,20151005,53.25,53.5,53,53.37,376556
NCB,20151004,52.75,53.25,52.75,52.75,208349
