<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
RIBL,20160204,11.45,11.55,11.25,11.34,657092
RIBL,20160203,11.3,11.3,11.1,11.29,422267
RIBL,20160202,11.4,11.45,11.3,11.31,255843
RIBL,20160201,11.6,11.6,11.45,11.53,385516
RIBL,20160131,11.4,11.7,11.4,11.6,1077796
RIBL,20160128,11.3,11.3,11.2,11.24,724243
RIBL,20160127,11.05,11.1,11,11.01,738664
RIBL,20160126,10.95,11,10.95,10.98,359760
RIBL,20160125,11.1,11.1,11,11,378709
RIBL,20160124,11.35,11.5,11,11.04,909660
RIBL,20160121,11,11.05,10.9,11,527081
RIBL,20160120,11,11.15,10.95,11,788903
RIBL,20160119,11.1,11.2,11,11.17,1104457
RIBL,20160118,10.9,11.25,10.9,11.11,733996
RIBL,20160117,11.45,11.45,10.8,10.94,1324310
RIBL,20160114,11.6,11.65,11.4,11.59,1133964
RIBL,20160113,11.7,11.75,11.6,11.64,770653
RIBL,20160112,11.8,11.9,11.7,11.7,1576818
RIBL,20160111,12,12,11.9,11.99,541781
RIBL,20160110,12,12,11.95,11.98,288227
RIBL,20160107,12.05,12.05,11.7,11.99,562712
RIBL,20160106,12.2,12.25,11.95,12.14,1034972
RIBL,20160105,12.45,12.45,12.2,12.24,571829
RIBL,20160104,12.2,12.65,12.2,12.4,628439
RIBL,20160103,12.4,12.65,12.4,12.61,833019
BJAZ,20160204,13.4,13.5,13.1,13.26,11173048
BJAZ,20160203,12.75,12.9,12.65,12.89,8712741
BJAZ,20160202,12.85,13.2,12.8,12.82,10063417
BJAZ,20160201,12.75,13.35,12.65,13.04,10181236
BJAZ,20160131,12.7,13.25,12.7,12.84,10902705
BJAZ,20160128,11.95,12.4,11.95,12.29,10199426
BJAZ,20160127,11.9,12.1,11.8,11.87,6566496
BJAZ,20160126,11.7,11.9,11.5,11.85,6416194
BJAZ,20160125,12.05,12.05,11.8,11.89,4383657
BJAZ,20160124,12.6,12.75,12.05,12.09,7929492
BJAZ,20160121,11.65,11.85,11.65,11.78,6974978
BJAZ,20160120,12.05,12.05,11.7,11.74,6479104
BJAZ,20160119,12.15,12.6,12.15,12.34,9408750
BJAZ,20160118,11.85,12.2,11.75,11.94,10111731
BJAZ,20160117,11.7,12.1,11.65,11.86,5003017
BJAZ,20160114,13,13.05,12.5,12.66,4070313
BJAZ,20160113,13.35,13.45,13.05,13.16,4727890
BJAZ,20160112,13.4,13.5,13.15,13.27,6379025
BJAZ,20160111,13.55,13.85,13.3,13.68,2998711
BJAZ,20160110,13.9,14.1,13.4,13.63,3036443
BJAZ,20160107,14.35,14.35,13.75,13.88,5525618
BJAZ,20160106,15.7,15.7,14.65,14.7,6893938
BJAZ,20160105,15.7,15.95,15.55,15.61,3587136
BJAZ,20160104,16.2,16.3,15.7,15.75,4094279
BJAZ,20160103,16.15,16.45,16.15,16.26,4160496
SIBC,20160204,15.4,15.7,15.3,15.4,232771
SIBC,20160203,15.1,15.2,15.05,15.16,236000
SIBC,20160202,15.3,15.3,15.1,15.12,117221
SIBC,20160201,15.4,15.5,15.25,15.35,299105
SIBC,20160131,15.55,15.8,15.4,15.41,934666
SIBC,20160128,15.1,15.85,15.1,15.59,234619
SIBC,20160127,15.05,15.1,14.95,14.95,48911
SIBC,20160126,14.85,15,14.8,14.99,106202
SIBC,20160125,15,15.05,15,15,67731
SIBC,20160124,15.8,15.85,14.95,15,178492
SIBC,20160121,14.9,15.3,14.9,15.09,89027
SIBC,20160120,15.5,15.5,14.9,14.87,112637
SIBC,20160119,15.5,15.65,15.45,15.45,119799
SIBC,20160118,15.85,15.85,15.25,15.27,124901
SIBC,20160117,15.9,15.9,14.75,15.2,61045
SIBC,20160114,16.2,16.2,15.8,15.93,132867
SIBC,20160113,16.25,16.3,16.15,16.2,40445
SIBC,20160112,16.15,16.15,16.1,16.11,37828
SIBC,20160111,16.5,16.5,16.25,16.5,14132
SIBC,20160110,16.05,16.35,16,16.25,111449
SIBC,20160107,16.2,16.55,16.2,16.4,59736
SIBC,20160106,16.7,16.95,16.65,16.9,15093
SIBC,20160105,16.95,17.15,16.9,16.9,53437
SIBC,20160104,17.15,17.25,17,17,43788
SIBC,20160103,17.1,17.3,17.1,17.28,20906
AAAL,20160204,27.3,27.5,27.3,27.35,189016
AAAL,20160203,26.1,27.3,26.1,26.94,91060
AAAL,20160202,26.2,26.3,26,26.05,95958
AAAL,20160201,26.3,26.6,26,26.34,132066
AAAL,20160131,27,27.3,26.3,26.44,225452
AAAL,20160128,25.2,26.6,25.2,26.6,177582
AAAL,20160127,25.3,25.5,25,25.2,114663
AAAL,20160126,25,25.3,24.7,25.3,155236
AAAL,20160125,25,25.5,25,25.35,148549
AAAL,20160124,26,26,24.6,25.06,192176
AAAL,20160121,24,25.1,24,24.53,192596
AAAL,20160120,24.55,24.55,24.15,24.28,83499
AAAL,20160119,24.55,25.4,24.55,25.13,202631
AAAL,20160118,23.05,24.5,23.05,24.43,116254
AAAL,20160117,24.9,24.9,23.7,24.3,185692
AAAL,20160114,26.2,26.2,24.7,25.36,239528
AAAL,20160113,26.2,26.2,25.3,25.7,52758
AAAL,20160112,25.2,25.5,24.9,25.2,79914
AAAL,20160111,25,25.6,24.9,25.6,44468
AAAL,20160110,25.3,25.9,25.1,25.11,185824
AAAL,20160107,26.3,26.7,26,26.61,121873
AAAL,20160106,27.5,27.7,26.7,27,182214
AAAL,20160105,28.4,28.4,28,27.93,170276
AAAL,20160104,28.5,28.5,28,28,73403
AAAL,20160103,29,29,28.4,28.6,141211
BSFR,20160204,25.3,25.4,25.1,25.3,159677
BSFR,20160203,24.25,25.3,24.25,25.11,83784
BSFR,20160202,24.35,24.9,24.3,24.65,23696
BSFR,20160201,24.8,25,24.8,25,49700
BSFR,20160131,25.4,25.4,24.7,24.7,214150
BSFR,20160128,23.95,24.6,23.95,24.41,256008
BSFR,20160127,23.45,23.75,23.3,23.3,82278
BSFR,20160126,23,23.15,22.7,23.1,102466
BSFR,20160125,24.3,24.3,23.1,23.25,99499
BSFR,20160124,25.5,25.5,23,23.31,303250
