<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
QE,20160114,9405.38,9405.38,9050.34,9185.12,8985438
QE,20160113,9477.09,9507.88,9405.38,9405.38,5586771
QE,20160112,9671.86,9671.86,9477.09,9477.09,4217735
QE,20160111,9673.9,9706.71,9598.89,9671.86,6491145
QE,20160110,9767.22,9767.22,9591.5,9673.9,3552735
QE,20160107,10070.89,10070.89,9687.55,9767.22,6491145
QE,20160106,9959.67,10093.31,9944.78,10070.89,3506895
QE,20160105,10041.7,10100.66,9934.69,9959.67,3481577
QE,20160104,10313.74,10313.74,10041.7,10041.7,3053196
QE,20160103,10429.36,10429.36,10313.74,10313.74,6195696
QE,20151231,10435.67,10476.45,10368.79,10429.36,5349635
QE,20151230,10398.33,10490.23,10343.19,10435.67,3902768
QE,20151229,10397.95,10405.62,10264.3,10398.33,4852697
QE,20151228,10302.8,10446.73,10286.93,10397.95,6195696
QE,20151227,10258.72,10305.39,10252.08,10302.8,3671416
QE,20151224,10217.19,10327.81,10175.17,10258.72,6270071
QE,20151223,10174.8,10225.73,10058.33,10217.19,5391665
QE,20151222,9906,10174.8,9887.76,10174.8,11210627
QE,20151221,9912.92,9912.92,9803.17,9906,5079458
QE,20151217,9862.03,9913.21,9810.99,9912.92,5603234
QE,20151216,9789.8,9907.87,9789.8,9862.03,6835775
QE,20151215,9742.78,9806.64,9725.18,9789.8,5276054
QE,20151214,9643.65,9835,9640.62,9742.78,6945595
QE,20151213,10014.82,10014.82,9614.27,9643.65,6881621
QE,20151210,10018.84,10034.6,9873.53,10014.82,7038840
QE,20151209,10096.51,10152.2,9796.84,10018.84,8894941
QE,20151208,10418.47,10418.47,10006.8,10096.51,8774637
QE,20151207,10499.96,10499.96,10321.03,10418.47,5027613
QE,20151206,10479.28,10499.96,10418.29,10499.96,4207725
QE,20151203,10554.6,10554.6,10379.94,10479.28,5021527
QE,20151202,10535.05,10554.6,10339.72,10554.6,6392226
QE,20151201,10090.81,10535.05,10090.81,10535.05,15344771
QE,20151130,10553.46,10553.46,10090.81,10090.81,34589824
QE,20151129,10522.21,10556.65,10443.94,10553.46,2652425
QE,20151126,10511.5,10574.43,10473.63,10522.21,3821949
QE,20151125,10611.8,10611.8,10495.1,10511.5,3977680
QE,20151124,10675.74,10753.8,10501.8,10611.8,5596852
QE,20151123,10836.19,10836.19,10675.74,10675.74,5226121
QE,20151122,10860.18,10874.8,10816.4,10836.19,3864068
QE,20151119,10827.66,10860.2,10783.8,10860.18,4828374
QE,20151118,10802.29,10829.1,10745.4,10827.66,4171592
QE,20151117,10810.37,10868.5,10802.29,10802.29,17078867
QE,20151116,10860.28,10876.5,10810.37,10810.37,5759269
QE,20151115,10830.33,10860.28,10658.2,10860.28,5414608
QE,20151112,10853.57,10890,10789.2,10830.33,6123459
QE,20151111,10947.02,10976.2,10796.2,10853.57,6016288
QE,20151110,11168.76,11168.76,10867.7,10947.02,9273302
QE,20151109,11221.61,11280.4,11159.2,11168.76,5709691
QE,20151108,11439.3,11444.5,11221.61,11221.61,5230107
QE,20151105,11512.17,11512.17,11406.1,11439.3,4793641
QE,20151104,11516.59,11548.5,11488.7,11512.17,5402577
QE,20151103,11546.94,11568,11442.8,11516.59,7498501
QE,20151102,11585.99,11588.8,11469.9,11546.94,6520578
QE,20151101,11604.59,11643.2,11525.5,11585.99,4863416
QE,20151029,11643.61,11706.6,11604.59,11604.59,6418603
QE,20151028,11715.21,11715.21,11601.6,11643.61,5458226
QE,20151027,11721.9,11721.9,11644.3,11715.21,5606800
QE,20151026,11644.09,11721.9,11644.09,11721.9,6141171
QE,20151025,11584.83,11674.1,11584.83,11644.09,4900997
QE,20151022,11669.62,11669.62,11561,11584.83,7635953
QE,20151021,11755.67,11755.67,11626.6,11669.62,7229751
QE,20151020,11788.24,11799,11723,11755.67,13597846
QE,20151019,11760.16,11791.2,11732.7,11788.24,12248193
QE,20151018,11772.08,11822.6,11755,11760.16,12663016
QE,20151015,11758.96,11780.23,11722.78,11772.08,8467495
QE,20151014,11837.71,11845.8,11758.96,11758.96,3853661
QE,20151013,11868.9,11868.9,11791.4,11837.71,5163921
QE,20151012,11855.87,11904.3,11809.2,11868.9,8653448
QE,20151011,11754.74,11879.2,11753.3,11855.87,13615420
QE,20151008,11788.71,11788.71,11723,11754.74,7634433
QE,20151007,11686.09,11788.71,11684.3,11788.71,11547941
