<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
SABIC,20151217,85.5,88.75,85.5,88.3,7839994
SABIC,20151216,85,85.25,84.25,84.46,6191316
SABIC,20151215,84.5,85.5,84,84.05,9320531
SABIC,20151214,86,86.25,83.25,83.71,6920497
SABIC,20151213,86,86,84,85.1,7537536
SABIC,20151210,87.25,87.75,87,87.45,7217771
SABIC,20151209,86,87.75,85.75,86.89,9026994
SABIC,20151208,86,86.25,84.5,85.45,8049909
SABIC,20151207,87.5,88,87,87.19,5263658
SABIC,20151206,87,87.5,86.25,87.47,4916676
SABIC,20151203,89.5,89.5,87,87.41,7502636
SABIC,20151202,90.25,90.25,89.25,89.62,5115572
SABIC,20151201,90.25,90.5,89.5,89.82,6416421
SABIC,20151130,90,90.25,89.25,89.8,5167462
SABIC,20151129,89.25,90.75,89.25,90.14,4984283
SABIC,20151126,89.75,91,89.5,89.74,5957234
SABIC,20151125,90,90.75,89.75,89.79,6033659
SABIC,20151124,89.25,90.75,89.25,89.83,8769989
SABIC,20151123,88.25,90,87.5,88.85,8244104
SABIC,20151122,87,89,87,88.51,6087364
SABIC,20151119,84.75,86.75,84.5,86.52,8797158
SABIC,20151118,83,84.75,83,84.44,7832442
SABIC,20151117,82.75,83.5,82.75,82.94,7330565
SABIC,20151116,80.75,82.5,80.5,82.36,7843017
SABIC,20151115,80,81.25,79.5,80.11,8284404
SABIC,20151112,82.5,83.75,82,82.55,10512088
SABIC,20151111,82,83.25,82,82.56,10142936
SABIC,20151110,82,82.25,81.25,81.79,7432521
SABIC,20151109,80.5,82.25,79.75,81.92,9432451
SABIC,20151108,81,81,78.5,79.96,7248084
SABIC,20151105,82,82.25,80.5,81.29,6069596
SABIC,20151104,82.75,82.75,79.5,82.07,7536166
SABIC,20151103,83.25,83.5,80.5,80.79,7239765
SABIC,20151102,82.5,84,82.5,82.82,6364166
SABIC,20151101,83,83,81.5,82.23,4972598
SABIC,20151029,83.25,84.25,82.25,82.57,4688934
SABIC,20151028,82.5,82.75,80.25,82.14,6266499
SABIC,20151027,84,84.5,81,81.74,6185764
SABIC,20151026,83.25,84.5,82.25,84.16,6815426
SABIC,20151025,86,86.5,82.25,82.63,7034608
SABIC,20151022,85.5,86,84,84.9,7770061
SABIC,20151021,89,89.25,84.75,85.73,10472591
SABIC,20151020,90.75,91.5,88.75,89.12,6998339
SABIC,20151019,90.25,91.5,90.25,90.67,7377150
SABIC,20151018,90.5,92.75,90,90.26,9402530
SABIC,20151015,89,89.5,87.75,87.89,7696049
SABIC,20151014,87.25,89.5,86.75,89.17,7077207
SABIC,20151013,87.25,88,86.5,87.55,6693487
SABIC,20151012,89.5,89.75,88.25,88.31,7970338
SABIC,20151011,88,90.5,88,89.14,8793882
SABIC,20151008,82,86.5,82,85.96,7935993
SABIC,20151007,80.5,83.75,80.5,82.21,8192523
SABIC,20151006,79.75,80.25,79,79.2,4204909
SABIC,20151005,78.25,79.5,78.25,79.37,5762766
SABIC,20151004,78.25,78.75,77.75,77.91,3247616
SABIC,20151001,79.25,79.5,78,78.21,4171255
SABIC,20150930,78,79,77.5,78.68,3089306
SABIC,20150929,77.5,77.5,76.25,77.35,1890792
SABIC,20150921,77.25,78.25,77,77.66,4501874
SABIC,20150920,76.75,77.25,76,76.79,6201888
SABIC,20150917,78.25,78.5,77,77.45,8073669
SABIC,20150916,79,79.5,77.25,77.45,9659456
SABIC,20150915,78.25,78.75,76.75,78.01,9062617
SABIC,20150914,79.75,80.5,78,78.34,7376870
SABIC,20150913,80.75,82,79.75,80.04,4859932
SABIC,20150910,80,81.25,79.75,80.81,7443065
SABIC,20150909,81.75,82,80.5,80.97,10578348
SABIC,20150908,79.25,80.25,78.5,80.09,8363059
SABIC,20150907,78.5,80,78,78.76,7610202
SABIC,20150906,77,78.5,76.5,77.87,5141402
SABIC,20150903,79.5,79.75,77.5,77.76,6151692
SABIC,20150902,79,80,75.25,78.01,9796677
SABIC,20150901,81.25,82.5,79.75,79.98,9507280
SABIC,20150831,81.5,82,80.5,80.78,8365247
SABIC,20150830,84,86,82.5,82.78,11069777
SABIC,20150827,80.75,81.75,79.5,79.84,10142342
SABIC,20150826,78.25,79,75.5,76.08,9769549
SABIC,20150825,74,78.75,73,78.75,10117415
SABIC,20150824,75.25,77,70.5,71.79,8659619
SABIC,20150823,80.5,81.25,77,77.39,8342216
SABIC,20150820,87.75,87.75,83.75,85.51,9854708
