<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
SECO,20151217,14.75,14.85,14.75,14.83,1992409
SECO,20151216,14.8,14.85,14.7,14.73,1072268
SECO,20151215,14.75,14.85,14.75,14.75,1146475
SECO,20151214,14.8,14.95,14.7,14.7,1968508
SECO,20151213,14.75,14.85,14.5,14.76,969601
SECO,20151210,15,15.1,14.95,14.95,1758472
SECO,20151209,15.05,15.15,14.95,15,1981633
SECO,20151208,15.4,15.45,15,15.05,1974662
SECO,20151207,15.45,15.6,15.35,15.45,2033103
SECO,20151206,15.45,15.5,15.4,15.39,1370666
SECO,20151203,15.45,15.55,15.45,15.45,1343594
SECO,20151202,15.45,15.65,15.4,15.49,2612879
SECO,20151201,15.55,15.65,15.4,15.47,3484390
SECO,20151130,15.6,15.6,15.5,15.55,1414037
SECO,20151129,15.55,15.65,15.45,15.56,1573318
SECO,20151126,15.5,15.6,15.45,15.51,1504583
SECO,20151125,15.55,15.55,15.45,15.5,1280375
SECO,20151124,15.6,15.7,15.5,15.54,1474535
SECO,20151123,15.6,15.7,15.5,15.54,1613510
SECO,20151122,15.45,15.8,15.4,15.56,1657735
SECO,20151119,15.35,15.6,15.35,15.41,1373649
SECO,20151118,15.25,15.35,15.25,15.29,517413
SECO,20151117,15.35,15.35,15.25,15.3,592476
SECO,20151116,15.25,15.4,15.2,15.29,1547678
SECO,20151115,15.4,15.4,15.15,15.19,1255198
SECO,20151112,15.4,15.65,15.4,15.54,1919500
SECO,20151111,15.15,15.6,15.15,15.43,2410005
SECO,20151110,15.15,15.2,15.05,15.11,1315408
SECO,20151109,15.05,15.25,14.95,15.15,2465418
SECO,20151108,15.8,15.8,15.05,15.08,3171672
SECO,20151105,16.35,16.35,15.8,15.86,2044204
SECO,20151104,16.65,16.7,16.3,16.36,1588223
SECO,20151103,16.75,17,16.5,16.52,1737081
SECO,20151102,16.8,16.85,16.7,16.76,1390126
SECO,20151101,17,17,16.7,16.71,910629
SECO,20151029,16.95,17.1,16.85,16.98,1566551
SECO,20151028,16.7,17.05,16.65,16.92,1351662
SECO,20151027,17.2,17.25,16.6,16.67,1108373
SECO,20151026,17.15,17.25,17.05,17.18,1030503
SECO,20151025,17.45,17.5,17.1,17.15,926693
SECO,20151022,17.4,17.55,17.35,17.39,1484231
SECO,20151021,17.75,17.75,17.4,17.41,2027118
SECO,20151020,17.8,17.9,17.7,17.7,1096074
SECO,20151019,17.85,17.9,17.75,17.81,1104628
