<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
STC,20151217,67,67.75,66.5,67.5,426442
STC,20151216,66,66.75,65.75,66.68,285095
STC,20151215,65.75,66,65.25,65.95,602611
STC,20151214,66.5,66.5,65.25,65.95,938868
STC,20151213,66,67.25,65.5,66.08,512725
STC,20151210,67.25,68,67,67.23,237185
STC,20151209,66.5,68,66.5,67.4,370365
STC,20151208,66.5,67,66.25,66.47,341366
STC,20151207,68,68,66.5,66.86,591265
STC,20151206,68,68,67.5,67.75,290439
STC,20151203,67.75,68.5,67.75,68,699647
STC,20151202,67.5,69,67.25,68.21,1464233
STC,20151201,66.75,67.75,66.75,67.66,440643
STC,20151130,67,67.25,66.5,66.92,407886
STC,20151129,67.25,67.25,67,67.16,225823
STC,20151126,66.75,67.25,66.5,66.95,405630
STC,20151125,66.25,67.25,66.25,66.72,764848
STC,20151124,66.25,66.75,66,66.41,453477
STC,20151123,66,66.5,65.25,66.3,666875
STC,20151122,66.5,66.5,65.75,65.91,512205
STC,20151119,66,67,65.5,66,1028203
STC,20151118,64.75,65.25,64.75,64.99,277443
STC,20151117,65.25,65.5,64.5,64.75,669979
STC,20151116,65,65.25,64.75,65,341438
STC,20151115,65.25,65.5,63.75,64.62,1352853
STC,20151112,66.5,68.75,66,66.61,3318838
STC,20151111,63.25,64.75,63,64.75,3784357
STC,20151110,59,60.25,58.75,59,258189
STC,20151109,58.75,59.25,58.25,59.19,247468
STC,20151108,59.75,59.75,57.75,59.05,449338
STC,20151105,60,60.25,59.75,59.76,361956
STC,20151104,60.5,60.75,59.75,60.14,1460149
STC,20151103,61.5,61.5,60,60.33,929070
STC,20151102,61.25,62,61.25,61.58,121647
STC,20151101,63.25,63.25,61.25,61.97,761337
STC,20151029,64.75,65.25,64,64.1,342492
STC,20151028,64.25,65,64,64.6,470004
STC,20151027,65.25,65.25,63.75,64.52,376322
STC,20151026,65,65.25,64,65.08,929855
STC,20151025,65,65.75,65,65.18,793296
STC,20151022,63,65.5,63,65.2,922029
STC,20151021,65.25,65.75,63,63.51,2083734
STC,20151020,68,68.25,67.25,67.92,851632
STC,20151019,66.75,68.25,66.25,67.95,521986
STC,20151018,65.75,67.25,65.75,67,393427
STC,20151015,66.75,66.75,65.5,65.5,301727
STC,20151014,67.25,67.25,66.5,66.84,419669
STC,20151013,65.5,67.75,65.25,67.16,864543
STC,20151012,65,66.75,64.5,65.67,555568
STC,20151011,64.75,66,64.5,64.77,574832
STC,20151008,64,65.25,63.75,64.54,272607
STC,20151007,63,65,63,63.73,572828
STC,20151006,62.75,63.75,62.25,63.61,569887
STC,20151005,61.75,62.5,61.5,62.45,430681
STC,20151004,61.75,61.75,61.25,61.73,178503
STC,20151001,61.75,62.25,61.25,61.28,524151
STC,20150930,61.75,61.75,61.25,61.29,650130
STC,20150929,62.75,62.75,61.25,61.58,386178
STC,20150921,62.75,63.5,62.25,63.15,434815
