<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
RIBL,20160225,11.1,11.2,11.1,11.16,216292
RIBL,20160224,11.1,11.15,11.05,11.1,558652
RIBL,20160223,11.15,11.2,11.1,11.1,392391
RIBL,20160222,11.1,11.15,11.05,11.15,606896
RIBL,20160221,11.1,11.15,11.05,11.09,278003
BJAZ,20160225,12.8,12.9,12.5,12.56,9255001
BJAZ,20160224,12.95,12.95,12.7,12.73,4179938
BJAZ,20160223,12.95,13.1,12.9,13.03,4411669
BJAZ,20160222,12.55,12.9,12.5,12.89,7699879
BJAZ,20160221,12.25,12.5,12.15,12.44,6456323
SIBC,20160225,14.95,15,14.9,14.9,72595
SIBC,20160224,15,15,14.9,14.89,181407
SIBC,20160223,15,15.05,15,15,114911
SIBC,20160222,15,15.05,14.95,15.04,301830
SIBC,20160221,14.95,15,14.9,14.95,224420
AAAL,20160225,24.25,24.25,24,24.08,86034
AAAL,20160224,24.5,24.5,24.15,24.2,75743
AAAL,20160223,24.6,24.75,24.35,24.59,135646
AAAL,20160222,24.15,24.8,24.15,24.6,166893
AAAL,20160221,24.1,24.2,24,24.11,98671
BSFR,20160225,23.6,23.85,23.4,23.61,426114
BSFR,20160224,23.15,23.4,23.15,23.31,413235
BSFR,20160223,22.8,23.9,22.7,23.85,126427
BSFR,20160222,22.55,22.8,22.3,22.77,113280
BSFR,20160221,22.85,23.1,22.3,22.42,57249
SABB,20160225,20.2,20.2,20,20.09,110484
SABB,20160224,20.35,20.35,20,20.07,196469
SABB,20160223,20.3,20.7,20.3,20.68,62993
SABB,20160222,20.1,20.5,20.1,20.52,50152
SABB,20160221,20.25,20.25,20.05,20.07,41944
ARNB,20160225,18.55,18.55,18.35,18.39,308802
ARNB,20160224,18.65,18.65,18.5,18.58,151466
ARNB,20160223,18.7,18.8,18.5,18.77,80428
ARNB,20160222,18.3,18.75,18.25,18.7,124600
ARNB,20160221,18.15,18.25,18.1,18.21,128354
SAMBA,20160225,20.5,20.55,20.3,20.55,828920
SAMBA,20160224,19.6,20.85,19.6,20.44,407826
SAMBA,20160223,20.45,20.9,20.45,20.63,521824
SAMBA,20160222,20.2,20.45,20.15,20.4,613076
SAMBA,20160221,20.1,20.15,20.05,20.1,1223014
RJHI,20160225,54,54.75,53.75,54.39,2325732
RJHI,20160224,54.25,54.25,53.75,53.89,1952038
RJHI,20160223,54,54.25,53.75,53.95,2078856
RJHI,20160222,53.5,54,53.5,53.79,1739621
RJHI,20160221,53.25,53.5,52.75,53.4,2004278
SAFCO,20160225,67,67.5,66.5,67.25,217729
SAFCO,20160224,66.75,68,66.25,66.48,394115
SAFCO,20160223,66,67.5,66,66.86,631505
SAFCO,20160222,65.75,66.25,65.25,65.84,395636
SAFCO,20160221,65.25,65.75,65,65.07,356478
SARCO,20160225,33.8,34.4,33.3,33.75,338407
SARCO,20160224,34,34.6,33.5,33.57,707141
SARCO,20160223,34.6,34.7,33.9,34.52,614274
SARCO,20160222,32.9,35,32.9,34.31,1892473
SARCO,20160221,32.4,33,32.3,32.56,572392
SCERCO,20160225,36.5,37,36.5,36.81,260624
SCERCO,20160224,37,37.2,36.6,36.62,524134
SCERCO,20160223,37.5,37.7,36.7,37.46,987407
SCERCO,20160222,37,37.7,36.7,37.6,553207
SCERCO,20160221,36.1,37.1,35.9,36.69,758156
SAVOLA,20160225,38.4,39,38.4,38.58,161366
SAVOLA,20160224,38.3,39.4,38,38.14,303386
SAVOLA,20160223,39.5,39.7,39.1,39.45,318107
SAVOLA,20160222,39.7,39.9,39.3,39.6,205238
SAVOLA,20160221,39,39.7,39,39.51,508510
SPIMACO,20160225,28.8,29.1,28.8,29.05,78701
SPIMACO,20160224,28.5,28.8,28.5,28.64,106175
SPIMACO,20160223,28.8,29.1,28.6,28.96,80670
SPIMACO,20160222,29,29.3,28.6,28.77,144826
SPIMACO,20160221,28.5,28.9,28.5,28.77,232553
NGIC,20160225,20.4,20.65,20.25,20.43,168619
NGIC,20160224,20.2,21.8,20.15,20.37,307239
NGIC,20160223,20.4,20.65,20.25,20.38,54692
NGIC,20160222,20.6,20.6,20.2,20.36,134255
NGIC,20160221,20.25,20.5,20.1,20.41,37620
NGCO,20160225,12.75,13.65,12.7,13.17,2677432
NGCO,20160224,13,13,12.65,12.67,770510
NGCO,20160223,13.1,13.35,13,13.06,2095312
NGCO,20160222,12.8,12.95,12.65,12.77,1661853
NGCO,20160221,12.05,12.75,12,12.59,2455270
WAFRAH,20160225,23.45,23.8,23.15,23.25,827910
WAFRAH,20160224,23.9,24.55,23.15,23.24,2211554
WAFRAH,20160223,23.2,24.2,23,23.92,2197521
WAFRAH,20160222,23,23.5,22.9,23.24,1478308
WAFRAH,20160221,22.8,23.2,22.15,22.68,1124661
SCACO,20160225,6.85,7.05,6.7,6.8,3250127
SCACO,20160224,7.3,7.3,6.7,6.77,2178812
SCACO,20160223,7.3,7.4,7,7.07,3245122
SCACO,20160222,6.35,6.9,6.35,6.9,853699
SCACO,20160221,6.15,6.35,6.15,6.29,875173
SAIC,20160225,10.1,10.45,10.05,10.15,3193469
SAIC,20160224,10.15,10.35,9.95,10,3012429
SAIC,20160223,10,10.45,9.95,10.34,2675956
SAIC,20160222,9.8,10.1,9.8,9.95,1337769
SAIC,20160221,9.5,9.8,9.5,9.63,563426
SIDC,20160225,9.3,9.45,9.1,9.25,1726425
SIDC,20160224,9.4,9.7,9.1,9.17,2764416
SIDC,20160223,9.25,9.65,9.15,9.54,4912641
SIDC,20160222,9.05,9.4,9.05,9.23,5759067
SIDC,20160221,8.85,9.05,8.75,8.92,2654416
AADC,20160225,12.8,12.9,12,12.09,1004246
AADC,20160224,12,13.15,11.7,12.55,1946392
AADC,20160223,10.9,12,10.85,11.99,1174651
AADC,20160222,10.85,11.05,10.8,10.92,285371
